Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
Annual surfacing on Pungh Ghagnoo road PMGSY SH Providing and laying 30mm thick bituminous concrete including profile correction layer V shape drain and road marking in Km 10.0 to 12.0 and Annual surfacing on Bangalu Luhnu road PMGSY SH Providing and,Annual surfacing on Pungh Ghagnoo road PMGSY SH Providing and laying 30mm thick bituminous concrete including profile correction layer V shape drain and road marking in Km 10.0 to 12.0 and Annual surfacing on Bangalu Luhnu road PMGSY SH Providing and,As per bid document ,NA ,"59,97,126",Civil Works,Tarring ,Tender,75.0,60.0,In Sundernagar Division,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,04-Apr-2022 06:00 PM,12-Apr-2022 11:30 AM,04-Apr-2022 06:00 PM,11-Apr-2022 06:00 PM,NA ,NA ,04-Apr-2022 06:00 PM,11-Apr-2022 06:00 PM,13-Apr-2022 02:00 PM,1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"1,20,000",Yes,fixed,,EE Sundernagar,Sundernagar,"2,000",EE Sundernagar,Sundernagar,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,PWD,PW-SNR-CB-E-Ten/Giriraj/ 2nd Call/11-21 dt.1.4.22,2022_PWD_59082_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer,Executive Engineer HPPWD Division Sunder Nagar,AOC,PWD,2022_PWD_59082_1,PW-SNR-CB-E-Ten/Giriraj/ 2nd Call/11-21 dt.1.4.22,Annual surfacing on Pungh Ghagnoo road PMGSY SH Providing and laying 30mm thick bituminous concrete including profile correction layer V shape drain and road marking in Km 10.0 to 12.0 and Annual surfacing on Bangalu Luhnu road PMGSY SH Providing and,Er. D.R. Chauhan Executive Engineer,Internal,Er. Y.S. Chandel AE Suket Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Rattan Lal Supdt Accounts,Chaman Singh,12-Apr-2022 05:10 PM,13-Apr-2022 02:00 PM,techsummary_89437.pdf (722.86 KB),Superintending Engineer 1st Circle HPPWD Mandi,Internal,Executive Engineer (D) 1st Circle Mandi Executive Engineer HPPWD Sundernagar CHD 1st Circle Mandi Supdt (Works) 1st Circle Mandi,Chaman Singh,04-May-2022 04:43 PM,finsummary_89437.pdf (790.71 KB),04-May-2022,"INR 5,673,281.01",60.0,Chaman Singh,04-May-2022 04:45 PM,AOCPunghGhangnoo.pdf (791.00 KB),AOC issued,1.0,276552.0,Ajmer Singh,10-Apr-2022 06:31 PM,Rejected-Finance,Not found lowest,04-May-2022 04:43 PM,Technical,BOS,Chaman Singh,12-Apr-2022 02:56 PM,technical_89437.pdf,Finance,FBOS,Chaman Singh,19-Apr-2022 12:23 PM,finance_89437.pdf,BOQ Comparative Chart,1.0,276914.0,S.A. ASSOCIATES,INR,"5,673,281.01",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,276914.0,S.A. ASSOCIATES,11-Apr-2022 05:34 PM,Accepted-AOC,Being lowest and responsive,04-May-2022 04:45 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work done / in hand / Bidding Capacity as per general rules No. 16 and 26.,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff as indicated in Clause-32 and schedule F,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
