Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
09-Feb-2022,"INR 3,532,753",365.0,Vijay Kumar Verma,05-May-2022 04:09 PM,AOC1.pdf (2692.00 KB),AOC,Er. Vijay Kumar Verma,Internal,"Sh. Bheem Ram (DHD), Sh. Kamaljeet Singh, (Supdt. Gr-II), Sh. Jiwan Singh, (Supdt. Gr-II)",Vijay Kumar Verma,27-Jul-2021 03:34 PM,finsummary_72044.pdf (731.59 KB),Er. Vijay Kumar Verma,Internal,"Shri Bim Ram DHD, Shri Kamaljeet Supdt. G-II, Shri Ishwar Singh Supedt. Gr-II",Sushil Kumar Dhadwal,23-Jun-2021 11:16 AM,23-Jun-2021 11:30 AM,techsummary_72044.pdf (734.96 KB),PWD,2021_PWD_48029_1,1567-1616,C/O P.H.C. (Health Institution Level-II) Building with Residence at Naganpatt Distt. Kangra (HP),Technical,Summary,Vijay Kumar Verma,22-Jun-2021 04:32 PM,technical_72044.pdf,1.0,215920.0,Ms VIRENDER SINGH,15-Jun-2021 01:38 PM,Accepted-AOC,Award,05-May-2022 04:09 PM,1.0,215920.0,Ms VIRENDER SINGH,INR,"4,487,322",Finance,Summary,Vijay Kumar Verma,27-Jul-2021 03:31 PM,finance_72044.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),"Executive Engineer, HPPWD, Division, Kangra","Executive Engineer, HPPWD, Division, Kangra","60,500",No,fixed,,Nil,Nil,05-Jun-2021 09:00 AM,16-Jun-2021 11:00 AM,05-Jun-2021 09:00 AM,15-Jun-2021 03:00 PM,NA ,NA ,05-Jun-2021 10:00 AM,15-Jun-2021 03:00 PM,23-Jun-2021 11:30 AM,C/O P.H.C. (Health Institution Level-II) Building with Residence at Naganpatt Distt. Kangra (HP),"(SH C/O Building portion including, providing WS and SI,C/O Septic tank and Rain water harvesting system).",Please refer Tender documents. ,NA ,,Civil Works - Bridges,NA ,Tender,120.0,365.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,PWD,1567-1616,2021_PWD_48029_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,216939.0,VENYA CONSTRUCTIONS AND SUPPLIER,15-Jun-2021 02:04 PM,Rejected-Finance,Rated quoted higher side,27-Jul-2021 03:34 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money indicated in schedule-F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,PAN Number and EPF Number shown in General Rule and Direction 25(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration (Refer General Rule No-21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
