Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.2,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1.1,Corrigendum Title,Corrigendum Type,View,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address
EESHIMLADIVISIONNOIII,Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,21-Apr-2022 05:45 PM,finsummary_89974.pdf (265.93 KB),30-May-2022,"INR 1,250,426",60.0,Bhupender Singh,07-Jul-2023 01:04 PM,SAnjeevAOC.pdf (513.00 KB),AOC,PWD,2022_PWD_59457_2,SD-III- 441-58 dated 8-04-2022,A/R and M/O Kotshera College Building near Chaura Maidan Shimla(SH- Water proofing of parking area and laying of interlocking blocks etc).,EESHIMLADIVISIONNOIII,Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,21-Apr-2022 12:39 PM,21-Apr-2022 01:00 PM,techsummary_89974.pdf (349.02 KB),Technical,Bid Opening Summary,Parveen Kumar Verma,21-Apr-2022 12:24 PM,technical_89974.pdf,1.0,278174.0,Jibachh Goswami,19-Apr-2022 10:34 AM,Rejected-Finance,Due to L2,21-Apr-2022,1.0,278405.0,Sanjeev thakur,INR,"1,250,426",Finance,Finance,Parveen Kumar Verma,21-Apr-2022 05:34 PM,finance_89974.pdf,BOQ Comparative Chart,1.0,ICICI BANK,500.0,Nil,Nil,No,1.0,Corrigendum,Other,,PWD,SD-III- 441-58 dated 8-04-2022,2022_PWD_59457_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,13-Apr-2022 05:00 PM,20-Apr-2022 11:00 AM,13-Apr-2022 06:00 PM,19-Apr-2022 06:00 PM,NA ,NA ,13-Apr-2022 06:00 PM,19-Apr-2022 06:00 PM,21-Apr-2022 01:00 PM,"28,891",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,A/R and M/O Kotshera College Building near Chaura Maidan Shimla(SH- Water proofing of parking area and laying of interlocking blocks etc).,A/R and M/O Kotshera College Building near Chaura Maidan Shimla(SH- Water proofing of parking area and laying of interlocking blocks etc).,As per SBD ,NA ,"14,44,551",Civil Works - Buildings,NA ,Tender,75.0,60.0,Chaura Maidan Shimla,171004.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,278405.0,Sanjeev thakur,19-Apr-2022 03:32 PM,Accepted-AOC,L1,07-Jul-2023,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,278280.0,SHEEL CONSTRUCTION AND ENTERPRISES,18-Apr-2022 04:48 PM,Rejected-Finance,Due to L3,21-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of MachineryTools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in handcertificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,
