Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Technical,As per document attached,Sushil Kumar Dhadwal,16-Jul-2020 05:38 PM,technical_56892.pdf,1.0,167562.0,Naveen Kumar,15-Jul-2020 12:55 PM,Accepted-AOC,L1,10-May-2022 07:12 PM,Finance,As per document attached,Tarlok Dhiman,23-Jul-2020 05:25 PM,finance_56892.pdf,BOQ Comparative Chart,1.0,167562.0,Naveen Kumar,INR,"1,396,210",Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ravi Dutt Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,10-May-2022 07:07 PM,finsummary_56892.pdf (536.67 KB),10-May-2022,"INR 1,396,210",90.0,Tarlok Dhiman,10-May-2022 07:12 PM,IMG_0002.pdf (2032.00 KB),SHRI NAVEEN kUMAR,PWD,2020_PWD_38511_1,dshala 1070-1100,Installation of lift in Secrecy Block HPBOSE at Dharamshala in Distt. Kangra HP (Deposit Work),Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,23-Jul-2020 05:08 PM,23-Jul-2020 05:10 PM,techsummary_56892.pdf (198.94 KB),AOC,"16,950",No,fixed,,EE Dharamshala,Dharamshala,350.0,EE Dharamshala,Dharamshala,No,02-Jul-2020 10:00 AM,16-Jul-2020 11:00 AM,02-Jul-2020 10:00 AM,15-Jul-2020 05:00 PM,NA ,NA ,02-Jul-2020 10:00 AM,15-Jul-2020 05:00 PM,23-Jul-2020 05:10 PM,1.0,DD - Demand Draft,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,PWD,dshala 1070-1100,2020_PWD_38511_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Installation of lift in Secrecy Block HPBOSE at Dharamshala in Distt. Kangra HP (Deposit Work),(SH- Balance work of lift),Please refer Tender documents. ,NA ,"8,46,593",Civil Works - Buildings,NA ,Tender,120.0,90.0,daramsala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),AOC
,,,,,2.0,167571.0,Vinod,15-Jul-2020 01:01 PM,Rejected-Finance,L2,10-May-2022 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper (General rule 26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
