Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_59719_1,184619/DB/2022-23-363-70 Dated 19.04.2022,Tender for replacement of 40 Nos rotten wooden poles from existing 25 KVA 22/0.4 kV Sub-Station Fraj 1st and Fraj-2nd under Electrical Sub-Division HPSEBL Chhatri.,1.0,279543.0,sanjeev kumar,INR,"395,826.28","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,24-May-2022 12:02 PM,finsummary_90340.pdf (386.48 KB),Finance,attached,Sushil Kumar,24-May-2022 11:55 AM,finance_90340.pdf,BOQ Comparative Chart,Technical,attached,Sushil Kumar,04-May-2022 10:49 AM,technical_90340.pdf,24-May-2022,"INR 525,159",90.0,Sushil Kumar,24-May-2022 12:08 PM,award8.pdf (1214.00 KB),Awarded to M/S Sanjeev Kumar (L-1) Which found lowest,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,04-May-2022 10:51 AM,04-May-2022 11:30 AM,techsummary_90340.pdf (447.84 KB),1.0,279649.0,Gupta Agencies,28-Apr-2022 07:28 AM,Rejected-Finance,L-7,24-May-2022 12:02 PM,AOC,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2022-23-363-70 Dated 19.04.2022,2022_HPSEB_59719_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Tender for replacement of 40 Nos rotten wooden poles from existing 25 KVA 22/0.4 kV Sub-Station Fraj 1st and Fraj-2nd under Electrical Sub-Division HPSEBL Chhatri.,Tender for replacement of 40 Nos rotten wooden poles from existing 25 KVA 22/0.4 kV Sub-Station Fraj 1st and Fraj-2nd under Electrical Sub-Division HPSEBL Chhatri.,please refer tender document  ,N/A ,"5,25,159",Supply and Erection,Electrical Works ,Tender,180.0,90.0,CHHATRI,175047.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer, ED Karsog",No ,No,"13,129",No,fixed,,Nil,Nil,"1,180",Nil,Nil,No,20-Apr-2022 04:50 PM,28-Apr-2022 12:00 PM,21-Apr-2022 11:00 AM,28-Apr-2022 10:30 AM,NA ,NA ,21-Apr-2022 11:00 AM,28-Apr-2022 10:30 AM,04-May-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer, ED Karsog",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,279670.0,Koyla Engineering Works,28-Apr-2022 07:51 AM,Rejected-Finance,L-2,24-May-2022 12:02 PM,AOC,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,279503.0,LEKH RAJ,28-Apr-2022 10:04 AM,Rejected-Finance,L-5,24-May-2022 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,279543.0,sanjeev kumar,27-Apr-2022 02:42 PM,Accepted-AOC,Found lowest as compare to all the bidders hence tender has been awarded to L-1 contractor,24-May-2022 12:08 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,279533.0,SUNEEL THAKUR ELECTRICAL,27-Apr-2022 02:38 PM,Rejected-Finance,L-3,24-May-2022 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,279702.0,TILAK RAJ,28-Apr-2022 09:53 AM,Rejected-Finance,L-4,24-May-2022 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,278934.0,VINAY ENTERPRISES,27-Apr-2022 07:06 AM,Rejected-Finance,L-6,24-May-2022 12:02 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC
