Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er.K.L.Suman,Internal,Sh. Hemant Supdt Sh. Ram Lal Sr. Asstt Account Branch Sh. K.S Rao HDM,Dhan Singh Sharma,05-May-2022 03:09 PM,finsummary_72168.pdf (73.90 KB),05-May-2022,"INR 6,386,104",180.0,Dhan Singh Sharma,05-May-2022 03:12 PM,awardkailash.pdf (330.00 KB),Award Letter,PWD,2021_PWD_48136_1,1455-1505 dated 01-06-2021,"Restoration of rain damages on NH-305 by construction of wire crate R/wall and B/wall at Km. 44/420 to 44/990 in various locations, C/o vented causeway at Km. 44/695 and solid causeway at Km. 44/655, Hume pipe culvert at Km. 44/600 and C/o V shape dr",Er. K.L Suman,Internal,,Dhan Singh Sharma,17-Jun-2021 11:55 AM,17-Jun-2021 12:00 PM,techsummary_72168.pdf (756.09 KB),Technical,Proceeding,Dhan Singh Sharma,17-Jun-2021 11:53 AM,None,1.0,216374.0,gopal sharma,12-Jun-2021 06:24 PM,Rejected-AOC,being second lowest,05-May-2022 03:12 PM,Finance,Proceeding,Dhan Singh Sharma,09-Nov-2021 11:16 AM,None,BOQ Comparative Chart,1.0,216186.0,KAILASH THAKUR,INR,"6,386,104",AOC,1.0,Fee/PreQual/Technical,.pdf,E-receipt of tender fee submitted through Bharatkosh,"12,000",Regional Pay and Account Officer MoRTH Chandigarh,Chandigarh,No,1.0,DD - Demand Draft,"Restoration of rain damages on NH-305 by construction of wire crate R/wall and B/wall at Km. 44/420 to 44/990 in various locations, C/o vented causeway at Km. 44/695 and solid causeway at Km. 44/655, Hume pipe culvert at Km. 44/600 and C/o V shape dr","Restoration of rain damages on NH-305 by construction of wire crate R/wall and B/wall at Km. 44/420 to 44/990 in various locations, C/o vented causeway at Km. 44/695 and solid causeway at Km. 44/655, Hume pipe culvert at Km. 44/600 and C/o V shape dr",Please refer Tender documents. ,NA ,,Civil Works - Highways,NA ,Tender,90.0,180.0,Rampur,172001.0,NA ,NA ,NA ,Executive Engineer NH Division HPPWD Rampur,No ,No,PWD,1455-1505 dated 01-06-2021,2021_PWD_48136_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,0.0,No,fixed,,Nil,Nil,Executive Engineer NH Division HPPWD Rampur,Executive Engineer NH Division HPPWD Rampur,07-Jun-2021 11:00 AM,15-Jun-2021 11:30 AM,07-Jun-2021 11:00 AM,14-Jun-2021 06:00 PM,NA ,NA ,07-Jun-2021 11:30 AM,14-Jun-2021 06:00 PM,17-Jun-2021 12:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,216186.0,KAILASH THAKUR,12-Jun-2021 11:57 AM,Accepted-AOC,work has been awarded being fist lowest,05-May-2022 03:12 PM,,,,,,,,,,,,AOC,,,.pdf,Bid Security declaration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Registration under Employees Provident Funds and Miscellaneous provision Act. 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate of similar nature as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery tool and plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,other technical documents as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Price bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
