EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"49,300",No,fixed,,Nil,Nil,PWD,Elect. Division HPPWD Palampur,2022_PWD_56750_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,C/O Centre of Excellence for Mental Health at Dr.RPGMC Kangra at Tanda (SH- Providing and fixing of copper piping for VRV/VRF system in Block-A therein),C/O Centre of Excellence for Mental Health at Dr.RPGMC Kangra at Tanda (SH- Providing and fixing of copper piping for VRV/VRF system in Block-A therein),Please refer Tender documents. ,NA ,"27,84,634",Electrical Works,NA ,Tender,120.0,365.0,Kangra at Tanda in Distt. Kangra,176061.0,NA ,NA ,NA ,Palampur,No ,No,1.0,ICICI BANK,12-Feb-2022 05:00 PM,21-Feb-2022 11:30 AM,12-Feb-2022 05:00 PM,21-Feb-2022 10:00 AM,NA ,NA ,12-Feb-2022 05:00 PM,21-Feb-2022 10:00 AM,26-Feb-2022 11:30 AM,Executive Engineer,Elect. Division HPPWD Palampur,AOC,1.0,264737.0,REVOLUTION,INR,"2,710,195",Finance,as per uploaded document,Dalip singh Patial,28-Apr-2022 01:07 PM,finance_85498.pdf,BOQ Comparative Chart,1.0,263782.0,Hindustan Ref. Works,20-Feb-2022 12:24 PM,Rejected-Finance,L2,28-Apr-2022 01:10 PM,Technical,as per uploaded document,Dalip singh Patial,25-Feb-2022 01:39 PM,technical_85498.pdf,PWD,2022_PWD_56750_2,Elect. Division HPPWD Palampur,C/O Centre of Excellence for Mental Health at Dr.RPGMC Kangra at Tanda (SH- Providing and fixing of copper piping for VRV/VRF system in Block-A therein),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,25-Feb-2022 01:46 PM,26-Feb-2022 11:30 AM,techsummary_85498.pdf (206.86 KB),Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO JDM,Dalip singh Patial,28-Apr-2022 01:10 PM,finsummary_85498.pdf (20.05 KB),07-May-2022,"INR 2,784,364",365.0,Dalip singh Patial,07-May-2022 04:13 PM,VRVawardCOE.pdf (1718.00 KB),awarded to the lowest bidder after negotiation vide this office letter no. 9773-78 dated 07.03.2022,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,264737.0,REVOLUTION,17-Feb-2022 10:23 PM,Accepted-AOC,bidder is L1,07-May-2022 04:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual financial turnover as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,similar nature of work done as per tender document page-147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
