S.No,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,BOQ Corrigendum,BOQ,,21-Aug-2021 09:00 AM,27-Oct-2021 04:00 PM,21-Aug-2021 09:00 AM,26-Oct-2021 04:00 PM,21-Aug-2021 09:00 AM ,24-Aug-2021 03:00 PM ,30-Sep-2021 10:00 AM,26-Oct-2021 04:00 PM,15-Feb-2022 04:00 PM,"25,00,000",Yes,fixed,,Nil,Nil,Appointment of Consultancy Services for assisting and supporting in Project Management to APDCL under Revamped Distribution Sector Scheme,Consultancy Services for assisting and supporting in Project Management to APDCL under Revamped Distribution Sector Scheme,Please refer Tender documents. ,NA ,,Consultancy,NA ,Tender,180.0,1460.0,APDCL HQ and all field locations,781001.0,Online Mode ,The link for the Pre bid meeting shall be shared in due course of time ,25-Aug-2021 12:00 PM ,Office of the CGM PPnD APDCL,No ,No,Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,APDCL/CGM(PPnD)/RDSS/PMA/2021,2021_APDCL_22643_1,Yes,Open Tender,Works,Services,2.0,No,No,Online,No,No,No,Chief General Manager PPnD APDCL,Office of the CGM PPnD APDCL 6th floor Bijulee Bhawan Paltanbazar Guwahati 781001,1.0,SBI Bank,1.0,Fee/PreQual/Technical,.rar,Documents against Eligibility criteria and qualifying requirements,"30,000",Nil,Nil,Yes,AOC,Technical,Bid Opening Summary,Udayan Dutta,27-Oct-2021 05:18 PM,technical_35002.pdf,1.0,125326.0,Medhaj Techno Concept Pvt. Ltd.,26-Oct-2021 03:55 PM,Accepted-AOC,Awarded the work with due approval from competent authority,07-May-2022 11:29 AM,Nodal Officer RDSS,Internal,Members of the evaluation committee,Udayan Dutta,17-Feb-2022 06:07 PM,finsummary_35002.pdf (457.14 KB),Assam Power Distribution Company Ltd||CGM(PP and D) - APDCL,2021_APDCL_22643_1,APDCL/CGM(PPnD)/RDSS/PMA/2021,Appointment of Consultancy Services for assisting and supporting in Project Management to APDCL under Revamped Distribution Sector Scheme,07-May-2022,INR 2.547384E+8,1460.0,Udayan Dutta,07-May-2022 11:29 AM,LOAofPMA.pdf (984.00 KB),Notification of Award,MD APDCL,Internal,Members of TPC-1,Udayan Dutta,15-Feb-2022 03:09 PM,15-Feb-2022 04:00 PM,techsummary_35002.pdf (893.04 KB),1.0,125326.0,Medhaj Techno Concept Pvt. Ltd.,INR,254738400.0,Finance,Financial bid Opening Summary,Udayan Dutta,17-Feb-2022 05:55 PM,finance_35002.pdf,BOQ Comparative Chart,AOC
2.0,Extension4,Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal Form TECH 1 with all attachments 1-4,,,,,AOC,,,,,,2.0,124309.0,REC Power Development and Consultancy Limited,26-Oct-2021 02:36 PM,Rejected-Finance,H2 bidder in QCBS evaluation,17-Feb-2022 06:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,Prescribed Format,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal Form TECH-2,,,,,AOC,,,,,,3.0,124365.0,WAPCOS LIMITED,26-Oct-2021 03:34 PM,Rejected-Technical,Non-responsive,15-Feb-2022 03:09 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Corrigendum2,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal Form TECH-3,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Corrigendum1,Terms and Conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal Form TECH-4,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Proposal Form TECH-5,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other relevant documents for assisting in techno commercial evaluation,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,FIN Form 3 Breakdown of Remunerations,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FIN Form 1 Financial Proposal Submission Form,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FIN Form 2 Summary of Costs,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
