Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
"2,000",EE Kullu Division,EE Kullu Division,No,26-Mar-2022 05:20 PM,02-Apr-2022 10:30 AM,26-Mar-2022 05:20 PM,01-Apr-2022 05:00 PM,NA ,NA ,26-Mar-2022 05:20 PM,01-Apr-2022 05:00 PM,04-Apr-2022 05:00 PM,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AMP for the year 2022-2023,Annual maintenance plan for the year 2022-2023 on Mohal Soh road to PWD workshop Km. 0/0 to 3/660 SH Providing and laying bituminous concrete in Km. 1/0 to 3/660 and C/O PCC drain Road Number HP0602VR1022202.,Annual maintenance plan for the year 2022-2023 on Mohal Soh road to PWD workshop Km. 0/0 to 3/660 SH Providing and laying bituminous concrete in Km. 1/0 to 3/660 and C/O PCC drain Road Number HP0602VR1022202.  ,NA ,,Civil Works - Roads,NA ,Tender,90.0,30.0,Kullu,175101.0,NA ,NA ,NA ,Kullu,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD/Bid Security.","72,200",No,fixed,,EE Kullu Division,EE Kullu Division,PWD,NO.18865-72 DATED 15.03.2022,2022_PWD_58679_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,Er. Vinay Kumar Hazri,"EE Kullu Division HP.PWD, Kullu.",AOC,1.0,274262.0,durga parasd contruction,31-Mar-2022 03:39 PM,Rejected-Finance,BEING 2ND LOWEST BIDDER,05-Apr-2022 04:40 PM,Technical,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,04-Apr-2022 04:41 PM,technical_88739.pdf,1.0,274193.0,varnag banasari infra construction pvt ltd,INR,"3,754,177",Finance,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,05-Apr-2022 04:24 PM,finance_88739.pdf,BOQ Comparative Chart,PWD,2022_PWD_58679_1,NO.18865-72 DATED 15.03.2022,AMP for the year 2022-2023,Er. Vinay Kumar Hazri,Internal,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,04-Apr-2022 04:47 PM,04-Apr-2022 05:00 PM,techsummary_88739.pdf (233.39 KB),Er. Vinay Kumar Hazri,Internal,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,05-Apr-2022 04:39 PM,finsummary_88739.pdf (221.35 KB),02-May-2022,"INR 3,754,177",30.0,Vinay Kumar Hazri,10-May-2022 02:32 PM,Awardletter-58679-AOC.pdf (325.00 KB),AWARD LETTER,AOC
,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Registration/Enlistment with H.P.P.W.D. Deptt. as per general rule No.23.,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,AOC,2.0,274193.0,varnag banasari infra construction pvt ltd,31-Mar-2022 01:07 PM,Accepted-AOC,BEING 1ST LOWEST BIDDER,10-May-2022 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of PAN and TIN and Income Tax clearance certificate.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of work done certificate of similar nature of work.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of GST as per general rule-21.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/firm may like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copy of authentication of ownership of machinery required for above works such as paver, Hot",,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid as specified in Section-8,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
