Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
PWD,dshala 11516-46,2022_PWD_57542_17,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"22,620",No,fixed,,Nil,Nil,Periodic Maintenance of Jadrangal to Patola Road under AMP 2022-23 Rural Road in Distt. Kangra HP,SH -Providing and Laying 30mm thick Bituminous Concrete laying with Paver Finisher in km 0/000 to 0/830,Please refer Tender documents. ,NA ,"11,30,858",Civil Works,NA ,Tender,75.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,500.0,Nil,Nil,No,08-Mar-2022 09:00 AM,21-Mar-2022 03:30 PM,08-Mar-2022 09:00 AM,21-Mar-2022 03:00 PM,NA ,NA ,08-Mar-2022 09:00 AM,21-Mar-2022 03:00 PM,24-Mar-2022 03:40 PM,Executive Engineer,Executive Engineer HP PWD DHaramshala,AOC,1.0,270242.0,Rohit,INR,"1,176,456",07-May-2022,"INR 1,176,456",90.0,Tarlok Dhiman,08-May-2022 06:48 PM,IMG_0013.pdf (1675.00 KB),ROHIT SHARMA,PWD,2022_PWD_57542_17,dshala 11516-46,Periodic Maintenance of Jadrangal to Patola Road under AMP 2022-23 Rural Road in Distt. Kangra HP,Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ravi Dutt Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,19-Apr-2022 08:45 PM,finsummary_87004.pdf (176.08 KB),Finance,As per document attached,Tarlok Dhiman,24-Mar-2022 04:00 PM,finance_87004.pdf,BOQ Comparative Chart,1.0,271230.0,Pritam Singh Thakur,20-Mar-2022 05:49 PM,Rejected-Finance,L2,19-Apr-2022 08:45 PM,Technical,As per document attached,Sushil Kumar Dhadwal,22-Mar-2022 01:15 PM,technical_87004.pdf,Er S.K.Dhadwal,Internal,Members Sh. Vikramjit DAO (Gr.I) Sh. Ravi Kant Supdt. Smt. Anita Kumari JDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,24-Mar-2022 03:35 PM,24-Mar-2022 03:40 PM,techsummary_87004.pdf (668.36 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,270242.0,Rohit,20-Mar-2022 01:37 PM,Accepted-AOC,L1,08-May-2022 06:48 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery including Hot Mix plant and vibrator roller with proof and staff,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
