Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
EE,Internal,SupdtDHDSRDAOAE,Deepak Kapil,23-Apr-2022 04:47 PM,finsummary_84749.pdf (3061.34 KB),02-May-2022,"INR 49,822,545",548.0,Deepak Kapil,10-May-2022 05:45 PM,SilhTikkar.pdf (1432.00 KB),Award,PWD,2022_PWD_56336_1,GHUSILHTIKKER,GHUSILTIKKER,EE,Internal,SupdtDHDSRDAOAE,Deepak Kapil,14-Mar-2022 02:00 PM,16-Mar-2022 11:30 AM,techsummary_84749.pdf (849.87 KB),1.0,262883.0,Surinder Pal,INR,"51,622,386",Finance,Financialevaluation,Deepak Kapil,23-Apr-2022 04:44 PM,finance_84749.pdf,BOQ Comparative Chart,Technical,Technical evaluation,Deepak Kapil,14-Mar-2022 01:50 PM,None,1.0,263997.0,Ajay Handa,17-Feb-2022 08:17 AM,Rejected-Technical,Proposed programme of construction and banker certificate not submitted nor uploaded,14-Mar-2022 02:00 PM,AOC,"9,97,000",No,fixed,,Nil,Nil,1,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"5,000",Nil,Nil,Yes,PWD,GHUSILHTIKKER,2022_PWD_56336_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,DD towards the Cost of Bid Document (Clause 8.2 of ITB) Original document should be received before,EE GHU Dvin HPPWD GHU,EE GHU Dvin HPPWD GHU,05-Feb-2022 05:00 PM,17-Feb-2022 11:00 AM,05-Feb-2022 05:00 PM,17-Feb-2022 10:00 AM,05-Feb-2022 05:00 PM ,17-Feb-2022 10:00 AM ,05-Feb-2022 05:00 PM,17-Feb-2022 10:00 AM,16-Mar-2022 11:30 AM,GHUSILTIKKER,Civil work,Please refer Tender documents. ,NA ,"4,98,45,454",Civil Works,NA ,Tender,75.0,548.0,Ghumarwin,174021.0,EE GHU Dvin HPPWD GHU ,EE GHU Dvin HPPWD GHU ,15-Feb-2022 11:00 AM ,EE GHU Dvin HPPWD GHU,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,262880.0,Manohar Lal,16-Feb-2022 09:09 PM,Rejected-Finance,return of emd,23-Apr-2022 04:47 PM,AOC,,,,,,,2,Certificate Details ,Registration Certificate ,Registration Certificate Details ,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Bid Security in any of the forms specified in ITB (Clause 16 of ITB) All requisite documents are r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,263620.0,M/S SUKHDEV SHARMA CONTRACTOR,16-Feb-2022 09:51 PM,Rejected-Technical,Proposed programme of construction not submitted nor uploaded,14-Mar-2022 02:00 PM,AOC,,,,,,,3,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities (Clause 4.4 of ITB Submission of Original Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,262883.0,Surinder Pal,16-Feb-2022 09:38 PM,Accepted-AOC,bid security is returned due to depositing performance security on award,10-May-2022 05:45 PM,AOC,,,,,,,4,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration certificate (Clause 3 of ITB) Form of bid for Technical Qualification Part I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,5,Certificate Details ,Income Tax Certificate ,Income Tax Certificate Details ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turnover Certificate from Chartered Accountant for last five financial years with breakup of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,6,Certificate Details ,Partnership Deed ,Partnership Deed ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of certificates (Clause 4.4 of ITB) Similar nature of works executed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,7,Certificate Details ,Labour License ,Labour License ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copies of the Certificates showing details of similar nature of works, work in hand and mach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,8,Certificate Details ,Power of Attorney ,Power of Attorney ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All requisite documents are required to be submitted as per clause 12.1 and 12.2 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,9,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature of works executed (Clause 4.4 of ITB)Works in hand (Clause 4.4 of ITB)Machineries own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,Certificate Details ,Affidavit regarding No Near Relative working in department ,Affidavit regarding No Near Relative working in department ,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Submission of OriginalDocuments as per clause 12.2 (D)Form of bid for Technical-Financial Part II of,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
