Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.2,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address
19-May-2022,"INR 3,662,948",120.0,Parveen Kumar Verma,24-Apr-2023 11:33 AM,AOCbharat.pdf (177.00 KB),AOC,EESHIMLADIVISIONNOIII,Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,06-May-2022 12:31 PM,finsummary_90422.pdf (322.18 KB),EESHIMLADIVISIONNOIII,Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,30-Apr-2022 04:59 PM,30-Apr-2022 05:00 PM,techsummary_90422.pdf (312.96 KB),PWD,2022_PWD_59771_1,SD-III/22 1046-61Dt.19-4-22,Special Repair to type-IV Qtrs Barnes Court at Raj Bhawan Shimla SH- Construction of additional alteration rooms left side of set No.1 3 5 and 7 and back side of Set No 2 4 6 and 8 with MS hollow section CGI sheet roofing and aluminium work etc,1.0,279613.0,BHARAT SINGH CHAUHAN,INR,"3,662,948",Finance,Financial Evaluation Summary,Parveen Kumar Verma,06-May-2022 12:25 PM,finance_90422.pdf,BOQ Comparative Chart,Technical,Bid opening Summary,Parveen Kumar Verma,29-Apr-2022 05:24 PM,technical_90422.pdf,1.0,279765.0,Aditya Jaiswal,28-Apr-2022 01:18 PM,Rejected-Finance,Due to L2,06-May-2022,Special Repair to type-IV Qtrs Barnes Court at Raj Bhawan Shimla SH- Construction of additional alteration rooms left side of set No.1 3 5 and 7 and back side of Set No 2 4 6 and 8 with MS hollow section CGI sheet roofing and aluminium work etc,Special Repair to type-IV Qtrs Barnes Court at Raj Bhawan Shimla SH- Construction of additional alteration rooms left side of set No.1 3 5 and 7 and back side of Set No 2 4 6 and 8 with MS hollow section CGI sheet roofing and aluminium work etc,As per SBD ,NA ,"39,38,752",Civil Works - Buildings,NA ,Tender,75.0,120.0,Raj Bhawan Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,1.0,ICICI BANK,"78,800",No,fixed,,Nil,Nil,PWD,SD-III/22 1046-61Dt.19-4-22,2022_PWD_59771_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,21-Apr-2022 05:00 PM,29-Apr-2022 11:00 AM,21-Apr-2022 05:30 PM,28-Apr-2022 06:00 PM,NA ,NA ,21-Apr-2022 06:00 PM,28-Apr-2022 06:00 PM,30-Apr-2022 05:00 PM,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,279613.0,BHARAT SINGH CHAUHAN,28-Apr-2022 05:18 PM,Accepted-AOC,L1,24-Apr-2023,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,279810.0,SHEEL CONSTRUCTION AND ENTERPRISES,28-Apr-2022 05:36 PM,Rejected-Finance,Due to L3,06-May-2022,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
