Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_59738_1,184619/DB/2022-23-363-70 Dated 19.04.2022,"Tender for replacement of 43 Nos rotten wooden poles from existing 63 kVA, 22/0.4 kV Sub-Station Teban , 25 kVA Shaloa under Electrical Sub-Division HPSEBL Chhatri.",1.0,279661.0,Koyla Engineering Works,INR,"434,571.7","Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,17-May-2022 02:45 PM,finsummary_90361.pdf (467.90 KB),"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,Attached,Sushil Kumar,04-May-2022 11:16 AM,04-May-2022 11:30 AM,techsummary_90361.pdf (526.20 KB),1.0,279373.0,A.R ELETRICAL ENTERPRISES,26-Apr-2022 04:49 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-May-2022 11:15 AM,17-May-2022,"INR 580,156",90.0,Sushil Kumar,17-May-2022 03:08 PM,Award_JobNo_13_2022_23Teban.pdf (1607.00 KB),Awarded to Koyla Engineering Works (L-1) Which found lowest,Finance,attached,Sushil Kumar,17-May-2022 02:24 PM,finance_90361.pdf,BOQ Comparative Chart,Technical,Attached,Sushil Kumar,04-May-2022 11:15 AM,technical_90361.pdf,AOC,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",20-Apr-2022 05:30 PM,28-Apr-2022 12:00 PM,21-Apr-2022 11:00 AM,28-Apr-2022 10:30 AM,NA ,NA ,21-Apr-2022 11:00 AM,28-Apr-2022 10:30 AM,04-May-2022 11:30 AM,"Tender for replacement of 43 Nos rotten wooden poles from existing 63 kVA, 22/0.4 kV Sub-Station Teban , 25 kVA Shaloa under Electrical Sub-Division HPSEBL Chhatri.","Tender for replacement of 43 Nos rotten wooden poles from existing 63 kVA, 22/0.4 kV Sub-Station Teban , 25 kVA Shaloa under Electrical Sub-Division HPSEBL Chhatri.",please refer tender document  ,N/A ,"5,80,156",Supply and Erection,Electrical works ,Tender,180.0,90.0,Chhatri,175047.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,1.0,ICICI BANK,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2022-23-363-70 Dated 19.04.2022,2022_HPSEB_59738_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,"14,504",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,279653.0,Gupta Agencies,28-Apr-2022 08:15 AM,Rejected-Finance,L-8,17-May-2022 02:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,279661.0,Koyla Engineering Works,27-Apr-2022 09:10 PM,Accepted-AOC,found lowest,17-May-2022 03:08 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,279329.0,Manoj kumar,26-Apr-2022 03:03 PM,Rejected-Finance,L-7,17-May-2022 02:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,279542.0,NEW INDIA ELECTRICALS CO,27-Apr-2022 08:12 PM,Rejected-Finance,L-6,17-May-2022 02:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,279518.0,sanjeev kumar,27-Apr-2022 01:52 PM,Rejected-Finance,L-2,17-May-2022 02:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,7.0,279574.0,SUNEEL THAKUR ELECTRICAL,27-Apr-2022 03:58 PM,Rejected-Finance,L-3,17-May-2022 02:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,8.0,279691.0,TILAK RAJ,28-Apr-2022 08:58 AM,Rejected-Finance,L-4,17-May-2022 02:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,9.0,278976.0,VINAY ENTERPRISES,27-Apr-2022 07:48 AM,Rejected-Finance,L-5,17-May-2022 02:46 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
