Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of form,"11,270",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,dshala 6464-93,2020_PWD_43433_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Construction of Link Road village Kharota km 0/000 to 1/600 in Tehsil Dharamshala, Distt. Kangra HP Under SCSP",SH - Construction 3.00 mtr. Span RCC slab Culvert at RD 1/125,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,350.0,Nil,Nil,Yes,22-Dec-2020 06:00 PM,05-Jan-2021 11:00 AM,22-Dec-2020 06:00 PM,04-Jan-2021 06:00 PM,NA ,NA ,22-Dec-2020 06:00 PM,04-Jan-2021 06:00 PM,07-Jan-2021 01:00 PM,AOC,Finance,As per document attached,Sushil Kumar Dhadwal,07-Jan-2021 01:02 PM,finance_64421.pdf,BOQ Comparative Chart,1.0,194625.0,Kapil Sharma,INR,"668,880",1.0,194625.0,Kapil Sharma,04-Jan-2021 05:44 PM,Accepted-AOC,L1,11-May-2022 11:03 AM,Technical,As per document attached,Tarlok Dhiman,05-Jan-2021 12:52 PM,technical_64421.pdf,PWD,2020_PWD_43433_1,dshala 6464-93,"Construction of Link Road village Kharota km 0/000 to 1/600 in Tehsil Dharamshala, Distt. Kangra HP Under SCSP",Er. Sushil Dhadwal,Internal,Sh.Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,07-Jan-2021 12:56 PM,07-Jan-2021 01:00 PM,techsummary_64421.pdf (904.82 KB),Er. Sushil Dhadwal,Internal,Sh.Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,07-Jan-2021 01:06 PM,finsummary_64421.pdf (536.39 KB),11-May-2022,"INR 668,880",90.0,Sushil Kumar Dhadwal,11-May-2022 11:03 AM,43433_1.pdf (348.00 KB),KAPIL SHARMA,AOC
,,.pdf,Contractors registration,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,194766.0,Nishant Kapoor,04-Jan-2021 03:00 PM,Rejected-Finance,Higher Side,07-Jan-2021 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,194775.0,Tilak Raj,04-Jan-2021 03:49 PM,Rejected-Finance,Higher Side,07-Jan-2021 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,194680.0,Vinod Kumar,04-Jan-2021 04:45 PM,Rejected-Finance,Higher Side,07-Jan-2021 01:10 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
