Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Stage
25-Apr-2022,"INR 1,687,421",90.0,Manoj Sood,26-May-2022 02:42 PM,1564.pdf (434.00 KB),AOC,"Er. B.M. Thakur, EE",Internal,"TA, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,31-Mar-2022 03:53 PM,finsummary_86842.pdf (604.17 KB),Er. B.M. Thakur Executive Engineer,Internal,"TA, Supdt., HDM, DAO, AE Plamapur, AE to EE",Manoj Sood,27-Mar-2022 03:50 PM,28-Mar-2022 12:00 PM,techsummary_86842.pdf (1171.02 KB),PWD,2022_PWD_57558_1,20051-20100 dated 25.02.2022,P/M of Dharamshala Dadh Palampur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under MDR (HP0402MDR078) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick bitumen concrete with paver finisher at RD 20/00 to 21/00 ),1.0,268895.0,M/s Kamala Enterprises,INR,"2,908,125",Finance,as per uploaded document,Manoj Sood,31-Mar-2022 03:50 PM,finance_86842.pdf,BOQ Comparative Chart,Technical,as per uploaded document,Manoj Sood,27-Mar-2022 03:47 PM,technical_86842.pdf,1.0,270713.0,M/S BRS Logistics,18-Mar-2022 02:25 PM,Rejected-Finance,Bidder is found L-2,31-Mar-2022 03:53 PM,AOC,07-Mar-2022 11:00 AM,19-Mar-2022 11:30 AM,07-Mar-2022 11:00 AM,19-Mar-2022 11:00 AM,NA ,NA ,07-Mar-2022 11:00 AM,19-Mar-2022 11:00 AM,28-Mar-2022 12:00 PM,P/M of Dharamshala Dadh Palampur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under MDR (HP0402MDR078) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick bitumen concrete with paver finisher at RD 20/00 to 21/00 ),P/M of Dharamshala Dadh Palampur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under MDR (HP0402MDR078) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick bitumen concrete with paver finisher at RD 20/00 to 21/00 ),Please refer Tender documents. ,NA ,"16,87,421",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,1.0,ICICI BANK,Executive Engineer,Palampur Division HPPWD Palampur,500.0,Nil,Nil,No,PWD,20051-20100 dated 25.02.2022,2022_PWD_57558_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"32,900",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268895.0,M/s Kamala Enterprises,18-Mar-2022 09:52 PM,Accepted-AOC,L1,26-May-2022 02:42 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
