Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage
Er. Dalip Singh Patial Executive Engineer,Internal,Supdt. DAO JDM,Dalip singh Patial,28-Apr-2022 01:19 PM,finsummary_83332.pdf (20.00 KB),07-May-2022,"INR 1,833,641",30.0,Dalip singh Patial,07-May-2022 04:17 PM,warmusiumdharamshala.pdf (1379.00 KB),awarded to the lowest bidder vide this office letter no. 9782-87 dated 07.03.2022,PWD,2022_PWD_55568_1,Elect. Division HPPWD Palampur,C/O War Museum at Dharamshala Distt. Kangra (HP) (SH- Providing Air Conditioner in lower ground floor and Library first floor therein),Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atul Nag JDM,Dalip singh Patial,22-Feb-2022 10:59 AM,23-Feb-2022 11:30 AM,techsummary_83332.pdf (244.82 KB),Finance,as per uploaded document,Dalip singh Patial,28-Apr-2022 01:13 PM,finance_83332.pdf,BOQ Comparative Chart,1.0,256499.0,REVOLUTION,INR,"1,571,400",Technical,as per uploaded document,Dalip singh Patial,22-Feb-2022 10:56 AM,technical_83332.pdf,1.0,256858.0,Hindustan Ref. Works,18-Jan-2022 09:07 PM,Rejected-Finance,L2,28-Apr-2022 01:19 PM,AOC,11-Jan-2022 06:00 PM,19-Jan-2022 11:30 AM,11-Jan-2022 06:00 PM,19-Jan-2022 10:00 AM,NA ,NA ,11-Jan-2022 06:00 PM,19-Jan-2022 10:00 AM,23-Feb-2022 11:30 AM,500.0,Nil,Nil,No,C/O War Museum at Dharamshala Distt. Kangra (HP) (SH- Providing Air Conditioner in lower ground floor and Library first floor therein),C/O War Museum at Dharamshala Distt. Kangra (HP) (SH- Providing Air Conditioner in lower ground floor and Library first floor therein),Please refer Tender documents. ,NA ,"18,33,641",Electrical Works,NA ,Tender,120.0,30.0,"Dharamshala, Distt. Kangra",176215.0,NA ,NA ,NA ,Palampur,No ,No,PWD,Elect. Division HPPWD Palampur,2022_PWD_55568_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Certificate of OEM/Authorized by OEM as per tender document page-147,Executive Engineer,Elect. Division HPPWD Palampur,"35,100",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,256890.0,JAGJIT RAI,19-Jan-2022 09:49 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Feb-2022 10:56 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Receipt of online payment regarding correctness of bid documents and earnest money deposited,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,256499.0,REVOLUTION,18-Jan-2022 03:10 PM,Accepted-AOC,bidder is L1,07-May-2022 04:17 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration certificate,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF registration certificate,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR filed,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Turnover as per tender document page-147,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,similar nature of work done as per tender document page-147,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,,,,,,,,,,,AOC
