Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R. Shandil, Head Draughtsman , Jiya Lal, Draughtsman",Vijay Kumar Chauhan,20-Jan-2022 03:36 PM,finsummary_80041.pdf (449.00 KB),21-Jan-2022,"INR 2,706,718",180.0,Vijay Kumar Chauhan,21-Jan-2022 03:30 PM,Summary.pdf (967.00 KB),Award letter,PWD,2021_PWD_53482_2,THD/CB-tender/2021-8273-84,Construction of road from Darjolidhar to Mohari km 0.00 to 2.915,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, Head D/man, Kewal Ram, Supdt. Gr-II and Leela Verma, Sr.Asstt.",Vijay Kumar Chauhan,01-Dec-2021 03:31 PM,02-Dec-2021 11:00 AM,techsummary_80041.pdf (446.54 KB),Finance,Financial Bid Opening summary,Vijay Kumar Chauhan,07-Dec-2021 09:58 AM,finance_80041.pdf,BOQ Comparative Chart,1.0,243462.0,Mohinder Verma,INR,"1,894,842",Technical,Bid Opening Summary,Vijay Kumar Chauhan,25-Nov-2021 11:50 AM,technical_80041.pdf,1.0,243507.0,Gian Chand,20-Nov-2021 02:51 PM,Rejected-Finance,Being higher rates,20-Jan-2022 03:36 PM,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,1.0,ICICI BANK,Construction of road from Darjolidhar to Mohari km 0.00 to 2.915,Formation cutting 5 to 7 metr wide in km 0.00 to 1.00,As per GCC ,NA ,"27,06,718",Civil Works - Roads,NA ,Tender,90.0,180.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,PWD,THD/CB-tender/2021-8273-84,2021_PWD_53482_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,"Theog Division, HPPWD., Theog Distt. Shimla, HP","1,500",Nil,Nil,No,"49,000",No,fixed,,Nil,Nil,12-Nov-2021 05:00 PM,22-Nov-2021 11:00 AM,12-Nov-2021 05:00 PM,20-Nov-2021 05:00 PM,NA ,NA ,12-Nov-2021 05:00 PM,20-Nov-2021 05:00 PM,02-Dec-2021 11:00 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,243440.0,Mohar Singh Verma,20-Nov-2021 12:37 PM,Rejected-Finance,Being Higher rates,20-Jan-2022 03:36 PM,AOC,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,243462.0,Mohinder Verma,20-Nov-2021 01:44 PM,Accepted-AOC,Being L1,21-Jan-2022 03:30 PM,AOC,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,243517.0,Narinder Singh,20-Nov-2021 04:04 PM,Rejected-Finance,Being higher rate,20-Jan-2022 03:36 PM,AOC,,,.pdf,Work in Hand Certificate countersigned by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,243147.0,Sunil Chandel,20-Nov-2021 01:50 PM,Rejected-Finance,Being higher rates,20-Jan-2022 03:36 PM,AOC,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
