Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
HPSEBL||CE (OP) North||SE (OP) Una,2021_HPSEB_53638_1,OCU-07/2021-22,OCU-07/2021-22,1.0,243305.0,Star Electro Engineers,INR,"879,712",SE,Internal,please find attachement,Ashok Dhiman,15-Jan-2022 11:37 AM,finsummary_80265.pdf (436.39 KB),15-Jan-2022,"INR 879,712",90.0,Ashok Dhiman,15-Jan-2022 11:54 AM,Award.pdf (582.00 KB),please find attachment,Finance,Please find attachement,Ashok Dhiman,15-Jan-2022 11:21 AM,finance_80265.pdf,BOQ Comparative Chart,Technical,Kindly find attachement,Anil Sehgal,16-Dec-2021 01:16 PM,technical_80265.pdf,SE,Internal,please find attachment,Anil Sehgal,16-Dec-2021 01:21 PM,16-Dec-2021 01:25 PM,techsummary_80265.pdf (322.92 KB),1,244233,Duvedi Electricals,23-Nov-2021 12:43 PM,Rejected-Finance,The bidder is replaced L2 and hence not qualified for bid,15-Jan-2022 11:37 AM,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of Tender Fee and EMD as per Tender Document and NIT,"11,325",No,fixed,,Nil,Nil,Superintending Engineer,"Superintending Engineer (OP) Circle, HPSEBL, Una",16-Nov-2021 04:15 PM,25-Nov-2021 11:00 AM,16-Nov-2021 04:30 PM,24-Nov-2021 05:00 PM,NA ,NA ,17-Nov-2021 11:00 AM,24-Nov-2021 05:00 PM,16-Dec-2021 01:25 PM,OCU-07/2021-22,Tender for Providing SOP to coming small power Industrial load in Industrial Area Pandoga by Providing 4 Nos 100 KVA Sub Station along with 3 Ph LT line under ESD HPSEBL Khad under ED HPSEBL Gagret,Please refer Tender Documents ,NA ,,Electrical Works,NA ,Tender,90.0,90.0,Pandoga,174303.0,Una ,"Superintending Engineer (OP) Circle, HPSEBL, Una ",19-Nov-2021 02:30 PM ,UNA,No ,No,590.0,Nil,Nil,No,HPSEBL||CE (OP) North||SE (OP) Una,OCU-07/2021-22,2021_HPSEB_53638_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,244588,ILLUMINATE MANAGEMENT AND GLOBAL SERVICES PVT LTD,24-Nov-2021 12:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Dec-2021 01:16 PM,AOC,,,.pdf,Copy of Techno Commercial required as per tender document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,243170,Jay Electrical & Enterprises,23-Nov-2021 08:05 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Dec-2021 01:16 PM,AOC,2.0,Finance,.xls,Price Bid (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,244579,Lath Electrical Works,24-Nov-2021 12:33 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Dec-2021 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,244211,Mehta Enterprises,24-Nov-2021 02:12 PM,Rejected-Finance,The bidder is replaced L4 and hence not qualified for bid,15-Jan-2022 11:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,244007,MOLHOTRA ELECTRICALS,24-Nov-2021 01:17 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Dec-2021 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,244492,M/S Raizada Enterprises,23-Nov-2021 07:52 PM,Rejected-Finance,The bidder is replaced L3 and hence not qualified for bid,15-Jan-2022 11:37 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,243817,rukash electrical power solution pvt.ltd,22-Nov-2021 10:41 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Dec-2021 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,244082,Sharma electricals,22-Nov-2021 06:31 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,16-Dec-2021 01:16 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,243305,Star Electro Engineers,24-Nov-2021 12:53 PM,Accepted-AOC,Bidder has been placed L1,15-Jan-2022 11:54 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
