S.No,Bank Name,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi","1,18,700",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/21-22-562-69 dt 26.04.21,2021_PWD_47361_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,000","Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"Construction of 100 Bedded Hospital Building at Sandhole, Tehsil Dharampur, Distt. Mandi H.P. SH Providing E.I. and yard lighting therein","Construction of 100 Bedded Hospital Building at Sandhole, Tehsil Dharampur, Distt. Mandi H.P. SH Providing E.I. and yard lighting therein",Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Sandhol,176090.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,Corrigendum,Date,,11-May-2021 10:00 AM,21-May-2021 11:30 AM,11-May-2021 10:00 AM,21-May-2021 10:00 AM,NA ,NA ,11-May-2021 10:00 AM,21-May-2021 10:00 AM,29-Jul-2021 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",AOC,PWD,2021_PWD_47361_1,PW/MED/TA/NIT/ e-notice/21-22-562-69 dt 26.04.21,"Construction of 100 Bedded Hospital Building at Sandhole, Tehsil Dharampur, Distt. Mandi H.P. SH Providing E.I. and yard lighting therein",SE,Internal,EE MANDI EE DESIGN EO SUPDT,Suresh Kumar Dhiman,29-Jul-2021 11:48 AM,29-Jul-2021 12:00 PM,techsummary_71109.pdf (886.90 KB),Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Kapil Soni Sr Asstt Sh Manish Kumar TA,Suresh Kumar Dhiman,06-Aug-2021 11:38 AM,finsummary_71109.pdf (300.47 KB),15-Nov-2021,"INR 8,598,746",365.0,Munish Bhopal,20-Jan-2022 04:32 PM,AOC.pdf (521.00 KB),work awarded to M/s SHARMA ELECTRICAL CO.,1.0,212669.0,ARUN KUMAR SHARMA,18-May-2021 09:46 AM,Rejected-Finance,Rejected being L3,06-Aug-2021 11:38 AM,Technical,TECHNICAL BID SUMMARY,Suresh Kumar Dhiman,29-Jul-2021 11:42 AM,technical_71109.pdf,Finance,finsummary,Suresh Kumar Dhiman,06-Aug-2021 11:14 AM,finance_71109.pdf,BOQ Comparative Chart,1.0,212618.0,SHARMA ELECTRICAL CO.,INR,"8,598,746",AOC
2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,212973.0,DHARMENDER SINGH,20-May-2021 08:39 AM,Rejected-Finance,Rejected being L2,06-Aug-2021 11:38 AM,,,,,,,,,,,,,,,,,AOC
,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in Class A (Electrical) with valid Elect license,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,212838.0,Digvijay Sharma,19-May-2021 03:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jul-2021 11:43 AM,,,,,,,,,,,,,,,,,AOC
,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,213103.0,KUMAR ELECTRONICS CO.,20-May-2021 10:18 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jul-2021 11:43 AM,,,,,,,,,,,,,,,,,AOC
,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,212843.0,Rajesh Kumar Jaswal,19-May-2021 09:19 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jul-2021 11:43 AM,,,,,,,,,,,,,,,,,AOC
,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,6.0,212564.0,Ratwan Light House,20-May-2021 03:48 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jul-2021 11:43 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,AOC,,,,,,,,,,,,,,,,,,,,,,,,,7.0,212855.0,Rohtash Verma,18-May-2021 10:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jul-2021 11:43 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,AOC,,,,,,,,,,,,,,,,,,,,,,,,,8.0,212618.0,SHARMA ELECTRICAL CO.,17-May-2021 01:41 PM,Accepted-AOC,work awarded to M/s SHARMA ELECTRICAL CO.,20-Jan-2022 04:32 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,AOC,,,,,,,,,,,,,,,,,,,,,,,,,9.0,212858.0,TARUN GUPTA,18-May-2021 11:08 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,29-Jul-2021 11:43 AM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU etc.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
