Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
17-Jan-2022,"INR 2,376,000",60.0,Anil Nagpal,17-Jan-2022 12:15 PM,A.O.C.pdf (1328.00 KB),Attached,Executive Engineer,Internal,"Tender Asstt,Supdt,DAO,HDM",Anil Nagpal,17-Jan-2022 12:12 PM,finsummary_80218.pdf (543.24 KB),Executive Engineer,Internal,"GA,Supdt,HDM,DAO",Anil Nagpal,01-Dec-2021 11:46 AM,02-Dec-2021 03:00 PM,techsummary_80218.pdf (1390.66 KB),PWD,2021_PWD_53626_1,C/O Room for PSA Oxyzen Plant and Manifold System,C/O Room for PSA Oxyzen Plant and Manifold System at C.H.C. Barsar District Hamirpur,Finance,Attached,Anil Nagpal,17-Jan-2022 12:06 PM,finance_80218.pdf,BOQ Comparative Chart,1.0,243999.0,geeta devi,INR,"2,376,000",Technical,Attached,Anil Nagpal,01-Dec-2021 11:44 AM,technical_80218.pdf,1.0,244077.0,AAR ESS Surgical,24-Nov-2021 03:13 PM,Rejected-AOC,L1L2L3L4L5,17-Jan-2022 12:15 PM,AOC,18-Nov-2021 10:30 AM,25-Nov-2021 10:30 AM,18-Nov-2021 10:30 AM,25-Nov-2021 10:30 AM,NA ,NA ,18-Nov-2021 10:30 AM,25-Nov-2021 10:30 AM,02-Dec-2021 03:00 PM,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,C/O Room for PSA Oxyzen Plant and Manifold System at C.H.C. Barsar District Hamirpur,SH C/O PSA Oxyzen Plant and manifold system) (Deposit Head),Please refer Tender documents. ,NA ,,Civil Works - Buildings,NA ,Tender,60.0,60.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,"58,100",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,1. Cost of Tender Form,1.0,ICICI BANK,PWD,C/O Room for PSA Oxyzen Plant and Manifold System,2021_PWD_53626_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,244892.0,Dinesh Kumar Sharma,24-Nov-2021 07:31 PM,Rejected-AOC,L1L2L3L4L5,17-Jan-2022 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,2. EMD,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,243999.0,geeta devi,25-Nov-2021 09:02 AM,Accepted-AOC,L1L2L3L4L5,17-Jan-2022 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. Contractor Registration,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,244886.0,MSK Healthcare Services,24-Nov-2021 06:52 PM,Rejected-Technical,Non Responsive,01-Dec-2021 11:46 AM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,4. Similar Work Done certificate (Only Completed Work),,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,244088.0,RAKESH KUMAR,22-Nov-2021 06:42 PM,Rejected-AOC,L1L2L3L4L5,17-Jan-2022 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"5. GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN C",,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,244865.0,SANJEEV KUMAR GOVT CONTRACTOR,25-Nov-2021 09:40 AM,Rejected-AOC,L1L2L3L4L5,17-Jan-2022 12:15 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,6. List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary (In addi,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,7. Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,8. Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,9. Affidavit Bidder should not have morethan 2 contracts at a time each of Rs. 100.0Lakhsormore in c,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,10. Affidavit regarding seen the site,,,,,,,,,,,,,,,,,AOC
