Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"Job 4 Construction of link road from Kuthar Beet to Abadi Jodian Tehsil Haroli Distt. Una H.P Sub Head P.L Filling, Formation cutting, P.L GSB, WMM and Tarring in km. 0-0 to 0-405 and 0-800 to 1-0 Under OTMNP","Job 4 Construction of link road from Kuthar Beet to Abadi Jodian Tehsil Haroli Distt. Una H.P Sub Head P.L Filling, Formation cutting, P.L GSB, WMM and Tarring in km. 0-0 to 0-405 and 0-800 to 1-0 Under OTMNP",Please refer to Bidding Documents ,NA ,"23,77,528",Civil Works - Roads,NA ,Tender,75.0,90.0,Una,174303.0,NA ,NA ,NA ,"Executive Engineer, Una Division, HPPWD, Una",No ,No,"Executive Engineer, Una Division, HPPWD, Una","Executive Engineer, Una Division, HPPWD, Una",1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender through online,PWD,Job 4 Construction of link road from Kuthar Beet t,2021_PWD_53190_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,"43,200",No,fixed,,Nil,Nil,03-Nov-2021 10:00 AM,10-Nov-2021 11:00 AM,03-Nov-2021 10:30 AM,10-Nov-2021 09:00 AM,NA ,NA ,03-Nov-2021 10:30 AM,10-Nov-2021 09:00 AM,25-Nov-2021 10:00 AM,AOC,PWD,2021_PWD_53190_1,Job 4 Construction of link road from Kuthar Beet t,"Job 4 Construction of link road from Kuthar Beet to Abadi Jodian Tehsil Haroli Distt. Una H.P Sub Head P.L Filling, Formation cutting, P.L GSB, WMM and Tarring in km. 0-0 to 0-405 and 0-800 to 1-0 Under OTMNP","Er. Rajesh Kumar, E.E.",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,20-Nov-2021 04:38 PM,25-Nov-2021 10:00 AM,techsummary_79535.pdf (797.03 KB),"Er. Rajesh Kumar, E.E",Internal,"Er. Kuldeep Singh AE to EE Dinesh Kumar DAO Harish Chander Sharma Head Draughtsman , Jagpal Singh Supdt. Gr-II Tara Singh Supdt. Gr-II",Rajesh Kumar,29-Nov-2021 12:27 PM,finsummary_79535.pdf (495.70 KB),18-Dec-2021,"INR 2,377,528",90.0,Rajesh Kumar,04-Jan-2022 06:48 PM,Awardletter.pdf (992.00 KB),Awardletter,1.0,242033.0,Mehta Enterprises,09-Nov-2021 07:18 PM,Rejected-Technical,As per Evaluations Bid,20-Nov-2021 04:38 PM,Technical,Bids List,Rajesh Kumar,11-Nov-2021 03:36 PM,technical_79535.pdf,1.0,242014.0,SATWINDER SINGH,INR,"2,481,218",Finance,Proceedingregardingopeningoffinancialbids,Rajesh Kumar,29-Nov-2021 11:28 AM,finance_79535.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money through online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,241944.0,Nitish Thakur,09-Nov-2021 06:32 PM,Rejected-Technical,As per Evaluations Bid,20-Nov-2021 04:38 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration with validity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,242014.0,SATWINDER SINGH,09-Nov-2021 10:29 PM,Accepted-AOC,ok,04-Jan-2022 06:48 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,241883.0,Vijay Kumar,09-Nov-2021 07:49 PM,Rejected-Technical,As per Evaluations Bid,20-Nov-2021 04:38 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,242015.0,Vishal,09-Nov-2021 10:40 PM,Rejected-AOC,ok,04-Jan-2022 06:48 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN Card issued by Income Tax Authorities.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work Done Certificate duly issued by the Engineer-in-Charge, not below the rank of an E.E or equival",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Machinery Tool Plant as per bid documents along with documentary proof.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit of Both Gazetted and non-Gazetted officer HPPWD employees related to him (General Rule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of works is correct in all respect).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
