Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Nurpur,Irrigation and Public Health,HP",nurpur731 dt 13-08-21,2021_HPIPH_51219_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,400.0,Nil,Nil,Yes,Er.Amit Dogra,Executive Engineer,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,1. Affidavit regarding Non Black list of firm/ contractor.,17-Aug-2021 05:00 PM,02-Sep-2021 11:30 AM,17-Aug-2021 05:00 PM,02-Sep-2021 11:00 AM,NA ,NA ,17-Aug-2021 05:00 PM,02-Sep-2021 11:00 AM,23-Nov-2021 12:20 PM,"55,850",Yes,fixed,,Nil,Nil,"C/O Rain Water harvesting structure ( Check Dam) in Bassa Samletiya in G.P. Bhaloon,in Tehsil Nurpur Distt. Kangra ( SHC/O Check Dam)","C/O Rain Water harvesting structure ( Check Dam) in Bassa Samletiya in G.P. Bhaloon,in Tehsil Nurpur Distt. Kangra ( SH C/O Check Dam)",Please refer Tender documents. ,NA ,"32,23,352",Civil Works,NA ,Tender,180.0,90.0,NUrpur Bassa,176202.0,NA ,NA ,NA ,Nurpur,No ,No,AOC,13-Jan-2022,"INR 2,090,955",180.0,Amit Dogra,13-Jan-2022 12:52 PM,AOC.pdf (56.00 KB),AOC,Technical,summary,Amit Dogra,23-Nov-2021 12:05 PM,technical_76542.pdf,Finance,Summary,Amit Dogra,29-Nov-2021 12:57 PM,finance_76542.pdf,BOQ Comparative Chart,1,233228,ABHINAV MAHAJAN,31-Aug-2021 06:28 PM,Rejected-Finance,Bidder Higher Side Amount,13-Jan-2022 12:47 PM,Er.Rajeev Kumar,Internal,"Supdt (WS),CHD Circle Nurpur,AE (D)Nurpur,EE (Nurpur),EE (D) Circle Nurpur,",Amit Dogra,23-Nov-2021 12:12 PM,23-Nov-2021 12:20 PM,techsummary_76542.pdf (1056.86 KB),Er.Rajiv Kumar,Internal,"Supdt (W),CHD Circle,AE (D),EE (N),EE (D),",Amit Dogra,13-Jan-2022 12:47 PM,finsummary_76542.pdf (1179.42 KB),1.0,233521.0,Vijay Kumar,INR,"2,090,955","HP Irrigation and Public Health||Nurpur Circle,Irrigation and Public Health,HP||Nurpur,Irrigation and Public Health,HP",2021_HPIPH_51219_1,nurpur731 dt 13-08-21,"C/O Rain Water harvesting structure ( Check Dam) in Bassa Samletiya in G.P. Bhaloon,in Tehsil Nurpur Distt. Kangra ( SHC/O Check Dam)",AOC
,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,2. Other Teams and condition as per NIT.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,232727,A&N associates Builders,01-Sep-2021 03:53 PM,Rejected-Finance,Bidder Higher Side Amount,13-Jan-2022 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,3. EPF Number certificate attached,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,233253,ANIL MAHAJAN,31-Aug-2021 06:57 PM,Rejected-Finance,Bidder Higher Side Amount,13-Jan-2022 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,232763,Pankaj Kumar,28-Aug-2021 05:07 PM,Rejected-Finance,Bidder Higher Side Amount,13-Jan-2022 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,233393,PRITAM CHAND,01-Sep-2021 12:49 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Nov-2021 12:05 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,232976,ROHIT VERMA,30-Aug-2021 05:54 PM,Rejected-Finance,Bidder Higher Side Amount,13-Jan-2022 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,232797,sadeep kumar,02-Sep-2021 09:34 AM,Rejected-Finance,Bidder Higher Side Amount,13-Jan-2022 12:47 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,233585,SANJEEV KUMAR,02-Sep-2021 10:27 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Nov-2021 12:05 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,233423,Sarbjit Singh Katoch,01-Sep-2021 01:55 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Nov-2021 12:05 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,233091,suresh kumar gupta,01-Sep-2021 10:52 AM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,23-Nov-2021 12:05 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
