S.No,Instrument Type,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,DD - Demand Draft,1.0,Time Extension II,Date,,24-Aug-2019 12:00 PM,03-Oct-2019 03:30 PM,24-Aug-2019 12:00 PM,03-Oct-2019 01:00 PM,NA ,NA ,03-Sep-2019 12:00 PM,03-Oct-2019 01:00 PM,28-Jan-2020 02:00 PM,CGM(PPandD),"O/o the MD, AEGCL, Bijulee Bhawan, Paltanbazar, Ghy-1","CONSTRUCTION OF 2X50 MVA , 132/33KV SUB-STATION AT NATHKUCHI ALONG WITH ASSOCIATED TRANSMISSION LINES UNDER AIFA SCHEME","CONSTRUCTION OF 2X50 MVA , 132/33KV SUB-STATION AT NATHKUCHI ALONG WITH ASSOCIATED TRANSMISSION LINES UNDER AIFA SCHEME",Please refer Tender documents. ,NA ,"45,00,00,000",Electrical Works,NA ,Tender,210.0,720.0,Nathkuchi,781355.0,NA ,NA ,NA ,GUWAHATI,No ,No,Assam Electricity Grid Corporation Ltd||CGM (T and T),MD/AEGCL/AIFA /Tech-489/2011-12/SSandTL/IFB,2019_AEGCL_13917_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.rar,Financial,"10,000",AEGCL,Guwahati,No,"90,00,000",Yes,fixed,,AEGCL,Guwahati,AOC,Assam Electricity Grid Corporation Ltd||CGM (T and T),2019_AEGCL_13917_1,MD/AEGCL/AIFA /Tech-489/2011-12/SSandTL/IFB,"CONSTRUCTION OF 2X50 MVA , 132/33KV SUB-STATION AT NATHKUCHI ALONG WITH ASSOCIATED TRANSMISSION LINES UNDER AIFA SCHEME",1,65127,East India Udyof Ltd.,25-Sep-2019 10:23 PM,Rejected-Technical,NON-RESPONSIVE,27-Jan-2020 03:33 PM,AOC
2.0,BC - Bankers Cheque,2.0,Corrigendum II,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,EMD and Tender Fees,,,,,,,,,,,AOC,,,,,2,65171,Gupta Power Infrastructure Limited,25-Sep-2019 10:28 PM,Rejected-Technical,NON-RESPONSIVE,27-Jan-2020 03:33 PM,AOC
3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Technco-Commercial,,,,,,,,,,,AOC,,,,,3,64362,Jakson Limited,03-Oct-2019 12:41 PM,Rejected-Technical,Non-responsive,27-Jan-2020 03:33 PM,AOC
4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,GTP and Type Tests,,,,,,,,,,,AOC,,,,,4,64360,Mega Electricals,25-Sep-2019 09:12 PM,Rejected-Technical,Non-Responsive,27-Jan-2020 03:33 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Experience,,,,,,,,,,,AOC,,,,,5,65289,M/s. ASHOKA BUILDCON LTD,03-Oct-2019 12:51 PM,Rejected-AOC,L2,19-Jan-2022 01:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Schedule,,,,,,,,,,,AOC,,,,,6,65526,Ms HEMEN DEKA,03-Oct-2019 01:18 AM,Rejected-AOC,L6,19-Jan-2022 01:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,65140,M/s. S R Chaddha Industries Ltd - RKI,03-Oct-2019 12:15 PM,Rejected-Technical,NON-RESPONSIVE,27-Jan-2020 03:33 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,65274,MUKAND SYSTEMS AND NETWORKING PVT LTD,01-Oct-2019 05:50 PM,Rejected-Technical,NON-RESPONSIVE,27-Jan-2020 03:33 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,64789,Neccon Power and Infra Limited,25-Sep-2019 04:09 PM,Rejected-AOC,L9,19-Jan-2022 01:23 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,65266,NK POWER AND INFRASTRUCTURE PRIVATE LIMITED,03-Oct-2019 11:54 AM,Rejected-Technical,NON-RESPONSIVE,27-Jan-2020 03:33 PM,AOC
