Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Tender Stage
HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,CE-JSV-PMU-TENDER/2020- 1960-2009 DT. 9/2/2021,2021_HPIPH_44192_1,Yes,Global Tenders,Lump-sum,Works,3.0,No,No,Online,No,No,No,"2,500",Nil,Nil,No,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components of Lift Water Supply scheme to PC habitations under Jal Shakti Sub Division Rewalsar for Part of Balh Block of Mandi Distric,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components of Lift Water Supply scheme to PC habitations under Jal Shakti Sub Division Rewalsar for Part of Balh Block of Mandi Distric,Please refer Tender documents. ,NA ,,Civil Works - Water Works,NA ,Tender,120.0,730.0,Rewalsar,175027.0,Mandi ,Director cum Chief Engineer PMU Mandi ,23-Feb-2021 11:00 AM ,Mandi,No ,No,09-Feb-2021 05:00 PM,25-Mar-2021 11:30 AM,09-Feb-2021 05:00 PM,25-Mar-2021 11:00 AM,NA ,NA ,09-Feb-2021 05:00 PM,25-Mar-2021 11:00 AM,06-May-2021 11:10 AM,1.0,Fee,.pdf,Bid security shall be submitted online as required NIT condition No. 2(I),1.0,ICICI NEFT/RTGS,1.0,Corrigendum,Date,,Director cum Chief Engineer PMU Mandi,Director cum Chief Engineer PMU Mandi,"39,82,000",No,fixed,,Nil,Nil,AOC,Technical,3 No bidders participated in the bid successfully,Pardeep Kumar Sharma,06-May-2021 11:04 AM,technical_66216.pdf,Finance,MINUTS OF THE MEETING,Harsh Sharma,21-Jan-2022 06:08 PM,finance_66216.pdf,BOQ Comparative Chart,24-Jan-2022,"INR 459,609,925.2",730.0,Suresh Mahajan,24-Jan-2022 02:21 PM,awardletterbaggi.pdf (923.00 KB),Award Letter,1.0,204254.0,HARJEET SINGH,24-Mar-2021 02:35 PM,Accepted-AOC,Accept,24-Jan-2022 02:21 PM,Er Dharmendra Gill EnC PMU,Internal,Er PK Sharma CE PMU Er BS Thakur SE PMU Er Hem Raj Sain EED Er Rajesg Sharma EEED Er Harsh Sharma EE Baggi Dinesh Kumar Dpty Controller,Pardeep Kumar Sharma,06-May-2021 11:07 AM,06-May-2021 11:10 AM,techsummary_66216.pdf (1210.61 KB),ENC P JSV Mandi,Internal,CE MZ Mandi CE PMU Mandi SE ENC P Mandi SE Sundernagar SE PMU Mandi EE PMU Mandi EE Baggi Dy Controller PMU Mandi,Suresh Mahajan,24-Jan-2022 02:19 PM,finsummary_66216.pdf (2028.75 KB),HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2021_HPIPH_44192_1,CE-JSV-PMU-TENDER/2020- 1960-2009 DT. 9/2/2021,Engineering procurement construction testing commissioning trial run and operation and maintenance of various components of Lift Water Supply scheme to PC habitations under Jal Shakti Sub Division Rewalsar for Part of Balh Block of Mandi Distric,1.0,204254.0,HARJEET SINGH,INR,"456,984,925",1.0,Revocation,Corrigendum,27-Mar-2021 07:27 PM,corigendem.pdf ,194.62,Technical Opening,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The cost of bid form shall be submitted online as required NIT condition No. 2(ii),,,2.0,FOR KEY PLAN,Other,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,204947.0,Kashmirilal Constructions Pvt. Ltd.,24-Mar-2021 02:30 PM,Rejected-Finance,Reject,24-Jan-2022 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of registration as required NIT condition No. 2 (iii),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,205488.0,Unipro Techno Infrastructure Pvt Ltd,24-Mar-2021 06:33 PM,Rejected-Finance,Reject,24-Jan-2022 02:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of certificate of EPF registration as required NIT condition No. 2 (iv),,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Turn Over of three years,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Form as per Chapter IV of Form 12 duly accepted,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of having successfully completed similar works during last 7 years as required NIT condit,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN No., GST registration ,ITR and EPF registration as required NIT condition No. 3 (iv)",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The authorization letter regarding digital signature certificate DSC and A scanned copy of underta,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A scanned copy of undertaking as required NIT condition No. 3 vii,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,PreQual/Technical,.pdf,Flow diagram of the Water Treatment Plant/ Booster stage as per the site conditions.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Make/ model of the proposed pumping machinery along with the characteristic curves.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
