Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
21-May-2021 05:00 PM,11-Jun-2021 11:00 AM,21-May-2021 05:00 PM,10-Jun-2021 05:00 PM,NA ,NA ,21-May-2021 05:00 PM,10-Jun-2021 05:00 PM,01-Jul-2021 03:30 PM,PWD,202112052021.0,2021_PWD_47614_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Up gradation and Metalling and tarring on Shalowa to Ghoond Shakroha Katheog Dunkher Kot Pargeya with link upto Tikker km. 0.0 to 9.495,"Retalling wall and Breast wall, CD works, V shape drain and Metalling and tarring in km. 0.00 to 9.495",As per SBD ,NA ,"5,17,66,000",Civil Works - Roads,NA ,Tender,75.0,540.0,Theog,171201.0,NA ,NA ,NA ,SE 4th Circle HPPWD Shimla,No ,No,"SE, 4th Circle,HPPWD, Winterfield,Shimla-3","S.E. 4th Circle, Winter filed Shimla-3","10,35,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,"5,000",Nil,Nil,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form,AOC,PWD,2021_PWD_47614_2,202112052021.0,Up gradation and Metalling and tarring on Shalowa to Ghoond Shakroha Katheog Dunkher Kot Pargeya with link upto Tikker km. 0.0 to 9.495,Er Suresh Kapoor S.E. 4th Circle Shimla-3,Internal,"Vijay Kumar Chauhan E.E, Ravi Bhatti E.E. Design 4th Circle, Sushil Rihal A.E. 4th Circle, Lekh Ram CHD 4th Circle, Deepak Sharma, Sr. DAO",Vijay Kumar Chauhan,01-Jul-2021 01:16 PM,01-Jul-2021 03:30 PM,techsummary_71439.pdf (411.22 KB),Chief Engineer South Zone,Internal,"Superintending Engineer,D, Superintending Engineer, 4th Circle, Executive Engineer, Theog",Vijay Kumar Chauhan,29-Dec-2021 12:01 PM,finsummary_71439.pdf (551.32 KB),30-Dec-2021,"INR 54,900,000",540.0,Vijay Kumar Chauhan,19-Jan-2022 04:05 PM,Summary.pdf (950.00 KB),Award letter,Finance,Bid opening summary,Vijay Kumar Chauhan,03-Jul-2021 12:16 PM,finance_71439.pdf,BOQ Comparative Chart,1.0,215894.0,vikas sharma,INR,"49,209,694",1.0,215894.0,vikas sharma,10-Jun-2021 03:57 PM,Accepted-AOC,Being L1,19-Jan-2022 04:05 PM,Technical,Bid Opening Summary,Vijay Kumar Chauhan,11-Jun-2021 12:58 PM,technical_71439.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,The Earnest Money,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per clause 4.2 (c) of ITB section 2,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(as per clause 4.2(d) and 4.4 B (b) (i) of ITB)",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in section 6 of SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him(as per clause 4.4 B (c) of ITB,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and Correct In All Respect as per clause 4.4B(a)(ii) of ITB and Format Sec.6,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
