Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
HPSEBL||MD BVPCL Jogindernagar||SE (E),2021_HPSEB_54639_1,BVPCL(E)Circle/08-2021-22,Load Testing of 125/20 Ton EOT crane,1.0,250280.0,VMEM ENGINEERING SERVICES,INR,"2,564,388",Superintendeing Engineer Electrical Circle BVPCL Jogindernagar,Internal,"1. Sr. Ex. Engineer PandM Division BVPCL Chullah, 2.Sr. Ex. Engineer Electrical Division-1 BVPCL Chullah,3. AAO O/o MD BVPCL Jogindernagar, 4. CHDM Electrical Circle BVPCL Jogindernagar.",Raman Kumar,10-Jan-2022 12:50 PM,finsummary_81910.pdf (222.46 KB),Technical,The total 5 no technical bids are downloaded in the presence of committee members of BVPCLframed by Superintending Engineer (E),Sandeep Kumar,03-Jan-2022 02:20 PM,technical_81910.pdf,Finance,"The financial bid of three number bidders out of five, who have qulified the technical bid criteria was opened on05/01/2022 and the financial bid of three number bidders was found in order.",Raman Kumar,10-Jan-2022 12:34 PM,finance_81910.pdf,BOQ Comparative Chart,10-Jan-2022,"INR 2,564,388",15.0,Raman Kumar,10-Jan-2022 01:47 PM,awardletterloadtesting.pdf (580.00 KB),Award of contract amounting to Rupees Twenty Five Lakh Sixty Four Thousand Three Hundred and Eighty Eight only for the work load testing of 125/20 Ton EOT crane installed at 3x33.33 MW HEP Chullah H.P,1.0,250414.0,BANSAL CARGO MOVERS,21-Dec-2021 03:51 PM,Rejected-Technical,Not fulfilled the technical eligibility criteria detail attached in technical evaluation sheet,03-Jan-2022 02:45 PM,Superintending Engineer Electrical Circle BVPCL Jogindernagar,Internal,1. Sr.Ex. En. ED-I BVPCL Chullah.2. Sr. Ex. EN PnM Division BVPCL Chullah. 3.AAO O/o MD BVPCL Joginernagar. 4. CHDM Electrical Circle BVPCl Jogindernagar.,Raman Kumar,03-Jan-2022 02:45 PM,05-Jan-2022 11:30 AM,techsummary_81910.pdf (8221.66 KB),AOC,"1,120",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Scanned proof of EMD,14-Dec-2021 05:00 PM,22-Dec-2021 11:30 AM,14-Dec-2021 05:30 PM,21-Dec-2021 05:00 PM,NA ,NA ,14-Dec-2021 05:30 PM,21-Dec-2021 05:00 PM,05-Jan-2022 11:30 AM,Superintending Engineer,"Electrical Circle, BVPCL, Jogindernagar",Load Testing of 125/20 Ton EOT crane,"Load Testing and certification of 125/20 Ton EOT crane by providing 125 Ton calibrated load on rental basis installed at 3x33.33 MW Uhl stage-III, Power House of BVPCL at Chullah, Jogindernagar including the transportation.",As per Bid Document Section VI ,NA ,"28,49,320",Miscellaneous Services,Load Testing of EOT Crane ,Tender,90.0,15.0,"3x33.33 MW Uhl stage-III,HEP, BVPCL, Chullah, JNR",175015.0,NA ,NA ,NA ,"Electrical Circle, BVPCL, Jogindernagar",No ,No,1.0,ICICI BANK,"56,990",No,fixed,,Nil,Nil,HPSEBL||MD BVPCL Jogindernagar||SE (E),BVPCL(E)Circle/08-2021-22,2021_HPSEB_54639_1,Yes,Open Tender,Lump-sum,Services,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,251435.0,ENN KAY ENTERPRISES,21-Dec-2021 04:24 PM,Rejected-Technical,Not fulfilled the technical eligibility criteria detail attached in technical evaluation sheet,03-Jan-2022 02:45 PM,,,,,,,,AOC,,,,,,,.pdf,Scanned signed copy of bid documents to be uploaded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,250135.0,Green Industril Safety Hub,21-Dec-2021 03:43 PM,Rejected-AOC,Bidder found L2,10-Jan-2022 01:47 PM,,,,,,,,AOC,,,,,,,.pdf,Scanned copy of the registration/ authorization certificate of Govt. agency/ charted structural engg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,251526.0,P&R Infraprojects Ltd,21-Dec-2021 04:29 PM,Rejected-AOC,Bidder found L3,10-Jan-2022 01:47 PM,,,,,,,,AOC,,,,,,,.pdf,Scanned copy of self-certification of type of dead load to be provided for load testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,250280.0,VMEM ENGINEERING SERVICES,20-Dec-2021 05:55 PM,Accepted-AOC,Bidder found L1,10-Jan-2022 01:47 PM,,,,,,,,AOC,,,,,,,.pdf,Scanned copy of Bid submission form under Section VIII of bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of affidavit on a non-judicial stamp paper of Rs.100/- as per tech bid clause ix of pg.no 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,copy of the PAN card and GST no. of the company or the proprietor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copies of audited Annual Account and the Balance sheet as per clause 8 of Section VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"Certified copies of the ITR for three financial years 2018-19, 2019-20, 2020-21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Copy of similar work done as per pre qualification criteria clause 1 of section VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,Finacial Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
