Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,Tender Stage
Technical,Bid opening summary,Jagtar Singh Thakur,01-Jul-2021 05:31 PM,technical_72622.pdf,1.0,218406.0,Ajay Kumar,24-Jun-2021 09:40 PM,Rejected-Technical,Non Responsive,01-Jul-2021 05:34 PM,1.0,217931.0,Rajeev Kumar,INR,"5,159,378",Finance,Proceeding,Jagtar Singh Thakur,04-Jan-2022 11:35 AM,finance_72622.pdf,BOQ Comparative Chart,Executive Engineer Dehra HPPWD Dehra,Internal,"AE to EE ,DAO,DHD,Supdt.",Jagtar Singh Thakur,04-Jan-2022 11:38 AM,finsummary_72622.pdf (439.37 KB),04-Jan-2022,"INR 5,159,378",365.0,Jagtar Singh Thakur,04-Jan-2022 11:40 AM,Award.pdf (1070.00 KB),Award,PWD,2021_PWD_48449_1,EE Dehra letter No.1193-97 dated 28.05.2021,Balance work for the construction of 4 Nos. Type-II Quarters for the staff of Assistant District Attorney at Dehra District Kangra HP,ER Dinesh Kumar Dhiman EE,Internal,Er Raghubir Singh AE to EE Sh Dalip Jha DAO Sh Rajneesh kumar Superintendent Smt Sushma Sharma,Jagtar Singh Thakur,01-Jul-2021 05:34 PM,05-Jul-2021 10:30 AM,techsummary_72622.pdf (679.80 KB),AOC,Balance work for the construction of 4 Nos. Type-II Quarters for the staff of Assistant District Attorney at Dehra District Kangra HP,Construction of Building portion including water supply and sanitary installation and Rain harvesting Tank,Please refer to tender document ,NA ,,Civil Works - Buildings,C/O building ,Tender,120.0,365.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"63,700",No,fixed,,Nil,Nil,"1,500",Nil,Nil,No,1.0,ICICI BANK,12-Jun-2021 10:00 AM,26-Jun-2021 11:30 AM,12-Jun-2021 10:00 AM,25-Jun-2021 06:00 PM,12-Jun-2021 10:00 AM ,16-Jun-2021 04:00 PM ,12-Jun-2021 10:00 AM,25-Jun-2021 06:00 PM,05-Jul-2021 10:30 AM,PWD,EE Dehra letter No.1193-97 dated 28.05.2021,2021_PWD_48449_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form through e-challan/online,Executive Engineer,Dehra Division HPPWD Dehra,AOC
,,,,,2.0,217932.0,Ashwani,25-Jun-2021 05:16 PM,Rejected-AOC,Rejected,04-Jan-2022 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money through e-challan/online,,,AOC
,,,,,3.0,217931.0,Rajeev Kumar,25-Jun-2021 05:06 PM,Accepted-AOC,Accepted,04-Jan-2022 11:40 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Contractor Registration,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration No.,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Works in hand (General Rule No.19),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of (General Rule 28.2.b),,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit with declaration that he has not more than two works in hand,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the Information furnished with the bid are correct,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted non Gazetted officer,,,AOC
