Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Chief Project Director IDP Solan||DPO Sirmaur,N-1/V.Pond/2021-22,2021_CPD1_53850_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,C/O village pond in RF Parduni (Riyala) GP Parduni under APO Nahan,C/O village pond in RF Parduni (Riyala) GP Parduni under APO Nahan,1. Cost of tender form in shape of DD in favour of DPO(IDP) for Rs 300/- 2. Bid security in shape of FDR/TDR/CDR for Rs. 15700/- ,NA ,"3,13,500",Agricultural or Forestry,NA ,Tender,90.0,80.0,RF Parduni (Riyala) GP Pardun,173025.0,NA ,NA ,NA ,Office of DPO(IDP) Sirmour,No ,No,22-Nov-2021 05:00 PM,08-Dec-2021 11:20 AM,22-Nov-2021 05:00 PM,07-Dec-2021 05:00 PM,NA ,NA ,22-Nov-2021 05:00 PM,07-Dec-2021 05:00 PM,13-Dec-2021 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form in shape of DD for Rs 300/- in favour of DPO(IDP) Sirmour payable at Nahan only.,"15,700",No,fixed,,Distt Project officer (IDP) Sirmour,Nahan,300.0,Distt Project officer (IDP) Sirmour,Nahan,No,Distt Project Officer(IDP) Sirmour HP,"Near DFO Office, Court Road Nahan Distt Sirmour HP 173001",AOC,1.0,248212.0,NARAYAN DUTT,INR,"139,589",06-Jan-2022,"INR 139,589",80.0,Pradeep Kumar,06-Jan-2022 04:11 PM,N1VillPond.pdf (792.00 KB),C/O village pond in RF Parduni (Riyala) GP Parduni under APO Nahan,Chief Project Director IDP Solan||DPO Sirmaur,2021_CPD1_53850_1,N-1/V.Pond/2021-22,C/O village pond in RF Parduni (Riyala) GP Parduni under APO Nahan,SUPTT,Internal,Sh Kaku Ram APO Smt Ayodhaya FEO,Pradeep Kumar,06-Jan-2022 11:54 AM,finsummary_80608.pdf (418.85 KB),Finance,All 11 bidders qualified for financial bid,Pradeep Kumar,06-Jan-2022 11:46 AM,finance_80608.pdf,BOQ Comparative Chart,1,248253,alamdeen,07-Dec-2021 03:59 PM,Rejected-Finance,Being L 4,06-Jan-2022 11:54 AM,Technical,Total eleven bidders participated in the bidder process and all eleven bidders qualified for Financial bid opening.,Pradeep Kumar,13-Dec-2021 02:11 PM,technical_80608.pdf,Suptt,Internal,Sh Kaku Ram APO Smt Ayodhaya FEO,Pradeep Kumar,13-Dec-2021 02:26 PM,13-Dec-2021 03:00 PM,techsummary_80608.pdf (418.85 KB),AOC
,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security in shape of FDR/TDR/CDR for Rs 15700/-,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,248102,Deepak Kumar Contractor,06-Dec-2021 06:33 PM,Rejected-Finance,Being L 2,06-Jan-2022 11:54 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ for construction of Village pond in RF Parduni (Riyala) GP Parduni under APO Nahan,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,248226,DEVRAJ,07-Dec-2021 03:10 PM,Rejected-Finance,Being L 6,06-Jan-2022 11:54 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,248138,Jamseed,07-Dec-2021 03:39 PM,Rejected-Finance,Being L 5,06-Jan-2022 11:54 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,247446,K.K.Traders,03-Dec-2021 12:05 PM,Rejected-Finance,Being L 8,06-Jan-2022 11:54 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,248212,NARAYAN DUTT,07-Dec-2021 02:50 PM,Accepted-AOC,L 1,06-Jan-2022 04:11 PM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,248240,NITIN SHARMA,07-Dec-2021 03:49 PM,Rejected-Finance,Being L 9,06-Jan-2022 11:54 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,248180,RAVI DUTT CONTRACTOR,07-Dec-2021 01:06 PM,Rejected-Finance,Being L 11,06-Jan-2022 11:54 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,248248,sukhvinder singh,07-Dec-2021 03:58 PM,Rejected-Finance,Being L 10,06-Jan-2022 11:54 AM,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,248231,Sunil Contractor,07-Dec-2021 03:09 PM,Rejected-Finance,Being L 7,06-Jan-2022 11:54 AM,,,,,,,,,,,,,AOC
