Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Finance,Financial opening summary,Vijay Kumar Chauhan,30-Dec-2021 12:01 PM,finance_81319.pdf,BOQ Comparative Chart,1.0,249113.0,PANKAJ CHAUHAN GOVT. CONTRACTOR,INR,"1,582,266",Technical,Bid Opening Summary,Rajesh Kumar,21-Dec-2021 01:07 PM,technical_81319.pdf,1.0,248838.0,ABHAY MEHTA,13-Dec-2021 12:02 PM,Rejected-Technical,Technically non responsive,29-Dec-2021 01:02 PM,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R.Shandil, Head Draughtsman, Jiya Lal, Draughtsman",Vijay Kumar Chauhan,20-Jan-2022 03:42 PM,finsummary_81319.pdf (432.37 KB),21-Jan-2022,"INR 1,922,803",90.0,Vijay Kumar Chauhan,21-Jan-2022 03:33 PM,Summary.pdf (636.00 KB),Award letter,PWD,2021_PWD_54298_3,PW.THD/CB-tender/21-9197-9201,Improvement of black spot Kargoli Nallah to Deha road km 0.00 to 8.00,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"Deepak Sharma, Sr. DAO, L.R. Shandil, HDM, Kewal Ram, Supdt. Gr-II, Leela Verma, , Sr. Asstt.",Vijay Kumar Chauhan,29-Dec-2021 01:02 PM,29-Dec-2021 03:30 PM,techsummary_81319.pdf (463.48 KB),AOC,"40,000",No,fixed,,Nil,Nil,Improvement of black spot Kargoli Nallah to Deha road km 0.00 to 8.00,"Providing and fixing W beam crash barrier in km 0.130 to 0.1601/760 to 1/780, 3/040- to 3/090 and 7/225 to 7/555",As per GCC ,NA ,"19,22,803",Civil Works - Roads,NA ,Tender,90.0,90.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla, HP",1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,1.0,ICICI BANK,PWD,PW.THD/CB-tender/21-9197-9201,2021_PWD_54298_3,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,03-Dec-2021 05:00 PM,14-Dec-2021 11:00 AM,03-Dec-2021 05:00 PM,13-Dec-2021 05:00 PM,NA ,NA ,03-Dec-2021 05:00 PM,13-Dec-2021 05:00 PM,29-Dec-2021 03:30 PM,AOC
,,,,,,,,,,,,,,,,2.0,249216.0,Akhil Chauhan,13-Dec-2021 04:23 PM,Rejected-Finance,Being higher rate,20-Jan-2022 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,3.0,249113.0,PANKAJ CHAUHAN GOVT. CONTRACTOR,13-Dec-2021 02:44 PM,Accepted-AOC,Being L1,21-Jan-2022 03:33 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,4.0,249104.0,Sandeep Verma,13-Dec-2021 12:42 PM,Rejected-Finance,Being higher rate,20-Jan-2022 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,5.0,248717.0,suresh sharma,13-Dec-2021 03:46 PM,Rejected-Finance,Being higher rate,20-Jan-2022 03:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pan Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
