Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
N M Saini ENC P Mandi,Internal,CE PMU JSV Mandi CE MZ Mandi SE Circle Sundernagar SE PMU Mandi SE ENC P Mandi EE D PMU ENC P Mandi EE JSD Padhar Deputy Controller,Pardeep Kumar Sharma,22-Jun-2021 10:52 AM,22-Jun-2021 02:00 PM,techsummary_71015.pdf (7065.85 KB),1.0,212744.0,HARJEET SINGH,25-May-2021 03:59 PM,Accepted-AOC,Accept,24-Jan-2022 03:08 PM,Finance,MINUTES OF MEETING,Harsh Sharma,21-Jan-2022 06:10 PM,finance_71015.pdf,BOQ Comparative Chart,Technical,Proceeding Technical,Pardeep Kumar Sharma,22-Jun-2021 10:46 AM,technical_71015.pdf,24-Jan-2022,"INR 819,711,645",730.0,Suresh Mahajan,24-Jan-2022 03:08 PM,awardletterpadhar.pdf (1105.00 KB),Award Letter,1.0,212744.0,HARJEET SINGH,INR,"810,679,866",HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,2021_HPIPH_47279_1,PMU 272-332,Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of LWSS/WSS to PC Habitation Baragaon,ENC P Mandi,Internal,CE MZ Mandi CE PMU SE PMU SE Sundernagar EE ENC P EE PMU EE Padhar Dy Controller PMU Mandi,Suresh Mahajan,24-Jan-2022 03:05 PM,finsummary_71015.pdf (2756.78 KB),AOC,"54,62,153",Yes,fixed,,Nil,Nil,1.0,ICICI NEFT/RTGS,Engineering procurement construction testing commissioning trail run and operation and maintenance of various components of LWSS/WSS to PC Habitation Baragaon,ultimate capacity of bringing 4.29 MLD of Beas River 1.30 MLD of Uhl River and 0 .894 MLD of Rithachak Nallah Treated water 16 hours of pumping from the Intake Point on River Beas and River,Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,180.0,180.0,PMU Mandi Tarna Hill,175001.0,PMU Mandi  ,PMU Mandi  ,17-May-2021 11:00 AM ,Mandi at Tarna,No ,No,HP Irrigation and Public Health||JSV (Project) Mandi||Project Director (PMU) HPRWSP JSV Mandi,PMU 272-332,2021_HPIPH_47279_1,Yes,Open Tender,Item Wise,Works,3.0,No,No,Online,No,No,No,1.0,Fee,.pdf,Tender Form Cost,1.0,Corri,Other,,CE PMU Mandi,Tarna Hill Mandi,07-May-2021 05:00 PM,28-May-2021 11:30 AM,07-May-2021 05:00 PM,28-May-2021 11:00 AM,NA ,NA ,07-May-2021 06:00 PM,28-May-2021 11:00 AM,22-Jun-2021 02:00 PM,"2,500",Nil,Nil,No,AOC
,,,,,,,2.0,213986.0,R.G. INDUSTRIES,27-May-2021 06:27 PM,Rejected-Finance,Reject,24-Jan-2022 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,3.0,213421.0,Unipro Techno Infrastructure Pvt Ltd,27-May-2021 12:17 PM,Rejected-Finance,Reject,24-Jan-2022 03:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate copy of registration with Jal Shakti Vibhag or any other,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate copy of EPF registration,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual Trun Over of three years,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid form as per Chapter IV of form 12 duly accepted,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average Annual Turnover of the firm in last three consecutive years,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of similar nature of work,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration Copy of PAN and GST No,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Authorization letter regarding DSC,,,,,,,,,,,,,,,,,,,,AOC
