Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
HPSEBL||CE(OP) CZ Mandi||SE(OP) Kullu,NIT-08/8632-37,2021_HPSEB_45432_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,"Supply of Power to LWSS to Village Thalkandhar Stage-I under Electrical Sub-Division HPSEBL, Nagwain on Turnkey Basis.","Supply of Power to LWSS to Village Thalkandhar Stage-I under Electrical Sub-Division HPSEBL, Nagwain on Turnkey Basis.",Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,180.0,30.0,Nagwain,175125.0,NA ,NA ,NA ,"O/O SE (OP) Circle, HPSEBL, Kullu",No ,No,1.0,Fee/PreQual/Technical,.pdf,A class Electrical Licence of HP Govt. as per NIT,"SE (OP) Circle, HPSEBL, Kullu","O/O SE (OP) Circle, HPSEBL, Kullu","28,890",No,fixed,,"Sr. Executive Engineer, ED, Thalout","Sr. Executive Engineer, ED, Thalout",1.0,DD - Demand Draft,12-Mar-2021 10:00 AM,26-Mar-2021 03:30 PM,12-Mar-2021 10:00 AM,24-Mar-2021 05:00 PM,NA ,NA ,12-Mar-2021 10:00 AM,24-Mar-2021 05:00 PM,05-Apr-2021 11:30 AM,"2,800","Sr. Executive Engineer, ED, Thalout","Sr. Executive Engineer, ED, Thalout",No,AOC,19-Jan-2022,"INR 1,077,072.32",30.0,Sanjay Kaushal,19-Jan-2022 02:52 PM,AOCNIT8.pdf (3890.00 KB),Work awarded to the L1 bidder after completing all codal formalities,Technical,Above all four number bidders fulfils NIT terms and conditions hence qualified,Sanjay Kaushal,01-Apr-2021 02:44 PM,technical_68355.pdf,Finance,Sh. Dile Ram Class A Govt Contractor village Tikkar Post Office Bassi Tehsil Chachiot District Mandi was L1 bidder hence awarded,Sanjay Kaushal,08-Apr-2021 03:54 PM,finance_68355.pdf,BOQ Comparative Chart,1.0,205629.0,DILE RAM,24-Mar-2021 11:15 AM,Accepted-AOC,L-1 bidder,19-Jan-2022 02:52 PM,Er Sanjay Kaushal SE Operation Circle HPSEBL Kullu,Internal,Er Aayush Minhas Sr XEN Comm and Works Sh Yuv Raj Negi AAO,Sanjay Kaushal,01-Apr-2021 02:47 PM,05-Apr-2021 11:30 AM,techsummary_68355.pdf (572.17 KB),SE OP Circle HPSEBL Kullu,Internal,Sr Executive Engineer commerce and works AAO of this office,Sanjay Kaushal,19-Jan-2022 02:48 PM,finsummary_68355.pdf (363.06 KB),HPSEBL||CE(OP) CZ Mandi||SE(OP) Kullu,2021_HPSEB_45432_1,NIT-08/8632-37,"Supply of Power to LWSS to Village Thalkandhar Stage-I under Electrical Sub-Division HPSEBL, Nagwain on Turnkey Basis.",1.0,205629.0,DILE RAM,INR,"990,968",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in shape of Demand Draft as per NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,205594.0,DINE RAM,23-Mar-2021 11:49 PM,Rejected-Finance,L-4 bidder,19-Jan-2022 02:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Document Fee in shape of Demand Draft as per NIT,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,205599.0,MANUJ VAISDYA,23-Mar-2021 11:58 PM,Rejected-Finance,L-2 bidder,19-Jan-2022 02:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Income Tax, GST, AADHAR and PAN scanned copy",,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4.0,205265.0,SUBHASH ELECTRICALS,23-Mar-2021 09:06 AM,Rejected-Finance,L-3 bidder,19-Jan-2022 02:48 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certification of performance/experience in the same field as per Bid Document.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual Turnover required as per Bid Document,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration regarding non blacklisted in Judicial Stamp paper,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration about completion period as per Bid Document,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration of acceptance validity of tender as per tender requirement.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
