Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,"PBMC of Nagrota Pathiar via Chahri road (HP0408VR039) Km 4/135 to 6/000, Yol to 53 Mile road (HP0408VR029) Km 0/000 to 10/000, Malan Ambari Kawari road (HP0408VR045) Km 0/000 to 6/500 and Nagrota to Buner road (HP0408VR053) Km 0/000 to 6/000","PBMC of Nagrota Pathiar via Chahri road (HP0408VR039) Km 4/135 to 6/000, Yol to 53 Mile road (HP0408VR029) Km 0/000 to 10/000, Malan Ambari Kawari road (HP0408VR045) Km 0/000 to 6/500 and Nagrota to Buner road (HP0408VR053) Km 0/000 to 6/000",Please refer Tender documents. ,NA ,"16,92,427",Civil Works - Roads,NA ,Tender,120.0,365.0,Tanda,176002.0,NA ,NA ,NA ,O/o Executive Engineer HP PWD Division Tanda,No ,No,500.0,Nil,Nil,No,07-Oct-2021 04:00 PM,16-Oct-2021 11:30 AM,07-Oct-2021 04:00 PM,16-Oct-2021 10:00 AM,NA ,NA ,07-Oct-2021 04:00 PM,16-Oct-2021 10:00 AM,27-Oct-2021 11:00 AM,"32,900",No,fixed,,Nil,Nil,Executive Engineer,O/o Executive Engineer HP PWD Division Tanda,PWD,PWD- Civil-7328-Tanda,2021_PWD_52228_8,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1.0,240404.0,atul thakur,15-Oct-2021 02:27 PM,Accepted-AOC,Award,03-Jan-2022 03:25 PM,Technical,Sum,Ankit Kumar,26-Oct-2021 12:57 PM,technical_79143.pdf,1.0,240404.0,atul thakur,INR,"2,395,200",Finance,Sum,Ankit Kumar,13-Dec-2021 01:17 PM,finance_79143.pdf,BOQ Comparative Chart,Dr Suresh Kumar Walia,Internal,Er Surinder AE Pankaj Rana Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Ankit Kumar,26-Oct-2021 12:58 PM,27-Oct-2021 11:00 AM,techsummary_79143.pdf (1008.53 KB),PWD,2021_PWD_52228_8,PWD- Civil-7328-Tanda,"PBMC of Nagrota Pathiar via Chahri road (HP0408VR039) Km 4/135 to 6/000, Yol to 53 Mile road (HP0408VR029) Km 0/000 to 10/000, Malan Ambari Kawari road (HP0408VR045) Km 0/000 to 6/500 and Nagrota to Buner road (HP0408VR053) Km 0/000 to 6/000",30-Dec-2021,"INR 1,692,427",365.0,Suresh Kumar Walia,03-Jan-2022 03:25 PM,Award.pdf (3169.00 KB),Award,Dr Suresh Kumar Walia,Internal,Er Surinder AE Pankaj Rana Supdt Gr II Ajay Mahajan HDM Suraj Parkash DAO Ashok Kumar TA,Ankit Kumar,13-Dec-2021 01:19 PM,finsummary_79143.pdf (190.59 KB),AOC
,,.pdf,Contractor registration No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2.0,240429.0,Vishesh Dhiman,13-Oct-2021 02:53 PM,Rejected-Finance,Lowest 2,13-Dec-2021 01:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Detail of Machinery and Technical Staff as per SBD with proof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
