Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
DFO Shimla (Rural),DFO Office Shimla Mist Chamber Khalini Shimla,Providing Chain link Fabric Fencing,Providing Chain link Fabric Fencing along Mashobra Bekhalti Road R.D. 0.00 to 0.800 mtrs under Seepur beat.,Please refer tender document ,NA ,"13,32,734",Civil Works,NA ,Tender,45.0,30.0,Seepur beat of Mashobra Range,171007.0,NA ,NA ,NA ,DFO Office Shimla (R),No ,No,"26,660",No,fixed,,DFO Shimla,Shimla,1.0,DD - Demand Draft,Himachal Pradesh Forest Department||Shimla - HPFD||Shimla Division - HPFD,02/2021-22,2021_FD_55006_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,24-Dec-2021 10:00 AM,31-Dec-2021 11:00 AM,24-Dec-2021 10:30 AM,30-Dec-2021 05:00 PM,24-Dec-2021 10:30 AM ,30-Dec-2021 05:00 PM ,24-Dec-2021 10:30 AM,30-Dec-2021 05:00 PM,01-Jan-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form(Schedule F),500.0,DFO Shimla,Shimla,No,AOC,12-Jan-2022,"INR 1,332,734",30.0,Krishan Kumar,20-Jan-2022 01:08 PM,Awardletter02.pdf (943.00 KB),Finance,Financial Summary,Krishan Kumar,03-Jan-2022 01:09 PM,finance_82472.pdf,BOQ Comparative Chart,Technical,10 out of 12 bidders are found technically qualified,Krishan Kumar,31-Dec-2021 05:20 PM,technical_82472.pdf,1,253311,Ajay Sharma,30-Dec-2021 02:53 PM,Rejected-AOC,Rejected being L2,20-Jan-2022 01:08 PM,Krishan Kumar,Internal,Om Prakash ACF and Bhuvneshwar Singh Sr Asstt,Krishan Kumar,03-Jan-2022 01:28 PM,finsummary_82472.pdf (312.75 KB),Himachal Pradesh Forest Department||Shimla - HPFD||Shimla Division - HPFD,2021_FD_55006_1,02/2021-22,Providing Chain link Fabric Fencing,1.0,253295.0,SANDEEP KANT SHARMA,INR,"1,003,843",Krishan Kumar IFS,Internal,Om Prakash HPFS Bhuvneshwar Singh Sr Asst,Krishan Kumar,31-Dec-2021 05:33 PM,01-Jan-2022 11:00 AM,techsummary_82472.pdf (230.22 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD (Schedule F),,,,,AOC,,,,,,,,,,,,,,,,,,2,252937,BHUSHAN THAKUR,29-Dec-2021 12:44 PM,Rejected-AOC,Rejected being L9,20-Jan-2022 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 duly signed,,,,,AOC,,,,,,,,,,,,,,,,,,3,253330,Champa sharma,30-Dec-2021 03:49 PM,Rejected-AOC,Rejected being L6,20-Jan-2022 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. and copy of latest return filed, EPF No. and copy of latest return files",,,,,AOC,,,,,,,,,,,,,,,,,,4,253339,MUKESH KUMAR,30-Dec-2021 04:31 PM,Rejected-AOC,Rejected being L5,20-Jan-2022 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of work done and work in hand certificate ( General Rule 23),,,,,AOC,,,,,,,,,,,,,,,,,,5,253327,Prajval Parmar,30-Dec-2021 03:47 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Dec-2021 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (General Rule 23),,,,,AOC,,,,,,,,,,,,,,,,,,6,253334,RAHUL KANWAR,30-Dec-2021 04:21 PM,Rejected-AOC,Rejected being L10,20-Jan-2022 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"An affidavit of machinery tools, plants along with documentary prrof",,,,,AOC,,,,,,,,,,,,,,,,,,7,253268,RAJEEV SHARMA,30-Dec-2021 02:04 PM,Rejected-AOC,Rejected being L4,20-Jan-2022 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BoQ,,,,,AOC,,,,,,,,,,,,,,,,,,8,253284,Rajesh Sharma,30-Dec-2021 02:06 PM,Rejected-AOC,Rejected Being L3,20-Jan-2022 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,9,253331,SAHIL CHAUHAN,30-Dec-2021 04:06 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,31-Dec-2021 05:20 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,10,253295,SANDEEP KANT SHARMA,30-Dec-2021 01:41 PM,Accepted-AOC,Awarded Being L1,20-Jan-2022 01:08 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
