Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
17-Sep-2021 10:00 AM,24-Sep-2021 11:30 AM,17-Sep-2021 10:00 AM,24-Sep-2021 10:00 AM,NA ,NA ,17-Sep-2021 10:00 AM,24-Sep-2021 10:00 AM,25-Sep-2021 03:30 PM,1.0,DD - Demand Draft,"SITC of Bed Head panel with laying medical copper pipe for Oxygen air and vacuum at make shift Hospital Covid 19 at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk Distt Mandi HP","SITC of Bed Head panel with laying medical copper pipe for Oxygen air and vacuum at make shift Hospital Covid 19 at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk Distt Mandi HP",please refer to bid document ,NA ,"9,66,191",Electrical Works,NA ,Tender,75.0,30.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"19,350",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-4553-63 dt 08.09.21,2021_PWD_52280_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,Finance,finsummary,Munish Bhopal,05-Oct-2021 04:07 PM,finance_78104.pdf,BOQ Comparative Chart,1.0,236550.0,AnKServices,INR,"950,090",1.0,236550.0,AnKServices,24-Sep-2021 09:25 AM,Accepted-AOC,WORK AWARDED TO M/S AnK Services BEING L1 FIRM,20-Jan-2022 03:45 PM,Technical,techsummary,Munish Bhopal,25-Sep-2021 03:07 PM,technical_78104.pdf,PWD,2021_PWD_52280_1,PW/MED/TA/NIT/ e-notice/21-22-4553-63 dt 08.09.21,"SITC of Bed Head panel with laying medical copper pipe for Oxygen air and vacuum at make shift Hospital Covid 19 at Shri Lal Bahadur Shastri Govt. Medical College and Hospital, Nerchowk Distt Mandi HP",Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Chaman lal Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,25-Sep-2021 03:25 PM,25-Sep-2021 03:30 PM,techsummary_78104.pdf (7432.66 KB),Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh Chaman lal Sr Asstt Sh Manish Kumar Clerk,Munish Bhopal,05-Oct-2021 04:32 PM,finsummary_78104.pdf (301.46 KB),11-Oct-2021,"INR 950,090",30.0,Munish Bhopal,20-Jan-2022 03:45 PM,AOC.pdf (562.00 KB),WORK AWARDED TO M/S AnK Services BEING L1 FIRM,AOC
,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,OEM (Medical Gas pipe line system) Authorized agency of OEM as per TQC,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,2.0,237558.0,ULTIMED SOLUTION,23-Sep-2021 05:22 PM,Rejected-Finance,Rejected being L2 firm/ contractor,05-Oct-2021 04:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt. Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
