Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Bank Name,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Superintending Engineer,Internal,"Superintending Engineer, EE (D) EE Jaisinghpur, DAO, CHD Palampur",R.K Dhiman,18-Dec-2021 02:49 PM,finsummary_79972.pdf (295.61 KB),27-Jan-2022,"INR 33,108,000",365.0,R.K Dhiman,31-Jan-2022 01:17 PM,Award.pdf (414.00 KB),Award,PWD,2021_PWD_53443_1,Construction of link road from Mandh Khad Pul to B,Construction of link road from Mandh Khad Pul to Bari Nadol (Bhoota Da Gaon) Km 0/00 to 3/500 in District Kangra (H.P.),Superintending Engineer,Internal,"Superintending Engineer, EE (D), EE Jaisinghpur, DAO Jaisinghpur, CHD Palampur",R.K Dhiman,02-Dec-2021 01:31 PM,07-Dec-2021 11:00 AM,techsummary_79972.pdf (432.29 KB),Technical,Summary,R.K Dhiman,02-Dec-2021 01:26 PM,technical_79972.pdf,1.0,245310.0,G.P.ACHARYA,26-Nov-2021 01:20 PM,Rejected-Finance,Rejected due to higher rates bidder L5,18-Dec-2021 02:49 PM,Finance,Summary,R.K Dhiman,18-Dec-2021 02:38 PM,finance_79972.pdf,BOQ Comparative Chart,1.0,244676.0,Rohit,INR,"26,705,653",AOC,1.0,ICICI BANK,Superintending Engineer,Superintending Engineer 5th circle hppwd Palampur,1.0,Technical bid,Technical Bid,,Construction of link road from Mandh Khad Pul to Bari Nadol (Bhoota Da Gaon) Km 0/00 to 3/500 in District Kangra (H.P.),"Formation Cutting, Passing Places, R/walls, Missing C.D. work, GSB, WBM-II,WBM-III, Tarring work, CC Pavement, Side Drain ,Parapets and road Furniture including routine maintenance for five years after completion of construction work) . (Under NABA",Please refer Tender documents. ,NA ,"3,31,07,970",Civil Works - Roads,NA ,Tender,75.0,365.0,Jaisinghpur,176095.0,NA ,NA ,NA ,5th circle palampur,No ,No,11-Nov-2021 02:30 PM,27-Nov-2021 11:30 AM,11-Nov-2021 03:00 PM,26-Nov-2021 05:00 PM,NA ,NA ,11-Nov-2021 03:00 PM,26-Nov-2021 05:00 PM,07-Dec-2021 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Bid for Part-I of the Bid as per Section-6.,"6,63,000",No,fixed,,Nil,Nil,PWD,Construction of link road from Mandh Khad Pul to B,2021_PWD_53443_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,245415.0,Kuldeep Chand Rana,26-Nov-2021 03:45 PM,Rejected-Technical,Non Responsive,02-Dec-2021 01:31 PM,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of Tender Form as per Section-1 Point No-3,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,244676.0,Rohit,26-Nov-2021 04:32 PM,Accepted-AOC,Accepted due to lowest rates bidder L1,31-Jan-2022 01:17 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security as per Section-2 Cl-16.1,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,244006.0,Sanjeev,26-Nov-2021 01:50 PM,Rejected-Finance,Rejected due to higher rates bidder L4,18-Dec-2021 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration as per Q.I-Section 3(1.1),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,244043.0,SANJIV KUMAR,26-Nov-2021 03:57 PM,Rejected-Finance,Rejected due to higher rates bidder L2,18-Dec-2021 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.3.1), (1.3.2) (1.3.3)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,245247.0,V.B Const Co.,26-Nov-2021 04:29 PM,Rejected-Finance,Rejected due to higher rates bidder L3,18-Dec-2021 02:49 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.4), (1.5)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.2), (1.7)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section 3 (1.6), (1.8), (1.9), (1.10)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Q.I. as per Section-2 Cl(4.2,4.4 -A and B)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Others documents i.e. GST, PAN, EPF etc.",,,,,,,,,,,,,,,,,,,,,,,,,AOC
