S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage
1.0,245294.0,SHARMA ELECTRICAL CO.,INR,"955,346",Finance,finsummary,Munish Bhopal,03-Dec-2021 03:41 PM,finance_80494.pdf,BOQ Comparative Chart,Technical,Techsummary,Munish Bhopal,29-Nov-2021 03:45 PM,technical_80494.pdf,1.0,245325.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,26-Nov-2021 01:35 PM,Rejected-Finance,Rejected being L2 firm/ contractor,03-Dec-2021 04:07 PM,Er Munish Bhopal EE,Internal,Sh Johan Gupta Superintendent Sh Ram Singh JDM Sh Kapil Dev Soni Sr Asstt,Munish Bhopal,03-Dec-2021 04:07 PM,finsummary_80494.pdf (426.92 KB),29-Dec-2021,"INR 955,346",365.0,Munish Bhopal,20-Jan-2022 04:11 PM,AOC.pdf (622.00 KB),work awarded to M/s SHARMA ELECTRICAL CO being L1 firm,PWD,2021_PWD_53753_1,PW/MED/TA/NIT/ e-notice/21-22-5457-62 dt 11.11.21,"RM and Contract for passenger Elevators No. 40235090, 40235091, 40235092, 40235093, 40235060, 40235055 of Boys Hostel Block B. Residential type IV Block B C, Residential type VI Block B C, Nursing College V. C. installed in Shri Lal Bahadur Shast",Er Munish Bhopal EE,Internal,Sh Chaman lal Sr Asstt Sh. Ram Singh JDM Sh Manish Kumar Clerk,Munish Bhopal,29-Nov-2021 03:53 PM,29-Nov-2021 04:00 PM,techsummary_80494.pdf (384.86 KB),AOC,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"18,800",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,20-Nov-2021 10:00 AM,27-Nov-2021 11:30 AM,20-Nov-2021 10:00 AM,27-Nov-2021 10:00 AM,NA ,NA ,20-Nov-2021 10:00 AM,27-Nov-2021 10:00 AM,29-Nov-2021 04:00 PM,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",PWD,PW/MED/TA/NIT/ e-notice/21-22-5457-62 dt 11.11.21,2021_PWD_53753_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,"RM and Contract for passenger Elevators No. 40235090, 40235091, 40235092, 40235093, 40235060, 40235055 of Boys Hostel Block B. Residential type IV Block B C, Residential type VI Block B C, Nursing College V. C. installed in Shri Lal Bahadur Shast","RM and Contract for passenger Elevators No. 40235090, 40235091, 40235092, 40235093, 40235060, 40235055 of Boys Hostel Block B. Residential type IV Block B C, Residential type VI Block B C, Nursing College V. C. installed in Shri Lal Bahadur Shast",plz refer to bid document ,NA ,"9,39,251",Electrical Works,NA ,Tender,75.0,365.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC
,,,,,,,,,,,,,,,,2.0,245294.0,SHARMA ELECTRICAL CO.,26-Nov-2021 11:29 AM,Accepted-AOC,work awarded to M/s SHARMA ELECTRICAL CO being L1 firm,20-Jan-2022 04:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,.pdf,OEM (Lift Elevator) / Authorized agency of OEM as per TQC (see detail in bid document),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC
,,,,,,,,,,,,,,,,3.0,245530.0,SOPHUS ELEVATORS PVT LTD,26-Nov-2021 08:24 PM,Rejected-Technical,Bid responsive but disqualified,29-Nov-2021 03:54 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
