Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,26-Jul-2021 05:05 PM,finsummary_73712.pdf (174.19 KB),26-Jul-2021,"INR 1,137,000",90.0,Sushil Kumar Dhadwal,20-Jan-2022 12:13 PM,49208-2.PDF (166.00 KB),Anuj Aggarwal,PWD,2021_PWD_49208_2,dshala 1533-60,"Repair and Renovation of Zonal Hospital at Dharmashala, Distt. Kangra HP (Deposit work)",Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,15-Jul-2021 04:51 PM,15-Jul-2021 04:55 PM,techsummary_73712.pdf (277.73 KB),Technical,As per documents attached,Tarlok Dhiman,15-Jul-2021 04:34 PM,technical_73712.pdf,1.0,221313.0,Ajeev Kumar,08-Jul-2021 02:05 PM,Rejected-Finance,Being on higher side,26-Jul-2021 05:05 PM,1.0,221026.0,Anuj,INR,"1,137,000",Finance,As per document attached,Tarlok Dhiman,15-Jul-2021 05:01 PM,finance_73712.pdf,BOQ Comparative Chart,AOC,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,30-Jun-2021 09:00 AM,09-Jul-2021 11:30 AM,30-Jun-2021 09:00 AM,09-Jul-2021 11:00 AM,NA ,NA ,30-Jun-2021 09:00 AM,09-Jul-2021 11:00 AM,15-Jul-2021 04:55 PM,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,1.0,ICICI BANK,"42,750",No,fixed,,Nil,Nil,"Repair and Renovation of Zonal Hospital at Dharmashala, Distt. Kangra HP (Deposit work)",Additional Alteration of Zonal Hospital for purpose of Covid -19 ( Con. To Covid -19 Bed) Block C floor 500 to 600 and 600 to 700,Please refer Tender documents. ,NA ,"23,49,600",Civil Works - Buildings,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,PWD,dshala 1533-60,2021_PWD_49208_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,221026.0,Anuj,09-Jul-2021 09:23 AM,Accepted-AOC,Being lowest bidder,20-Jan-2022 12:13 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Valid Contractors registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,222267.0,KARAN DHADWAL,09-Jul-2021 09:37 AM,Rejected-Finance,Being on higher side,26-Jul-2021 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,221887.0,Rajesh,07-Jul-2021 05:38 PM,Rejected-Finance,Being on higher side,26-Jul-2021 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,221424.0,Sunil Rana,08-Jul-2021 02:58 PM,Rejected-Finance,Being on higher side,26-Jul-2021 05:05 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
