Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,500.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,05-Jul-2021 10:00 AM,12-Jul-2021 11:30 AM,05-Jul-2021 10:00 AM,12-Jul-2021 10:00 AM,NA ,NA ,05-Jul-2021 10:00 AM,12-Jul-2021 10:00 AM,03-Sep-2021 12:25 PM,1.0,ICICI BANK,"24,150",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,PWD,PW/MED/TA/NIT/ e-notice/21-22-2292-01 dt 25.06.21,2021_PWD_49403_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi","Construction Division Office B and R at Janjehli , District Mandi H.P SH Providing 125 KVA D.G. Set therein","Construction Division Office B and R at Janjehli , District Mandi H.P SH Providing 125 KVA D.G. Set therein",Please refer to bid document ,NA ,"12,06,296",Electrical Works,NA ,Tender,75.0,180.0,Janjehli,175047.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,AOC,Er Sanjay Kumar SE,Internal,Sh RS Rana EE Design Sh Munish Bhopal EE Mandi Sh Sachin Thakur EO Smt Shakuntla Verma Supdt,Suresh Kumar Dhiman,03-Sep-2021 12:21 PM,03-Sep-2021 12:25 PM,techsummary_73995.pdf (708.23 KB),PWD,2021_PWD_49403_1,PW/MED/TA/NIT/ e-notice/21-22-2292-01 dt 25.06.21,"Construction Division Office B and R at Janjehli , District Mandi H.P SH Providing 125 KVA D.G. Set therein",15-Nov-2021,"INR 1,090,100",180.0,Munish Bhopal,28-Jan-2022 02:59 PM,AOC.pdf (518.00 KB),WORK AWARDED TO M/S SHARMA ELECTRICAL CO. BEING L1 FIRM,Er Munish Bhopal EE,Internal,Sh Jai Ram HDM Sh. Johan Gupta Supdt Sh Kapil Soni Sr Asstt,Suresh Kumar Dhiman,04-Sep-2021 11:29 AM,finsummary_73995.pdf (318.94 KB),1.0,222361.0,Digvijay Sharma,10-Jul-2021 12:49 PM,Rejected-Finance,Rejected being L2 contractor,04-Sep-2021 11:29 AM,Technical,TECHBID SUMMARY,Suresh Kumar Dhiman,03-Sep-2021 12:12 PM,technical_73995.pdf,1.0,222456.0,SHARMA ELECTRICAL CO.,INR,"1,090,100",Finance,FINSUMMARY,Suresh Kumar Dhiman,04-Sep-2021 11:17 AM,finance_73995.pdf,BOQ Comparative Chart,AOC
,,.pdf,OEM (DG Set) / Electrical contractor of appropriate class duly authorized by OEM as per TQC,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,221472.0,Kalra Hardware and Electric Store,09-Jul-2021 05:48 PM,Rejected-Finance,Rejected being L3 contractor,04-Sep-2021 11:29 AM,,,,,,,,,,,,,,,,,AOC
,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES",,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,222456.0,SHARMA ELECTRICAL CO.,10-Jul-2021 04:16 PM,Accepted-AOC,WORK AWARDED TO M/S SHARMA ELECTRICAL CO. BEING L1 FIRM,28-Jan-2022 02:59 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt/ Semi Govt. Deptt / Board/ PSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
