EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"16,000",No,fixed,,Nil,Nil,PWD,C/O link road to village Dughiar Km. 0/0 to 0/900,2021_PWD_48151_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,07-Jun-2021 10:30 AM,16-Jun-2021 10:30 AM,07-Jun-2021 10:30 AM,16-Jun-2021 10:30 AM,NA ,NA ,07-Jun-2021 10:30 AM,16-Jun-2021 10:30 AM,21-Jun-2021 10:30 AM,Executive Engineer HPPWD Division Barsar,Executive Engineer HPPWD Division Barsar,C/O link road to village Dughiar Km. 0/0 to 0/900,SH Co Rwall at Rd 0 250 to 0 265 PL 900 mm dia RCC hume pipe culvert at Rd 0 150 and PL soling and MT in Km 00 to 0500 Under OTMNP Head,NA ,NA ,,Civil Works,NA ,Tender,120.0,60.0,Barsar,174305.0,NA ,NA ,NA ,Barsar Division HPPWD Barsar,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form.,350.0,Nil,Nil,No,AOC,PWD,2021_PWD_48151_1,C/O link road to village Dughiar Km. 0/0 to 0/900,C/O link road to village Dughiar Km. 0/0 to 0/900,Executive Engineer,Internal,"Supdt.Gr.II, Divisional Accounts Officer, HDM",Anil Kumar Sharma,19-Jun-2021 05:06 PM,21-Jun-2021 10:30 AM,techsummary_72182.pdf (1028.16 KB),EEBarsar,Internal,SupdtHDMSrDAOAE,Vivek Sharma,31-Jan-2022 03:08 PM,finsummary_72182.pdf (754.83 KB),31-Jan-2022,"INR 950,958",60.0,Vivek Sharma,31-Jan-2022 03:13 PM,ShashiKantFFFFAward.pdf (965.00 KB),Award Letter,1.0,217103.0,JEET CHAND GOVT. CONTRACTOR,15-Jun-2021 03:27 PM,Rejected-Finance,l3,31-Jan-2022 03:08 PM,Technical,Attached,Anil Kumar Sharma,19-Jun-2021 05:01 PM,technical_72182.pdf,1.0,217181.0,shashi kant,INR,"950,958",Finance,Award,Vivek Sharma,31-Jan-2022 03:05 PM,finance_72182.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,EMD,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,217181.0,shashi kant,15-Jun-2021 08:49 PM,Accepted-AOC,l1,31-Jan-2022 03:13 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,216640.0,sunil kumar,14-Jun-2021 10:43 AM,Rejected-Finance,l2,31-Jan-2022 03:08 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Work Done certificate (Only Completed Work),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"GST No. with latest clearance return, EPF No. with latest clearance return, Labour License, PAN Card",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery tools and plant with ownership documents/ Affidavit Magistrate/ Notary,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information submitted by bidder is true and correct attested by Magistrate/ Notary,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate countersigned by the Engineer in Charge not below the rank of Executive Eng,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Bidder should not have more than 2 contracts at a time each of Rs. 100.0Lakh ormorein Circ,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding seen the site,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
