Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Technical,Summary,Vijay Kumar Verma,12-Nov-2021 11:01 AM,technical_79147.pdf,1.0,240907.0,AJAY KUMAR GOVT CONTRACTOR,20-Oct-2021 06:41 PM,Rejected-Finance,Rate quoted as higher side,15-Nov-2021 02:50 PM,Finance,summary,Vijay Kumar Verma,15-Nov-2021 02:37 PM,finance_79147.pdf,BOQ Comparative Chart,1.0,240940.0,Amitab Singh,INR,"1,253,550",Er. Vijay Kumar Verma,Internal,"Sh. Bheem Ram (DHD), Kangra Divn., Sh. Jiwan Singh, (Supdt. Gr-II), D.A.O. (Gr-I), HPPWD, Kangra",Vijay Kumar Verma,15-Nov-2021 02:50 PM,finsummary_79147.pdf (796.68 KB),05-Jan-2022,"INR 783,355",30.0,Vijay Kumar Verma,07-Jan-2022 01:22 PM,AOC.pdf (2121.00 KB),AOC,PWD,2021_PWD_52921_3,8319-68 dt.27.9.2021,Annual Maintenance Plan (AMP) RR from Salli to Kanol road (HP0413VR082) km.0/0 to 2/500,Er. Vijay Kumar Verma,Internal,"Sh. Bheem Ram (DHD), Kangra Divn., Sh. Jiwan Singh, (Supdt. Gr-II), D.A.O. (Gr-I), HPPWD, Kangra",Vijay Kumar Verma,12-Nov-2021 11:03 AM,15-Nov-2021 11:00 AM,techsummary_79147.pdf (1193.48 KB),AOC,"Executive Engineer, HPPWD, Division, Kangra","Executive Engineer, HPPWD, Division, Kangra",PWD,8319-68 dt.27.9.2021,2021_PWD_52921_3,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form indicated in schedule-F (Required only National Bank),1.0,ICICI BANK,350.0,Nil,Nil,No,"16,000",No,fixed,,Nil,Nil,Annual Maintenance Plan (AMP) RR from Salli to Kanol road (HP0413VR082) km.0/0 to 2/500,(SH P/L Cement concrete pavement RD.0/0 to 0/500).,Please refer Tender documents. ,NA ,"7,83,355",Civil Works - Roads,NA ,Tender,120.0,30.0,Kangra,176001.0,NA ,NA ,NA ,Kangra,No ,No,13-Oct-2021 09:00 AM,21-Oct-2021 11:00 AM,13-Oct-2021 09:00 AM,21-Oct-2021 10:30 AM,NA ,NA ,13-Oct-2021 10:00 AM,21-Oct-2021 10:30 AM,15-Nov-2021 11:00 AM,AOC
,,,,,2.0,240940.0,Amitab Singh,21-Oct-2021 03:01 AM,Accepted-AOC,Award,07-Jan-2022 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money indicated in schedule-F,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,240930.0,ONAM SHARMA,20-Oct-2021 10:52 PM,Rejected-Finance,Rate quoted as higher side,15-Nov-2021 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Affidavit it regarding no relative working in department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,240856.0,surender kumar,21-Oct-2021 01:07 AM,Rejected-Finance,Rate quoted as higher side,15-Nov-2021 02:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical staff required as per Clause 36(1(2) and 36(A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Detail of Litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate (General Rule No-19) and 28.2b and Sr. No-4 Schedule-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool plant shown in schedule-F (Sr. No-6.19) (Refer clause No-18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration (Refer General Rule No-23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,"PAN Number and EPF Number, GST Registration (Refer General Rule No-21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand in 5th Circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
