S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,"26,800",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned In NIT,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 11368-11428 dt 16/11/2021,2021_HPIPH_53617_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,"Providing LWSS to PC habitation Charna, Dana Ghaton, Ganog, Jammu Koti, Jarag, Koti Dhiman, Maina Gharel and Rajana under JJM GP Dadahu Tehsil Sangrah Distt. Sirmour HP",Laying and jointing of GMS pipes and dismantling of GMS pipes) under JJM 3rd shelf Part 1st Job No. 2,Please refer Tender documents. ,NA ,"13,38,740",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,17-Nov-2021 05:00 PM,25-Nov-2021 11:30 AM,17-Nov-2021 05:00 PM,25-Nov-2021 11:00 AM,NA ,NA ,17-Nov-2021 05:00 PM,25-Nov-2021 11:00 AM,29-Nov-2021 11:00 AM,AOC,Er Ashih Rana EE,Internal,DM HDM EE,Ashish Rana,18-Jan-2022 04:47 PM,finsummary_80205.pdf (670.49 KB),1.0,244663.0,Khajan Singh,INR,"909,108","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2021_HPIPH_53617_5,NHN-SMROO-722- 11368-11428 dt 16/11/2021,"Providing LWSS to PC habitation Charna, Dana Ghaton, Ganog, Jammu Koti, Jarag, Koti Dhiman, Maina Gharel and Rajana under JJM GP Dadahu Tehsil Sangrah Distt. Sirmour HP",Technical,Technical Bid Opening Summary,Ashish Rana,27-Nov-2021 06:42 PM,technical_80205.pdf,Finance,Financial Bid Opening Summary,Ashish Rana,30-Nov-2021 03:36 PM,finance_80205.pdf,BOQ Comparative Chart,18-Jan-2022,"INR 1,338,740",90.0,Ashish Rana,18-Jan-2022 04:54 PM,AOC.pdf (670.00 KB),Award to contractor,1.0,244663.0,Khajan Singh,24-Nov-2021 01:02 PM,Accepted-AOC,AOC,18-Jan-2022 04:54 PM,Er Ashish Rana EE,Internal,TA Supdt HDm DAo EE,Ashish Rana,27-Nov-2021 06:44 PM,29-Nov-2021 11:00 AM,techsummary_80205.pdf (317.52 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,Cost of Tender Form as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,244438.0,KULDEEP SHARMA,23-Nov-2021 05:34 PM,Rejected-Finance,Reject,18-Jan-2022 04:47 PM,,,,,,,,AOC
,,,,,,,,,,.pdf,Registration with JSV Vibhag as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,243275.0,Parmod Kumar Thakur,19-Nov-2021 12:56 PM,Rejected-Finance,reject,18-Jan-2022 04:47 PM,,,,,,,,AOC
,,,,,,,,,,.pdf,EPF Registration as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,244327.0,sunil kumar,23-Nov-2021 03:24 PM,Rejected-Finance,Reject,18-Jan-2022 04:47 PM,,,,,,,,AOC
,,,,,,,,,,.pdf,PAN and GST as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Undertaking regarding Joint venture is not allowed as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned In NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
