Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
Technical,Bid opening summary,Dinesh Kumar Dhiman,14-Sep-2021 04:38 PM,technical_76427.pdf,1.0,231026.0,MAHINDER SINGH,20-Aug-2021 05:07 PM,Accepted-AOC,Work awarded being lowest contractor,23-Jan-2022 12:12 PM,1.0,231026.0,MAHINDER SINGH,INR,"912,200",Finance,Financial bid opening summary,Dinesh Kumar Dhiman,05-Oct-2021 03:07 PM,finance_76427.pdf,BOQ Comparative Chart,23-Jan-2022,"INR 912,200",60.0,Dinesh Kumar Dhiman,23-Jan-2022 12:12 PM,Award-51133-2.pdf (627.00 KB),Award of work issued,EE Dehra,Internal,AE to EE Dehra DHD Dehra DAO Dehra Superintendent Dehra,Dinesh Kumar Dhiman,05-Oct-2021 03:46 PM,finsummary_76427.pdf (200.65 KB),EE Dehra,Internal,AE to EE Dehra DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,14-Sep-2021 06:05 PM,15-Sep-2021 11:00 AM,techsummary_76427.pdf (359.08 KB),PWD,2021_PWD_51133_2,EE Dehra letter No.3575-79 dated 05.08.2021,Restoration of rain damages on Kaloha Pragpur Dhaliara Dadasiba Terrace road,AOC,1.0,Fee/PreQual/Technical,.pdf,Copy of receipt of online payment on account of cost of tender form and earnest money,Restoration of rain damages on Kaloha Pragpur Dhaliara Dadasiba Terrace road,C/O U-shape drain and E/Walls at RD 09/600 to 10/00,Please refer to tender document ,NA ,,Civil Works,Repair of road ,Tender,75.0,60.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,"15,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,350.0,Nil,Nil,No,Executive Engineer,HPPWD Division Dehra,13-Aug-2021 10:00 AM,21-Aug-2021 11:30 AM,13-Aug-2021 10:00 AM,20-Aug-2021 06:00 PM,13-Aug-2021 10:00 AM ,20-Aug-2021 06:00 PM ,13-Aug-2021 10:00 AM,20-Aug-2021 06:00 PM,15-Sep-2021 11:00 AM,PWD,EE Dehra letter No.3575-79 dated 05.08.2021,2021_PWD_51133_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,2.0,231190.0,SHUBHAM THAKUR,20-Aug-2021 03:03 PM,Rejected-Technical,Non Responsive,14-Sep-2021 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of valid enlistment in appropriate class as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,231090.0,Suresh Rana,20-Aug-2021 10:24 AM,Rejected-AOC,Rejected being highest bid amount,23-Jan-2022 12:12 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form 8 duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Aff showing the name of bid regarding correctness of documents/information furnished with the bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Aff. showing the detail of near relatives who are working in HPPWD as Gazetted/non Gazetted officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit with the declaration that he has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of registration under EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
