S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
1.0,ICICI BANK,1.0,Postponed of opening date.,Date,,21-Oct-2021 05:00 PM,30-Oct-2021 12:30 PM,21-Oct-2021 05:00 PM,29-Oct-2021 05:00 PM,NA ,NA ,21-Oct-2021 05:00 PM,29-Oct-2021 05:00 PM,17-Nov-2021 04:00 PM,EE Shillai,Executive Engineer HPPWD Division shillai,"39,600",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,PWD,TA-20-22-9098-9198dt-8-10-2021,2021_PWD_53061_2,Yes,Open Tender,Item Wise,Works,2.0,No,No,Online,No,No,No,"Construction of Veterinary Dispensary building at Kando Bhatnol Tehsil Shillai District Sirmour HP (SH- C/o Building portion , Providing water supply, Sanitary installation, construction of Septic Tank with soak pit , Site development including cu","Construction of Veterinary Dispensary building at Kando Bhatnol Tehsil Shillai District Sirmour HP (SH- C/o Building portion , Providing water supply, Sanitary installation, construction of Septic Tank with soak pit , Site development including cu",please refer to tender document ,NA ,"21,38,269",Civil Works - Buildings,NA ,Rate Contract,90.0,180.0,Shillai,173027.0,NA ,NA ,NA ,Shillai,No ,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,Finance,financial summary,Pramod Upreti,17-Dec-2021 05:05 PM,finance_79355.pdf,BOQ Comparative Chart,1.0,241405.0,SUSHEEL KUMAR,INR,"1,710,263",1.0,241287.0,baru ram,27-Oct-2021 04:12 PM,Rejected-Finance,NOt lowest,17-Dec-2021,Technical,technical sumamry,Pramod Upreti,17-Nov-2021 03:52 PM,technical_79355.pdf,EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,17-Nov-2021 03:59 PM,17-Nov-2021 04:00 PM,techsummary_79355.pdf (1142.37 KB),PWD,2021_PWD_53061_2,TA-20-22-9098-9198dt-8-10-2021,"Construction of Veterinary Dispensary building at Kando Bhatnol Tehsil Shillai District Sirmour HP (SH- C/o Building portion , Providing water supply, Sanitary installation, construction of Septic Tank with soak pit , Site development including cu",27-Jan-2022,"INR 1,710,263",180.0,Vijay Kumar Aggarwal,04-Dec-2023 01:43 PM,susheelaoc.pdf (470.00 KB),Cancel Work Due to land distribute,EE Shillai,Internal,"AE Shillai, HDM, Supdt.",Pramod Upreti,17-Dec-2021 05:08 PM,finsummary_79355.pdf (181.66 KB)
2.0,ICICI NEFT/RTGS,2.0,Revised 10 below percent condition upto 30 percent below.,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,,,,,,,,,,,,2.0,241241.0,Kundan Singh,29-Oct-2021 10:47 AM,Rejected-Finance,NOt lowest,17-Dec-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,3.0,241285.0,MADAN SINGH,29-Oct-2021 11:03 AM,Rejected-Finance,NOt lowest,17-Dec-2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy Sale tax registration refers general rule sr. No 21 and Permanent account number,,,,,,,,,,,,4.0,241405.0,SUSHEEL KUMAR,28-Oct-2021 03:51 PM,Accepted-AOC,work cancel due to land distribute,04-Dec-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant (Refer Schedule F with reference to Clause 18)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
