Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Instrument Type,Name,Address,S.No.2,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,Technical Bid Summary,Dalip singh Patial,12-Dec-2020 11:39 AM,technical_63180.pdf,1.0,189427.0,Insat Techno Services,26-Nov-2020 05:43 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Dec-2020 11:42 AM,1.0,189470.0,MATRIX INTEGRATIONS,INR,"4,771,483",Finance,financial summary,Dalip singh Patial,16-Jun-2021 05:34 PM,finance_63180.pdf,BOQ Comparative Chart,06-Jan-2022,"INR 4,771,483",365.0,Munish Bhopal,20-Jan-2022 03:35 PM,AOC.pdf (654.00 KB),WORK AWARDED TO M/S MATRIX INTEGRATION BEING L1 FIRM,Er Dalip Singh Patial EE,Internal,Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt Sh Manish Kumar TA,Dalip singh Patial,16-Jun-2021 05:38 PM,finsummary_63180.pdf (308.11 KB),Er Sanjay Kumar SE,Internal,EE Mandi EE Design EO Supdt,Dalip singh Patial,12-Dec-2020 11:46 AM,14-Dec-2020 11:00 AM,techsummary_63180.pdf (1010.04 KB),PWD,2020_PWD_42649_1,PW/MED/TA/NIT /e-notice/20-21-4883-88 DT 5.11.2020,C/o Sanskriti Sadan at Motipur District AT Mandi HP,AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,PWD,PW/MED/TA/NIT /e-notice/20-21-4883-88 DT 5.11.2020,2020_PWD_42649_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,EE ELECTRICAL DIVISION MANDI HPPWD,EE ELECTRICAL DIVISION MANDI HPPWD,1.0,Corrigendum,Other,,"92,800",Yes,fixed,,EE ELECTRICAL DIVISION MANDI HPPWD,EE ELECTRICAL DIVISION MANDI HPPWD,1.0,Fee/PreQual/Technical,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,"1,500",EE ELECTRICAL DIVISION MANDI HPPWD,EE ELECTRICAL DIVISION MANDI HPPWD,Yes,20-Nov-2020 03:00 PM,27-Nov-2020 11:00 AM,20-Nov-2020 03:00 PM,26-Nov-2020 06:00 PM,NA ,NA ,20-Nov-2020 03:00 PM,26-Nov-2020 06:00 PM,14-Dec-2020 11:00 AM,C/o Sanskriti Sadan at Motipur District AT Mandi HP,Providing Audio System in Auditorium therein,Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,120.0,365.0,EE ELECTRICAL DIVISION MANDI HPPWD,175001.0,NA ,NA ,NA ,EE ELECTRICAL DIVISION MANDI HPPWD,No ,No,AOC
,,,,,2.0,189414.0,KUMAR ELECTRONICS CO.,26-Nov-2020 03:40 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Dec-2020 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,.pdf,Electrical contractor Class A or B with valid enlistment and valid electrical license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,189470.0,MATRIX INTEGRATIONS,26-Nov-2020 02:14 PM,Accepted-AOC,WORK AWARDED TO M/S MATRIX INTEGRATION BEING L1 FIRM,20-Jan-2022 03:35 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,3.0,SS - Small Savings Instrument,,,,,,,,,,,,,,,.pdf,Income Tax (PAN) and GST and EPF REGITRATION GENERAL RULES NO. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,189463.0,Ratwan Light House,26-Nov-2020 01:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,12-Dec-2020 11:42 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,4.0,BG - Bank Guarantee,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5.0,189446.0,Resonance Pvt. Ltd.,26-Nov-2020 05:17 PM,Rejected-Finance,Rejected being L2 firm,16-Jun-2021 05:38 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,,,,5.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,.pdf,Attested copies of similar work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6.0,189041.0,Vowels Technology and Services,26-Nov-2020 01:17 PM,Rejected-Technical,Bid Not Qualified,12-Dec-2020 11:50 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turnover of last three years as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
