EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage
"31,210",No,fixed,,Sr. XEN ED Thalout,Thalout,1.0,DD - Demand Draft,"SE (OP) Circle, HPSEBL, Kullu","SE (OP) Circle, HPSEBL, Kullu",HPSEBL||CE(OP) CZ Mandi||SE(OP) Kullu,NIT-09/8632-37,2021_HPSEB_45434_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,A Class Electrical Licence of HP Govt. as per NIT,12-Mar-2021 10:00 AM,26-Mar-2021 04:00 PM,12-Mar-2021 10:00 AM,24-Mar-2021 05:00 PM,NA ,NA ,12-Mar-2021 10:00 AM,24-Mar-2021 05:00 PM,05-Apr-2021 12:10 PM,"Supply of Power to LWSS to Village Thalkandhar Stage-II under Electrical Sub-Division HPSEBL, Nagwain on Turnkey Basis.","Supply of Power to LWSS to Village Thalkandhar Stage-II under Electrical Sub-Division HPSEBL, Nagwain on Turnkey Basis.",Please refer Tender documents. ,NA ,,Electrical Works,NA ,Tender,180.0,30.0,Nagwain,175125.0,NA ,NA ,NA ,"O/o SE (OP) Circle, HPSEBL, Kullu",No ,No,"2,800",Sr. XEN ED Thalout,Thalout,No,AOC,Technical,Above all three number of bidders fulfils the NIT terms and conditions hence qualified,Sanjay Kaushal,01-Apr-2021 02:52 PM,technical_68364.pdf,Finance,M/s Texas Traders A Class Electrical Contractor Post Office Road Mandi Distt Mandi was L1 bidder hence awarded,Sanjay Kaushal,08-Apr-2021 04:45 PM,finance_68364.pdf,BOQ Comparative Chart,19-Jan-2022,"INR 1,183,736",30.0,Sanjay Kaushal,19-Jan-2022 02:28 PM,AOCNIT9.pdf (4679.00 KB),Work awarded to L1 bidder after completing all the codal formalities,1.0,205595.0,DINE RAM,24-Mar-2021 12:04 AM,Rejected-Finance,L-3 bidder,19-Jan-2022 02:26 PM,Er Sanjay Kaushal SE Operation Circle HPSEBL Kullu,Internal,Er Aayush Minhas Sr XEN Comm and Works Sh Yuv Raj Negi AAO,Sanjay Kaushal,01-Apr-2021 02:57 PM,05-Apr-2021 12:10 PM,techsummary_68364.pdf (525.90 KB),SE OP Circle HPSEBL Kullu,Internal,Sr XEN Electrical Division HPSEBL Kullu AAO of this Office,Sanjay Kaushal,19-Jan-2022 02:26 PM,finsummary_68364.pdf (363.06 KB),1.0,205601.0,MANUJ VAISDYA,INR,"1,183,736",HPSEBL||CE(OP) CZ Mandi||SE(OP) Kullu,2021_HPSEB_45434_1,NIT-09/8632-37,"Supply of Power to LWSS to Village Thalkandhar Stage-II under Electrical Sub-Division HPSEBL, Nagwain on Turnkey Basis.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD in shape of Demand Draft as per Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,205601.0,MANUJ VAISDYA,24-Mar-2021 12:09 AM,Accepted-AOC,L1 bidder,19-Jan-2022 02:28 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Tender Document Fee in shape of Demand Draft as per Bid Docuement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3.0,205267.0,SUBHASH ELECTRICALS,23-Mar-2021 09:30 AM,Rejected-Finance,L-2 bidder,19-Jan-2022 02:26 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Income Tax, GST, AADHAR and PAN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of performance/experience in the same field as per Bid Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual Turnover required as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration regarding non blacklisted in Judicial Stamp paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration about completion period as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Declaration of acceptance validity of tender as per tender requirement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
