S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Tender Stage
1,247506,Arya education and employment society,04-Dec-2021 09:04 AM,Accepted-AOC,Rate for IEC per Panchayat,18-Jan-2022 12:09 PM,Sh Chetan Patil,Internal,"Sh. Chetan Patil, Sh. Raman Sanjta, Sh. Avinash Lau, Sh. Sanjay Dutt Sharma, Sh. Himesh Pal",Raman Sanjta,15-Dec-2021 04:30 PM,techsummary_80528.pdf (658.44 KB),18-Jan-2022,"INR 20,500",1095.0,Chetan Kumar Patil,18-Jan-2022 12:09 PM,ISAAwarenessCamp.pdf (1565.00 KB),Rs 20500/- Per Panchayat,Finance,Bid Acceptance Sheet,Chetan Kumar Patil,06-Dec-2021 11:55 AM,None,1.0,246109.0,EMPIRE EDUCATION SOCIETY,INR,"20,500",Department of Labour and Employment Himachal Pradesh||Himachal Pradesh Building and Other Construction Workers Welfare Board,2021_BCWWO_53780_2,HPBOCW/Estt./Awareness Camps /NGO/727/ SML/2021,EOI SELECTION OF NGO AS IMPLEMENTATION SUPPORT AGENCY,Sh Rakesh Sharma,Internal,"Sh Rakesh Sharma, Sh Ghanshyam Chand, Sh. Chetan Patil, Sh Raman Sanjta, Sh. Himesh Pal",Chetan Kumar Patil,18-Jan-2022 11:58 AM,finsummary_80528.pdf (698.74 KB),AOC,Department of Labour and Employment Himachal Pradesh||Himachal Pradesh Building and Other Construction Workers Welfare Board,HPBOCW/Estt./Awareness Camps /NGO/727/ SML/2021,2021_BCWWO_53780_2,Yes,Open Tender,EOI,Services,1.0,No,No,Offline,No,No,No,20-Nov-2021 01:10 PM,06-Dec-2021 11:00 AM,20-Nov-2021 01:10 PM,04-Dec-2021 05:00 PM,20-Nov-2021 01:10 PM ,29-Nov-2021 04:00 PM ,20-Nov-2021 01:10 PM,04-Dec-2021 05:00 PM,EOI SELECTION OF NGO AS IMPLEMENTATION SUPPORT AGENCY,As per Tender Document,Please refer Tender documents. ,NA ,,Miscellaneous Services,Organising Awareness Camps ,Tender,120.0,1095.0,Shimla,171002.0,NA ,NA ,NA ,Shimla,No ,No,1.0,Fee/PreQual/Technical/Finance,.pdf,Documents as per format mentioned on page no 15(9.14) and checklist on page no. 18 of tenderdocument,"50,000",No,fixed,,Secretary-cum-CEO HPBOCW,Shimla,Secretary-cum-CEO,"H.P. Building and Other Construction Workers Welfare Board,Thakur Vatika, Khalini, Shimla-2","1,000",Secretary-cum-CEO HPBOCW,Shimla,No,1.0,DD - Demand Draft,AOC
2,247545,ASORD(A Society of Rural Development),03-Dec-2021 04:22 PM,Accepted-AOC,Rate for IEC per Panchayat,18-Jan-2022 12:09 PM,,,,,,,,,,,,,,,,,,,2.0,247432.0,Institute of Hotel Management Education Society Rampur Bushahr,INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3,247574,BANSAL TRADING COMPANY,03-Dec-2021 04:15 PM,Rejected-Technical,The tender was uploaded online by M/s Bansal Trading Company but the document in respect of this tender not found in the name of said firm. The documents submitted by the firm was in the name of M/s Maa Saraswati Educational Trust.,15-Dec-2021 04:30 PM,,,,,,,,,,,,,,,,,,,3.0,247481.0,MANDI SAKSHARTA EVUM JAN VIKAS SAMITI,INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4,247321,Centre of Technology and Entrepreneurship Development,04-Dec-2021 04:01 PM,Rejected-Technical,The firm has not submitted earnest money physically in the office.,15-Dec-2021 04:30 PM,,,,,,,,,,,,,,,,,,,4.0,247506.0,Arya education and employment society,INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5,246109,EMPIRE EDUCATION SOCIETY,04-Dec-2021 12:14 PM,Accepted-AOC,Rate for IEC per Panchayat,18-Jan-2022 12:09 PM,,,,,,,,,,,,,,,,,,,5.0,247545.0,ASORD(A Society of Rural Development),INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6,247461,Foresight Society of HRD,04-Dec-2021 03:52 PM,Rejected-Finance,Not Having Registered office in HP,18-Jan-2022 11:58 AM,,,,,,,,,,,,,,,,,,,6.0,247606.0,Himalyan Awakening Society,INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
7,247606,Himalyan Awakening Society,03-Dec-2021 08:08 PM,Accepted-AOC,Rate for IEC per Panchayat,18-Jan-2022 12:09 PM,,,,,,,,,,,,,,,,,,,7.0,247609.0,m/s sunrise education society,INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
8,247684,HIM INSTITUTE FOR RURAL DEVELOPMENT,04-Dec-2021 01:54 PM,Accepted-AOC,Rate for IEC per Panchayat,18-Jan-2022 12:09 PM,,,,,,,,,,,,,,,,,,,8.0,247676.0,PLAN Foundation.org,INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
9,247673,Hope And Care Foundation,04-Dec-2021 01:34 PM,Rejected-Technical,The firm has not submitted the document that they have registered office in Himachal Pradesh.,15-Dec-2021 04:30 PM,,,,,,,,,,,,,,,,,,,9.0,247684.0,HIM INSTITUTE FOR RURAL DEVELOPMENT,INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
10,247432,Institute of Hotel Management Education Society Rampur Bushahr,04-Dec-2021 01:06 PM,Accepted-AOC,Rate for IEC per Panchayat,18-Jan-2022 12:09 PM,,,,,,,,,,,,,,,,,,,10.0,247736.0,SWASTHYA SHIKSHA PARYAVARAN AVAM MAHILA VIKAS SAMITI HIMACHAL PRADESH,INR,"20,500",,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
