Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Executive Engineer,Internal,HDM Supdt Supdt PMGSY,Tarsem Singh,26-Aug-2021 03:08 PM,finsummary_76280.pdf (906.68 KB),18-Jan-2022,"INR 15,800,730",60.0,Tarsem Singh,19-Jan-2022 02:56 PM,53.pdf (724.00 KB),HDM Supdt. Supdt. PMGSY Tender Assistant,PWD,2021_PWD_51019_2,PW-JD/E-Tender/2021-22 -3604-06 DT 31.07.2021,Providing Periodical Maintenance to Bagholi Barthata (KPA) RAOD under AMP 2021-22 Km 0/0 to 10/0 (Add),Executive Engineer,Internal,HDM Supdt Supdt PMGSY Tender Assistant,Tarsem Singh,24-Aug-2021 04:41 PM,24-Aug-2021 04:45 PM,techsummary_76280.pdf (428.02 KB),Finance,2no contractors participated and Sh.Ajay Sahuta is l-1,Tarsem Singh,26-Aug-2021 03:05 PM,finance_76280.pdf,BOQ Comparative Chart,1.0,230289.0,AJAY SAUHTA,INR,"16,485,150",Technical,opened by committee headed by EE 2 No bids received,Tarsem Singh,24-Aug-2021 03:57 PM,technical_76280.pdf,1.0,230289.0,AJAY SAUHTA,16-Aug-2021 03:40 PM,Accepted-AOC,L1,19-Jan-2022 02:56 PM,AOC,PWD,PW-JD/E-Tender/2021-22 -3604-06 DT 31.07.2021,2021_PWD_51019_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,Executive Engineer Jubbal,HPPWD JUBBAL,10-Aug-2021 01:00 PM,20-Aug-2021 11:30 AM,10-Aug-2021 01:00 PM,19-Aug-2021 06:00 PM,NA ,NA ,10-Aug-2021 01:00 PM,19-Aug-2021 06:00 PM,24-Aug-2021 04:45 PM,Providing Periodical Maintenance to Bagholi Barthata (KPA) RAOD under AMP 2021-22 Km 0/0 to 10/0 (Add),SH Providing Renewal Coat with 30mm thick Bitumenious Concrete in Km 0/0 to 10/0,Please refer Tender documents. ,NA ,"1,57,02,429",Civil Works - Roads,NA ,Tender,120.0,60.0,JUBBAL,171205.0,NA ,NA ,NA ,Jubbal,No ,No,1.0,ICICI BANK,"1,90,000",No,fixed,,Nil,Nil,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,230312.0,Kapil Rawat,16-Aug-2021 05:02 PM,Rejected-AOC,L2,19-Jan-2022 02:56 PM,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plants as per Tender Document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds as per Tender Document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
