Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage
CE (SZ) HPPWD,Internal,"SE D-III, SE 4TH CIRCLE, HPPWD, EE NABARD, JC HPPWD",Sudhir Kumar Gupta,18-Oct-2021 11:48 AM,finsummary_75825.pdf (1194.42 KB),05-Nov-2021,"INR 48,392,000",540.0,Vijay Kumar Chauhan,19-Jan-2022 03:26 PM,Summry.pdf (902.00 KB),Award letter,PWD,2021_PWD_50708_1,Kiaral,Metalling and tarring Kiaral to Karana via Soi Km 0.00 to 4.060 under NABARD,Superintending Engineer 4th Circle HPPWD Shimla,Internal,"EE Theog Division HPPWD Theog, Member, EE 4th Circle HPPWD Shimla, Member, AE 4th Circle HPPWD Shimla, Member, CHD 4th Circle HPPWD Shimla, Member, Sr DAO Theog Division HPPWD Theog, Member",Sudhir Kumar Gupta,01-Sep-2021 10:52 AM,02-Sep-2021 11:00 AM,techsummary_75825.pdf (287.13 KB),Technical,Bid opening summary,Sudhir Kumar Gupta,27-Aug-2021 04:07 PM,technical_75825.pdf,1.0,231653.0,Ajay Rathore,23-Aug-2021 03:05 PM,Rejected-Finance,Bidder is L2.,18-Oct-2021 11:48 AM,Finance,Bid opening summary,Sudhir Kumar Gupta,02-Sep-2021 12:22 PM,finance_75825.pdf,BOQ Comparative Chart,1.0,231281.0,Dixit Keprate,INR,"37,738,286",AOC,"5,000",Nil,Nil,No,03-Aug-2021 12:30 PM,24-Aug-2021 11:00 AM,03-Aug-2021 12:30 PM,23-Aug-2021 05:00 PM,NA ,NA ,03-Aug-2021 12:30 PM,23-Aug-2021 05:00 PM,02-Sep-2021 11:00 AM,Metalling and tarring Kiaral to Karana via Soi Km 0.00 to 4.060 under NABARD,"Formation cutting in km 2.285 to 4.060, CD work, P and L GSB, WBM G II, WBM G III and P and L premix carpet ,V Shape Drain , Road side Parapets in km 0.00 to 4.060",AS PER SBD ,NA ,"4,83,92,000",Civil Works - Roads,NA ,Tender,75.0,540.0,Theog,171012.0,NA ,NA ,NA ,Superintending Engineer 4th Circle HPPWD Shimla,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of form,"9,70,000",No,fixed,,Nil,Nil,Superintending Engineer 4th Circle HPPWD Shimla,Superintending Engineer 4th Circle HPPWD Shimla,PWD,Kiaral,2021_PWD_50708_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,231281.0,Dixit Keprate,23-Aug-2021 01:43 PM,Accepted-AOC,Being L1,19-Jan-2022 03:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,231558.0,kapoor sanjee,22-Aug-2021 11:43 PM,Rejected-Finance,Bidder is L3.,18-Oct-2021 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,229709.0,Laiq Ram Chauhan and Sons,20-Aug-2021 01:01 PM,Rejected-Finance,Bidder is L5.,18-Oct-2021 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,230837.0,lov vij govt contractor,20-Aug-2021 04:15 PM,Rejected-Finance,Bidder is L4.,18-Oct-2021 11:48 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per clause 4.2 (c) of ITB section 2,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(as per clause 4.2(d) and 4.4 B (b) (i) of ITB)",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of Bid (Part I) as proforma given in section 6 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-GazettedHppwd Employees Related To Him(as per clause 4.4 B (c) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of True and Correct In All Respect asper clause 4.4B(a)(ii) of ITB and Format in Section 6,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Bidding Capacity/ C.A. Annual Report As Per clause 4.4A(a) of ITB, section 2 in SBD",,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Total Monetary value of civil construction works performed for each of the last 5 year (Form 26AS),,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical person qualification as clause 4.2 (e) of ITB section,,,,,,,,,,,,,,,,,,,,,,,,,AOC
