Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Executive Engineer,HPSIDC Ltd. Shimla,Construction of road taking off HPPWD road Punjawar Bathri (RD 33/100) 0/00 to 0/490 in BBT corridor Distt. Una (HP).,(RD 33/100) 0/00 to 0/490 in BBT corridor Distt. Una (HP).,Please refer Tender documents. ,NA ,"20,26,592",Civil Works - Roads,NA ,Tender,120.0,90.0,Punjawar Bathri (Una),177208.0,NA ,NA ,NA ,HPSIDC Ltd. Shimla,No ,No,23-Oct-2021 11:00 AM,02-Nov-2021 11:00 AM,23-Oct-2021 11:00 AM,01-Nov-2021 05:00 PM,NA ,NA ,23-Oct-2021 11:00 AM,01-Nov-2021 05:00 PM,12-Nov-2021 01:30 PM,"38,000",No,fixed,,Nil,Nil,HP SIDC Limited,Job No. 3,2021_SIDC_53098_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,300",Nil,Nil,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),AOC,Finance,Financial summary,Sushant Singh Negi,15-Nov-2021 01:51 PM,finance_79406.pdf,BOQ Comparative Chart,1,241566,Ankur sharma,31-Oct-2021 06:59 PM,Rejected-Finance,Sixth lowest bidder,15-Nov-2021 02:03 PM,Technical,Technical summary,Ram vashisist,12-Nov-2021 01:13 PM,technical_79406.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Ram vashisist,12-Nov-2021 01:15 PM,12-Nov-2021 01:30 PM,techsummary_79406.pdf (464.79 KB),1.0,241558.0,AV Constructions,INR,"1,843,758",16-Dec-2021,"INR 1,843,758",90.0,Sushant Singh Negi,18-Jan-2022 04:50 PM,punjawara.pdf (1135.00 KB),AOC,HP SIDC Limited,2021_SIDC_53098_1,Job No. 3,Construction of road taking off HPPWD road Punjawar Bathri (RD 33/100) 0/00 to 0/490 in BBT corridor Distt. Una (HP).,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,15-Nov-2021 02:03 PM,finsummary_79406.pdf (639.54 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Signed copy of agreement form and approved make for materials,AOC,,,,,,,2,241469,Atul Shrma,28-Oct-2021 11:34 PM,Rejected-Finance,Second lowest bidder,15-Nov-2021 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,AOC,,,,,,,3,241558,AV Constructions,30-Oct-2021 05:45 PM,Accepted-AOC,AOC,18-Jan-2022 04:50 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,AOC,,,,,,,4,241630,HARDYAL SINGH GOVT. CONTRACTOR,01-Nov-2021 04:14 PM,Rejected-Finance,Eleventh lowest bidder,15-Nov-2021 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,AOC,,,,,,,5,241544,keshav sharma,29-Oct-2021 06:04 PM,Rejected-Finance,fourth lowest bidder,15-Nov-2021 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,AOC,,,,,,,6,241527,Nitish Thakur,29-Oct-2021 07:16 PM,Rejected-Finance,Eighth lowest bidder,15-Nov-2021 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,AOC,,,,,,,7,241572,RAMESH KUMAR,31-Oct-2021 09:10 AM,Rejected-Finance,Third lowest bidder,15-Nov-2021 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,AOC,,,,,,,8,241495,Sahil Choudhary,29-Oct-2021 12:29 PM,Rejected-Finance,Fifth lowest bidder,15-Nov-2021 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,9,241582,Satish Kumar,01-Nov-2021 04:28 PM,Rejected-Finance,Ninth lowest bidder,15-Nov-2021 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,10,241518,Tilak Raj Govt Contractor,01-Nov-2021 11:58 AM,Rejected-Finance,Seventh lowest bidder,15-Nov-2021 02:03 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
