Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Construction of Combined Office Building at Nerchowk District Mandi HP SH Providing EI and Yard Lighting therein,Construction of Combined Office Building at Nerchowk District Mandi HP SH Providing EI and Yard Lighting therein,Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Nerchowk,175008.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,"1,500",Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,1.0,Fee/PreQual/Technical,.pdf,"COST OF TENDER INDICATED IN SCHEDULE F,",15-Feb-2021 10:00 AM,22-Feb-2021 11:30 AM,15-Feb-2021 10:00 AM,22-Feb-2021 10:00 AM,NA ,NA ,15-Feb-2021 10:00 AM,22-Feb-2021 10:00 AM,04-Mar-2021 11:00 AM,1.0,DD - Demand Draft,PWD,PW/MED/TA/NIT/ e-notice/20-21-6650-60 dt 04.02.21,2021_PWD_44263_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,"52,450",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,AOC,1.0,199603.0,ARUN KUMAR SHARMA,21-Feb-2021 03:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:00 PM,Technical,technical bid summary,Dalip singh Patial,03-Mar-2021 06:00 PM,technical_66312.pdf,1.0,199620.0,Rohtash Verma,INR,"3,564,100",Finance,Financial bid summary,Dalip singh Patial,24-Mar-2021 05:05 PM,finance_66312.pdf,BOQ Comparative Chart,Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,04-Mar-2021 10:52 AM,04-Mar-2021 11:00 AM,techsummary_66312.pdf (364.54 KB),PWD,2021_PWD_44263_1,PW/MED/TA/NIT/ e-notice/20-21-6650-60 dt 04.02.21,Construction of Combined Office Building at Nerchowk District Mandi HP SH Providing EI and Yard Lighting therein,15-Nov-2021,"INR 3,564,100",365.0,Munish Bhopal,20-Jan-2022 04:25 PM,AOC.pdf (642.00 KB),work awarded to Sh. Rohtash Verma bieng L1 contr.,Er D S Patial EE,Internal,Sh Jai Ram HDM Smt Karuna Sharma Supdt Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,24-Mar-2021 05:13 PM,finsummary_66312.pdf (280.39 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,AOC,2.0,199642.0,DHARMENDER SINGH,21-Feb-2021 06:26 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in appropriate Class A (Electrical) with valid Electrical licens,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,AOC,3.0,199264.0,Digvijay Sharma,21-Feb-2021 01:58 PM,Rejected-Finance,rejected being L3 contractor,24-Mar-2021 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,AOC,4.0,199654.0,KUMAR ELECTRONICS CO.,21-Feb-2021 09:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,AOC,5.0,199585.0,Ratwan Light House,21-Feb-2021 02:44 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,03-Mar-2021 06:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,199620.0,Rohtash Verma,21-Feb-2021 04:28 PM,Accepted-AOC,work awarded to Sh. Rohtash Verma bieng L1 contr.,20-Jan-2022 04:26 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,7.0,199431.0,SHARMA ELECTRICAL CO.,20-Feb-2021 02:20 PM,Rejected-Finance,rejected being L2 contractor,24-Mar-2021 05:13 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,8.0,199623.0,TARUN GUPTA,21-Feb-2021 04:40 PM,Rejected-Technical,Bid responsive but disqualified,04-Mar-2021 10:52 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
