Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
28-Aug-2021 03:00 PM,06-Sep-2021 10:30 AM,28-Aug-2021 03:00 PM,06-Sep-2021 10:00 AM,NA ,NA ,28-Aug-2021 03:00 PM,06-Sep-2021 10:00 AM,13-Sep-2021 04:15 PM,PWD,Sangrah 5023-73 dated 23.08.2021,2021_PWD_51624_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Construction of Residential accommodation for Govt. Degree College Sangrah Distt. Sirmour(HP) C/O Type V Qtr 1 No. (SH C/O balance work of Building Portion, Septic Tank, Rain water Harvesting tank, WS and SI and Site Development )","Construction of Residential accommodation for Govt. Degree College Sangrah Distt. Sirmour(HP) C/O Type V Qtr 1 No. (SH C/O balance work of Building Portion, Septic Tank, Rain water Harvesting tank, WS and SI and Site Development )",Please refer Tender documents. ,NA ,"24,76,103",Civil Works,NA ,Tender,75.0,180.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,500.0,Nil,Nil,No,"44,700",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,RECEIPT / SCREEN SHOT OF COST OF TENDER AND EARNEST MONEY PAYMENT (INDICATED IN SCHEDULE F),"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,ICICI BANK,AOC,1.0,234297.0,Som Prakash,INR,"3,466,541",Finance,SUMMARY,Rattan Kumar Sharma,14-Sep-2021 10:50 AM,finance_77150.pdf,BOQ Comparative Chart,1.0,234300.0,JAI PRAKASH,05-Sep-2021 03:26 PM,Rejected-Finance,L2,14-Sep-2021 11:29 AM,Technical,SUMMARY,Rattan Kumar Sharma,06-Sep-2021 04:06 PM,technical_77150.pdf,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,13-Sep-2021 03:57 PM,13-Sep-2021 04:15 PM,techsummary_77150.pdf (587.12 KB),PWD,2021_PWD_51624_1,Sangrah 5023-73 dated 23.08.2021,"Construction of Residential accommodation for Govt. Degree College Sangrah Distt. Sirmour(HP) C/O Type V Qtr 1 No. (SH C/O balance work of Building Portion, Septic Tank, Rain water Harvesting tank, WS and SI and Site Development )",21-Oct-2021,"INR 3,466,541",180.0,Rattan Kumar Sharma,04-Jan-2022 02:24 PM,86.pdf (1163.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,14-Sep-2021 11:29 AM,finsummary_77150.pdf (223.31 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.1. COST OF TENDER,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,2.0,234297.0,Som Prakash,05-Sep-2021 02:57 PM,Accepted-AOC,AOC,04-Jan-2022 02:24 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.2. EARNEST MONEY,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.3. CONTRACTORS REGISTRATION,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.6. LIST OF MACHINERY TOOL AND PLANT,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.8. HPPWD FORM No. 8. or Form of Bid,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,24.9. ANY OTHER DOCUMENTS AS SPECIFIED BY THE STATE IN PERFORMA OF SCHEDULE,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PROOF TO REGISTRATION UNDER EMPLOYEES PROVIDENT FUNDS,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,AFFIDAVIT OR UNDERTAKING REGARDING CORRECTNESS OF BID,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,24.7. BILL OF QUANTITY,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
