S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Tender Stage
1.0,ICICI BANK,20-Nov-2021 10:00 AM,27-Nov-2021 11:30 AM,20-Nov-2021 10:00 AM,27-Nov-2021 10:00 AM,NA ,NA ,20-Nov-2021 10:00 AM,27-Nov-2021 10:00 AM,29-Nov-2021 04:00 PM,350.0,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,No,PWD,PW/MED/TA/NIT/ e-notice/21-22-5457-62 dt 11.11.21,2021_PWD_53756_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER and EARNEST MONEY as INDICATED IN SHEDULE F,"RM and Contract for passenger Elevators No. 4025071, 4025072, 4025073, 4025046, 4025089, of Residential type V Block A, B C, Hospital Block B and Nursing Colleg Block V. C installed in Shri Lal Bahadur Shastri Govt. Medical College and Hospital, N","RM and Contract for passenger Elevators No. 4025071, 4025072, 4025073, 4025046, 4025089, of Residential type V Block A, B C, Hospital Block B and Nursing Colleg Block V. C installed in Shri Lal Bahadur Shastri Govt. Medical College and Hospital, N",plz refer to bid document ,NA ,"9,12,788",Electrical Works,NA ,Tender,75.0,365.0,Nerchowk,175008.0,NA ,NA ,NA ,"Electrical Division, HPPWD Mandi H.P",No ,No,"18,250",No,fixed,,"Executive Engineer, Electrical Division, HP.PWD M",Mandi HP,"Executive Engineer, Electrical Division, HP.PWD M","Executive Engineer, Electrical Division, HP.PWD Mandi",AOC,1.0,245324.0,PRAGATI ELECTRICAL AND ELECTRONIC CO,26-Nov-2021 12:45 PM,Rejected-Finance,Rejected being L2 firm/ contractor,03-Dec-2021 04:11 PM,Technical,Techsummary,Munish Bhopal,29-Nov-2021 03:45 PM,technical_80496.pdf,Finance,finsummary,Munish Bhopal,03-Dec-2021 03:41 PM,finance_80496.pdf,BOQ Comparative Chart,PWD,2021_PWD_53756_1,PW/MED/TA/NIT/ e-notice/21-22-5457-62 dt 11.11.21,"RM and Contract for passenger Elevators No. 4025071, 4025072, 4025073, 4025046, 4025089, of Residential type V Block A, B C, Hospital Block B and Nursing Colleg Block V. C installed in Shri Lal Bahadur Shastri Govt. Medical College and Hospital, N",Er Munish Bhopal EE,Internal,Sh Chaman lal Sr Asstt Sh. Ram Singh JDM Sh Manish Kumar Clerk,Munish Bhopal,29-Nov-2021 03:54 PM,29-Nov-2021 04:00 PM,techsummary_80496.pdf (382.96 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,.pdf,OEM (Lift Elevator) / Authorized agency of OEM as per TQC (see detail in bid document),,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,245285.0,SHARMA ELECTRICAL CO.,26-Nov-2021 11:02 AM,Accepted-AOC,work awarded to M/s SHARMA ELECTRICAL CO. being L1 firm,20-Jan-2022 04:16 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,245532.0,SOPHUS ELEVATORS PVT LTD,26-Nov-2021 08:32 PM,Rejected-Technical,Bid responsive but disqualified,29-Nov-2021 03:55 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,"FORM NO 7/8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES 16,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information being furnished with the bid is true and correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the bidder has not been blacklisted in any Govt Deptt / Board / PSU.,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
