Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
"2,000",Nil,Nil,Yes,"1,29,000",Yes,fixed,,Nil,Nil,"Executive Engineer, Bhoranj Division, HP.PWD., Bho","Executive Engineer Bhoranj Division, HP.PWD., Bhoranj",1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form.,Construction of type III quarter 4 Nos for HPPWD employees at Bhoranj Distt. Hamirpur SH C.O building portion water supply sanitary installation septic tank and site development including boundary wall.,Construction of type III quarter 4 Nos for HPPWD employees at Bhoranj Distt. Hamirpur SH C.O building portion water supply sanitary installation septic tank and site development including boundary wall.,Please refer Tender documents. ,NA ,"96,46,840",Civil Works - Buildings,NA ,Tender,75.0,548.0,Bhoranj,176045.0,NA ,NA ,NA ,Bhoranj,No ,No,24-Sep-2021 11:30 AM,05-Oct-2021 11:30 AM,24-Sep-2021 11:30 AM,05-Oct-2021 10:30 AM,NA ,NA ,24-Sep-2021 11:30 AM,05-Oct-2021 10:30 AM,20-Nov-2021 11:30 AM,PWD,Construction of type III quarter 4 Nos for HPPWD e,2021_PWD_52628_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,AOC,1.0,239526.0,RAJEEV KUMAR,05-Oct-2021 09:36 AM,Accepted-AOC,Accept,01-Jan-2022 01:06 PM,Technical,Summary attached,Virender Singh Guleria,16-Nov-2021 03:52 PM,technical_78682.pdf,Finance,Summary Attached,Virender Singh Guleria,20-Nov-2021 05:49 PM,finance_78682.pdf,BOQ Comparative Chart,1.0,239526.0,RAJEEV KUMAR,INR,"8,908,296","Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,16-Nov-2021 03:56 PM,20-Nov-2021 11:30 AM,techsummary_78682.pdf (1142.06 KB),PWD,2021_PWD_52628_1,Construction of type III quarter 4 Nos for HPPWD e,Construction of type III quarter 4 Nos for HPPWD employees at Bhoranj Distt. Hamirpur SH C.O building portion water supply sanitary installation septic tank and site development including boundary wall.,01-Jan-2022,"INR 8,908,296",548.0,Virender Singh Guleria,01-Jan-2022 01:06 PM,A.LTypeIII52628_1.PDF (1517.00 KB),Award letter attached,"Executive Engineer, Bhoranj Division, HP.PWD., Bhoranj",Internal,"Supdt.Gr.-II, HDM, DAO, A.E.Bhoranj Sub Division",Virender Singh Guleria,26-Nov-2021 04:49 PM,finsummary_78682.pdf (770.66 KB),AOC
,,,,,,,,,,,,,,.pdf,Contractor Registration REFER GENERAL RULES NO 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC,2.0,239495.0,RAKESH KUMAR,05-Oct-2021 08:24 AM,Rejected-AOC,Accept,01-Jan-2022 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,GST Registration - REFER HPPWD-6 16(3).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,237952.0,Ramesh Chand Govt. Contractor,04-Oct-2021 08:55 PM,Rejected-AOC,Accept,01-Jan-2022 01:06 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Labour License,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,238250.0,Vijay Kumar Soni,30-Sep-2021 07:50 PM,Rejected-Technical,Not Qualify in techanical bid,16-Nov-2021 03:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN No.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Employees Provident Fund Number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,"Detail and Proof of, Mandatory Machinery Tool and Plant as per Schedule F (Clause18 of GCC )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate not less than 40 percent of estimated cost on prescribed format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in Bidding Document as per General Rule 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HP.PWD employees related to him (General Rule No.14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
