S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,ICICI BANK,"16,200",Yes,fixed,,Nil,Nil,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form (Online mode),Periodical Maintenance of Bangana to Chaplah road ( Under Village road VR Code-084),P/L 30mm thick Bituminous Concrete including profile correction in Km 3/000 to 4/000,Please refer Tender documents. ,NA ,"8,08,271",Civil Works - Others,NA ,Tender,120.0,NA ,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,PWD,No.BGN/2020-21-6009-6052 dated 02.09.2021Job4,2021_PWD_51965_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,08-Sep-2021 11:00 AM,22-Sep-2021 11:00 AM,08-Sep-2021 11:30 AM,21-Sep-2021 06:00 PM,NA ,NA ,08-Sep-2021 11:30 AM,21-Sep-2021 06:00 PM,24-Sep-2021 10:30 AM,AOC,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,23-Sep-2021 05:32 PM,24-Sep-2021 10:30 AM,techsummary_77663.pdf (450.02 KB),PWD,2021_PWD_51965_1,No.BGN/2020-21-6009-6052 dated 02.09.2021Job4,Periodical Maintenance of Bangana to Chaplah road ( Under Village road VR Code-084),11-Jan-2022,"INR 1,055,190",60.0,SHASHI PAL,13-Jan-2022 10:19 AM,AOCChaplah.pdf (625.00 KB),Work Awarded,Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,27-Sep-2021 01:25 PM,finsummary_77663.pdf (377.09 KB),1.0,236692.0,ganesh,INR,"1,055,190",Finance,Fin bid opened,SHASHI PAL,27-Sep-2021 01:22 PM,finance_77663.pdf,BOQ Comparative Chart,1.0,236743.0,Davinder kumar,20-Sep-2021 01:30 PM,Rejected-AOC,Higher Side,13-Jan-2022 10:19 AM,Technical,Tech bid opened,SHASHI PAL,23-Sep-2021 05:31 PM,technical_77663.pdf,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Earnest Money (Online mode),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,236692.0,ganesh,20-Sep-2021 05:43 PM,Accepted-AOC,Lowest,13-Jan-2022 10:19 AM,,,,,,AOC
,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,236779.0,Rajinder Kumar,20-Sep-2021 02:59 PM,Rejected-AOC,Higher Side,13-Jan-2022 10:19 AM,,,,,,AOC
,,,,,,,,,,,,.pdf,GST Registration and latest assessment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format given in bidding document without liquidat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up and list of laboratory equi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,List of Both Gaztted and Non Gaztted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
