Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
Municipal Corporation Shimla,2632Dated10092021,2021_MC_52485_7,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer R B M C Shimla,Executive Engineer R B M C Shimla,18-Sep-2021 06:55 PM,29-Sep-2021 02:00 PM,18-Sep-2021 06:55 PM,28-Sep-2021 05:00 PM,NA ,NA ,18-Sep-2021 06:55 PM,28-Sep-2021 05:00 PM,16-Oct-2021 12:15 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of Form in shape of DD and Earnest money in shape of FD as per E procurement Notice,350.0,Executive Engineer R B M C Shimla,Shimla,No,"13,900",No,fixed,,Executive Engineer R B M C Shimla,Shimla,1.0,DD - Demand Draft,Providing and Fixing Channel Railing from Mental Hospital to Bag in ward No 10 RD 0 0 to 0 475 mtr,Providing and Fixing Channel Railing from Mental Hospital to Bag in ward No 10 RD 0 0 to 0 475 mtr,Please refer Tender Documents ,NA ,"6,92,871",Civil Works,NA ,Tender,120.0,60.0,Shimla,171001.0,NA ,NA ,NA ,MC Shimla,No ,No,AOC,07-Jan-2022,"INR 739,902.6",60.0,Rajesh Thakur,07-Jan-2022 11:36 AM,2021_MC_52485_7.pdf (394.00 KB),AOC,Finance,BOS,Rajesh Thakur,16-Oct-2021 02:49 PM,finance_78427.pdf,BOQ Comparative Chart,Technical,BOS,Gopesh Behl,16-Oct-2021 11:01 AM,technical_78427.pdf,1,238401,ABDUL RAZAK BUTT,28-Sep-2021 04:38 PM,Rejected-Finance,Rejected,07-Jan-2022 11:34 AM,EE,Internal,AGM SJPNL AO,Rajesh Thakur,07-Jan-2022 11:34 AM,finsummary_78427.pdf (294.95 KB),Municipal Corporation Shimla,2021_MC_52485_7,2632Dated10092021,Providing and Fixing Channel Railing from Mental Hospital to Bag in ward No 10 RD 0 0 to 0 475 mtr,1.0,238548.0,manoj kumar,INR,"739,902",EE,Internal,AGM SJPNL AO,Gopesh Behl,16-Oct-2021 12:14 PM,16-Oct-2021 12:15 PM,techsummary_78427.pdf (4687.64 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of registration with HPPWD in appropriate class and latest renewal threof,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2,237948,Devinder Thakur,25-Sep-2021 03:46 PM,Rejected-Finance,Rejected,07-Jan-2022 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Income Tax GST and EPF registration PAN Permanent Account No and GST No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,3,237041,Hari Krishan Sharma,21-Sep-2021 04:50 PM,Rejected-Finance,Rejected,07-Jan-2022 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copy of tender document i.e. NIT (E-procurement notice), Form MW-7 and Performa duly signed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,4,237459,HARMANJOT SINGH,23-Sep-2021 01:59 PM,Rejected-Finance,Rejected,07-Jan-2022 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Schedule of Quantity (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,5,238644,HITESH KAITH,28-Sep-2021 03:58 PM,Rejected-Finance,Rejected,07-Jan-2022 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,6,238548,manoj kumar,28-Sep-2021 12:13 PM,Accepted-AOC,Accepted due to lowest rates,07-Jan-2022 11:36 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,7,237200,none,22-Sep-2021 12:56 PM,Rejected-Technical,Name of contractor not mentioned hence rejected,16-Oct-2021 12:14 PM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,8,237910,Rajit Kohli,25-Sep-2021 02:19 PM,Rejected-Finance,Rejected,07-Jan-2022 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,9,238357,RAKESH,27-Sep-2021 05:55 PM,Rejected-Finance,Rejected,07-Jan-2022 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,10,238185,sandeep,27-Sep-2021 11:47 AM,Rejected-Finance,Rejected,07-Jan-2022 11:34 AM,,,,,,,,,,,,,,,,,,,,,,,AOC
