S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,"Construction of Government Degree College at Panarsa, District Mandi HP SH Providing EI therein","Construction of Government Degree College at Panarsa, District Mandi HP SH Providing EI therein",Please refer to bid document ,NA ,,Electrical Works,NA ,Tender,75.0,365.0,Panarsa,175121.0,NA ,NA ,NA ,Electrical Division HPPWD Mandi H.P,No ,No,"1,500",Executive Engineer Electrical Division HPPWD Mand,Mandi HP,No,"49,700",No,fixed,,Executive Engineer Electrical Division HPPWD Mand,Mandi HP,15-Feb-2021 10:00 AM,22-Feb-2021 11:30 AM,15-Feb-2021 10:00 AM,22-Feb-2021 10:00 AM,NA ,NA ,15-Feb-2021 10:00 AM,22-Feb-2021 10:00 AM,04-Mar-2021 12:10 PM,1.0,DD - Demand Draft,Executive Engineer Electrical Division HPPWD Mand,Executive Engineer Electrical Division HPPWD Mandi,1.0,Fee/PreQual/Technical,.pdf,COST OF TENDER INDICATED IN SCHEDULE F,PWD,PW/MED/TA/NIT/ e-notice/20-21-6650-60 dt 04.02.21,2021_PWD_44262_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC,1.0,199636.0,DHARMENDER SINGH,INR,"3,501,148",Finance,Financial bid summary,Dalip singh Patial,24-Mar-2021 05:04 PM,finance_66310.pdf,BOQ Comparative Chart,1.0,199615.0,ARUN KUMAR SHARMA,21-Feb-2021 04:04 PM,Rejected-Finance,rejected being L3contractor,24-Mar-2021 05:19 PM,Technical,technical bid summary,Dalip singh Patial,04-Mar-2021 11:29 AM,technical_66310.pdf,PWD,2021_PWD_44262_1,PW/MED/TA/NIT/ e-notice/20-21-6650-60 dt 04.02.21,"Construction of Government Degree College at Panarsa, District Mandi HP SH Providing EI therein",Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,04-Mar-2021 12:08 PM,04-Mar-2021 12:10 PM,techsummary_66310.pdf (357.18 KB),Er Dalip Singh Patial EE,Internal,Smt Karuna Sharma Superintendent Sh Jai Ram HDM Sh Kapil Dev Soni Sr Asstt,Dalip singh Patial,24-Mar-2021 05:19 PM,finsummary_66310.pdf (278.11 KB),15-Nov-2021,"INR 3,501,148",365.0,Munish Bhopal,20-Jan-2022 04:36 PM,AOC.pdf (606.00 KB),work awarded to M/s DHARMENDER SINGH being L1 contr,AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,.pdf,EARNEST MONEY INDICATED IN SHEDULE F,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,199636.0,DHARMENDER SINGH,21-Feb-2021 06:03 PM,Accepted-AOC,work awarded to M/s DHARMENDER SINGH being L1 contr,20-Jan-2022 04:36 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST and EPF REGITRATION GENERAL RULES NO. 21",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,199265.0,Digvijay Sharma,21-Feb-2021 02:01 PM,Rejected-Finance,rejected being L2 contractor,24-Mar-2021 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"FORM NO 8 duly signed REFER GENERAL RULES NO 26.7,",,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4.0,199651.0,KUMAR ELECTRONICS CO.,21-Feb-2021 09:15 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Mar-2021 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Attested copies of work done certificates as per Technical qualification criteria,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5.0,199587.0,Ratwan Light House,21-Feb-2021 02:45 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Mar-2021 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average financial turnover of the contractor during the last 3 years as per Tech. qual. criteria,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6.0,199658.0,Rohtash Verma,21-Feb-2021 10:09 PM,Rejected-Finance,rejected being L4contractor,24-Mar-2021 05:19 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding No gazetted and non-gazetted HPPWD. Employees related to him GENERAL RULES,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7.0,199435.0,SHARMA ELECTRICAL CO.,20-Feb-2021 12:51 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Mar-2021 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid is true and correct in all respect.,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8.0,199655.0,TARUN GUPTA,21-Feb-2021 09:59 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,04-Mar-2021 11:29 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other documents as specified by the State in performa of schedule,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,CONTRACTORS REGISTRATION in HPPWD in appropriate Class A (Electrical) with valid Electrical licens,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
