Sr.No,District,Disaster Type,Disaster Date,Section,Gram Panchayat,Asset Category,Name of the Road,Total Length of Road (in Km),Road Category,Road Types (materials),Road Type Material (other),RD/Location name,Length of Totally Damaged Roads (in meters),Length of Severely Damaged Roads (in meters),Length of Minor Damaged Roads (in Meters),Retaining Wall Damaged,Length of Retaining Wall Damaged (in meters),Breast Wall Damaged,Length of Breast Wall Damaged (in meters),Severity of Hume Pipe Damage,Number of Hume Pipes Damaged,Severity of Slab / Box Culvert Damage,Number of Slab / Box Culvert Damage,Severeity of Causeway Damage,Number of Causeway  Damaged,Roadside Drainage Damaged,Length of Roadside Drainage Damaged (in meters),Estimated Amount (in Lakhs),Remarks,Latitude,Longitude,,,
1,Bilaspur,Excessive Rain,21-07-2025,Buhad(Kalol),Ghran,Roads,Talai Dhani,7,Village Road,Black Top,,2/135,30,30,0,Totally Damaged,30,,,,,,,,,Minor Damage,50,3,,31.420311,76.536468,Self Visit,,
2,Bilaspur,Landslide,29-06-2025,Berthin(Berthin),,Roads,TB road (MDR-116) km 4/00 to 14/500,30,Major District Road,Black Top,,4/00 TO 14/500,15,15,0,,,,,Minor Damage,1,Minor Damaged,1,,,Minor Damage,15,1,,31.33,74.36,Self Visit,,
3,Bilaspur,Excessive Rain,21-07-2025,Kalol(Kalol),Salwad,Roads,Marotan to Baghchhal,4,Village Road,Black Top,,3/850,30,30,0,,,Minor Damage,20,,,,,,,Severely Damaged,30,2.5,,31.282234,76.673649,Self Visit,,
4,Bilaspur,Excessive Rain,22-07-2025,Buhad(Kalol),Malraoun ,Roads,Gangloh Malraoun ,18,Village Road,Black Top,,13/400,15,15,0,Totally Damaged,15,,,,,,,,,Minor Damage,50,4.5,,31.346034,76.573232,Self Visit,,
5,Bilaspur,Landslide,15-07-2025,Jhandutta(Jhandutta),Balghar,Roads,Jhandutta-BharoliKalan,10,Village Road,Black Top,,6/700 to 6/750,150,150,50,Minor Damage,150,Minor Damage,60,Totally Damaged,1,Severely Damaged,1,Minor Damaged,2,Severely Damaged,200,3,,31.374473,76.6068791,Self Visit,,
6,Bilaspur,Landslide,16-07-2025,Buhad(Kalol),Jaddu kuljair,Roads,Gangloh malraon,18,Village Road,Black Top,,9/300,10,10,0,Minor Damage,10,,,,,,,,,Severely Damaged,20,1,,31.360193,76.563292,Self Visit,,
7,Bilaspur,Excessive Rain,22-07-2025,Chharol(Sub-divn. no-3),CHHAROL,Roads,National Highway No.205,11,Major District Road,Black Top,,111/810 to 111/840,30,,30,,,Minor Damage,30,,,,,,,Severely Damaged,30,0.7,"Road Crust & Slips ,pot hole ",31.25,76.77,Self Visit,,
8,Bilaspur,Landslide,16-07-2025,Marotan(Kalol),Salwad,Roads,Marothan dhani,8,Village Road,Black Top,,2/900,50,50,0,,,,,Totally Damaged,1,,,,,Minor Damage,50,2,,31.279879,76.651058,Recieved from Others,Sh. rohit kaushal ,7018877350
9,Bilaspur,Landslide,21-07-2025,Kalol(Kalol),Paploa,Roads,Buhad to malhot,5.79,Village Road,Black Top,,4/040,100,100,0,,,,,,,,,,,Totally Damaged,100,2.5,,31.291475,76.648962,Self Visit,,
10,Bilaspur,Excessive Rain,21-07-2025,N.b.t. (changer)(Sub-divn. no-2 bilaspur.),MC Bilaspur,Roads,Circular road roura,1.99,Village Road,Black Top,,0/420 to 0/430,30,10,,Minor Damage,10,Minor Damage,,,,,,,,,,1.55,,31.344495,76.76218,Self Visit,,
11,Bilaspur,Landslide,16-07-2025,Kalol(Kalol),Kalol,Roads,BJSM ROAD,20,Village Road,Black Top,,6/300,100,,100,,,,,,,,,,,Severely Damaged,600,3,,31.330815,76.623862,Self Visit,,
12,Bilaspur,Excessive Rain,16-07-2025,Kalol(Kalol),Salwad,Roads,Marotan to Baghchhal,4,Village Road,Black Top,,3/450,50,50,0,,,,,,,,,,,Severely Damaged,60,4,,31.279775,76.67573,Self Visit,,
13,Bilaspur,Excessive Rain,21-07-2025,Buhad(Kalol),Dudiyan,Roads,Dholak chaknar to gah,5.2,Village Road,Black Top,,0.450,10,10,0,,,Minor Damage,10,,,,,,,Minor Damage,20,0.5,Landslides ,31.319367,76.613416,Self Visit,,
14,Bilaspur,Excessive Rain,21-07-2025,Bandla(Sub-divn. no-2 bilaspur.),Sihra,Roads,Binayakghat Bandla Sihra Bilaspur road,23,Major District Road,Black Top,,15/765 to 15/780,15,15,,Minor Damage,15,Minor Damage,0,,,,,,,,,2.25,,31.356484,76.787591,Self Visit,,
15,Bilaspur,Excessive Rain,15-07-2025,Nauni(Sub-divn. no-2 bilaspur.),,Roads,LINK ROAD LAKHNPUR TO DAV SCHOOL CHANGER VIA FOREST REST HOUSE,3,Village Road,Black Top,BLACK TOP & KATCHA ROAD,0 TO 20,1700,750,950,Totally Damaged,70,Minor Damage,65,Totally Damaged,1,,,,,Minor Damage,400,2.5,,31.193,76.4553,Self Visit,,
16,Bilaspur,Excessive Rain,13-07-2025,Nauni(Sub-divn. no-2 bilaspur.),MC AREA,Roads,NH21 TO BABA NAHAR SINGH JI TEMPLE DHOLRA,0.8,Village Road,Black Top,,0 TO 800,400,250,150,Minor Damage,60,Minor Damage,20,,,,,,,Minor Damage,200,0.7,,31.1957,76.4531,Self Visit,,
17,Bilaspur,Excessive Rain,21-07-2025,Bandla(Sub-divn. no-2 bilaspur.),Seola,Roads,Binayakghat Manjhot road Km. 0/00 to 2/500,2.5,Village Road,Black Top,,1/215 to 1/230,15,15,,Minor Damage,15,Minor Damage,12,,,,,,,,,3.5,,31.280382,76.807641,Self Visit,,
18,Bilaspur,Excessive Rain,16-07-2025,Deoth(Sub-divn. no-3),Deoth ,Roads,Brahmpukhar Deoth Shelli Road,11.48,Village Road,Black Top,,4.300 to 4.360,60,60,0,,,,,,,,,,,Minor Damage,30,2,,33,76.81,Self Visit,,
19,Bilaspur,Excessive Rain,07-07-2025,Deoth(Sub-divn. no-3),Deoth ,Roads, Deoth to  Dabbar  Road ,10.96,Village Road,Black Top,,7.285 to 7.300,15,15,0,Totally Damaged,15,,,,,,,,,,,3,,31.24,76.84,Recieved from Others,Work inspector ,8219427152
20,Bilaspur,Excessive Rain,10-07-2025,Deoth(Sub-divn. no-3),Methi,Roads,Deoth Lagghat Jamli Road,13.16,Village Road,Black Top,,6.690 to 6.710,20,20,,Severely Damaged,125,,,,,,,,,,,5,,31.23,76.8,Self Visit,,
21,Bilaspur,Excessive Rain,04-07-2025,Store (dholra)(Sub-divn. no-3),Kallar ,Roads, National Highway on Chandigarh Mandi Manali Road,5,Major District Road,Black Top,,119/075  to 119/105,30,30,,,,Totally Damaged,30,,,,,,,,,2.5,,31.28,76.75,Self Visit,,
22,Bilaspur,Excessive Rain,15-07-2025,Chharol(Sub-divn. no-3),Methi ,Roads,Lagghat to Jainagar road ,1.27,Village Road,Black Top,,RD 0/40 to  0/070,30,30,0,Severely Damaged,2,,,,,,,,,,,2.5,R/wall ,31.22,76.79,Self Visit,,
23,Bilaspur,Excessive Rain,14-07-2025,Chharol(Sub-divn. no-3),Methi ,Roads,Deoth Lagghat Jamli Road,13.16,Village Road,Black Top,,RD 8/00 to 8/020,20,,20,,,Severely Damaged,20,,,,,,,,,3.5,B/wall ,31.23,76.78,Self Visit,,
24,Bilaspur,Excessive Rain,10-07-2025,Chharol(Sub-divn. no-3),Chharol ,Roads,Link road NH 21 Jamli to Neri ,2.5,Village Road,Black Top,Balck Top & Kaccha,RD 1/500 to 1/570,70,,70,Minor Damage,40,Severely Damaged,30,,,,,,,,,1,Slips ,31.21,76,Self Visit,,
25,Bilaspur,Excessive Rain,08-07-2025,Chharol(Sub-divn. no-3),Kachouli ,Roads, Link Road to Vill. Kachouli,5,Village Road,Black Top,,RD 2/700  to 2/720,20,20,0,,,Totally Damaged,20,,,,,,,,,3.5,B/WALL& slips ,31.27,76,Recieved from Others,Work Inspector ,9882489922
26,Bilaspur,Excessive Rain,18-07-2025,Chharol(Sub-divn. no-3),Chharol ,Roads, National Highway on Chandigarh Mandi Manali Road,11,Major District Road,Black Top,,RD 106/100 to 106/120,20,,0,,,,,,,,,,,,,0.3,Slips ,31.24,76.77,Self Visit,,
27,Bilaspur,Excessive Rain,16-07-2025,Store (dholra)(Sub-divn. no-3),Kallar ,Roads, National Highway on Chandigarh Mandi Manali Road,5,Major District Road,Black Top,,RD 116/00 to 121/00,200,,200,,,,,,,,,,,,,1.3,Pach Work ,31.282,76.742,Self Visit,,
