Type :,Summary :,Updated By :,Updated On :,Document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :.1,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,S.No.2,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Technical,Tender Summary,Sushant Singh Negi,15-Jan-2024 01:00 PM,,SE,Internal,"DM, Manager(F), EE(HQ)",Sushant Singh Negi,15-Jan-2024 01:04 PM,15-Jan-2024 04:00 PM,techsummary_122676.pdf (772.65 KB),1,393399,ABC Construction,22-Dec-2023 03:18 PM,Rejected-Finance,9th lowest bidder,18-Jan-2024,Finance,Financial Summary,Sushant Singh Negi,18-Jan-2024 02:20 PM,finance_122676.pdf,BOQ Comparative Chart,SE,Internal,"DM, Manager(F), EE(HQ)",Sushant Singh Negi,18-Jan-2024 02:30 PM,finsummary_122676.pdf (35.35 KB),HP SIDC Limited,2023_SIDC_82487_1,Job No. 2,Construction of Veterinary Hospital at Saloe Distt. Una (HP).,19-Feb-2024,"INR 3,933,783",270.0,Sushant Singh Negi,27-Feb-2024 02:15 PM,saloeaoc.pdf (2328.00 KB),Award letter,1.0,393250.0,Sandeep Kumar Dhiman,INR,"3,933,783",1.0,ICICI BANK,Executive Engineer,HPSIDC Shimla,12-Dec-2023 11:00 AM,23-Dec-2023 11:00 AM,12-Dec-2023 11:00 AM,22-Dec-2023 05:00 PM,NA ,NA ,12-Dec-2023 11:00 AM,22-Dec-2023 05:00 PM,15-Jan-2024 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"5,400",Nil,Nil,No,"92,000",No,fixed,,Nil,Nil,HP SIDC Limited,Job No. 2,2023_SIDC_82487_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Veterinary Hospital at Saloe Distt. Una (HP).,Construction of Veterinary Hospital,Please refer Tender documents. ,NA ,"45,89,142",Civil Works - Buildings,NA ,Tender,120.0,270.0,Una,177319.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No
,,,,,,,,,,,,2,393227,Ajay Kumar Bassi,22-Dec-2023 12:07 PM,Rejected-Finance,8th lowest bidder,18-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,393401,Ajmer Singh Govt. Contractor,22-Dec-2023 03:48 PM,Rejected-Finance,4th lowest bidder,18-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,393410,AMAN KUMAR SHARMA GOVT CONTRACTOR,22-Dec-2023 04:00 PM,Rejected-Finance,3rd lowest bidder,18-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,391636,Bhisham Kumar,22-Dec-2023 01:08 PM,Rejected-Technical,Work done certificate has not uploaded as per tender conditions,15-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,6,393182,Pankaj Rana Govt Contractor,21-Dec-2023 03:21 PM,Rejected-Finance,2nd lowest bidder,18-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,393250,Sandeep Kumar Dhiman,22-Dec-2023 12:08 PM,Accepted-AOC,AOC,27-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,393436,SANDEEP SHARMA,22-Dec-2023 04:34 PM,Rejected-Finance,6th lowest bidder,18-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9,391598,Shallu Malik Govt Contractor,18-Dec-2023 01:09 PM,Rejected-Finance,8th lowest bidder,18-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,392492,Sushil Kumar,22-Dec-2023 02:32 PM,Rejected-Finance,5th lowest bidder,18-Jan-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
