Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3
"2,000",Nil,Nil,Yes,20-Jul-2022 05:00 PM,28-Jul-2022 11:30 AM,20-Jul-2022 05:00 PM,28-Jul-2022 10:00 AM,NA ,NA ,20-Jul-2022 05:00 PM,28-Jul-2022 10:00 AM,06-Aug-2022 10:10 AM,1.0,ICICI BANK,PWD,PW/TLD/AB/Tender/2022- 14613-32 dt. 16.07.2022,2022_PWD_62887_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender,Executive Engineer,Executive Engineer Thalout Divn. HPPWD Thalout,"1,56,700",No,fixed,,Nil,Nil,Construction of Thach to Kashoud road km. 0.0 to 6.350 SH R.walls Edge walls and B.wall at Various RDs,Construction of Thach to Kashoud road km. 0.0 to 6.350 SH R.walls Edge walls and B.wall at Various RDs,Please refer Tender documents. ,NA ,"79,82,443",Civil Works,NA ,Tender,120.0,60.0,Kashoud,175124.0,NA ,NA ,NA ,Thalout,No ,No,1.0,293038.0,Ashapuri Infracon Private Limited,27-Jul-2022 12:09 PM,Accepted-AOC,L1 bidder,07-Feb-2024,Technical,Summary attached,Suresh Kaushal,06-Aug-2022 09:53 AM,technical_94838.pdf,Finance,Summary,Suresh Kumar Dhiman,24-Sep-2022 06:15 PM,,BOQ Comparative Chart,1.0,293038.0,Ashapuri Infracon Private Limited,INR,"8,369,590",Er. S.K. Kaushal EE,Internal,Keshav Ram Supdtt. 2. Jagdish Thakut DHD 3. Amit Nagar DAO 4. Er. Satish Kumar AE,Suresh Kaushal,06-Aug-2022 10:05 AM,06-Aug-2022 10:10 AM,techsummary_94838.pdf (336.91 KB),PWD,2022_PWD_62887_1,PW/TLD/AB/Tender/2022- 14613-32 dt. 16.07.2022,Construction of Thach to Kashoud road km. 0.0 to 6.350 SH R.walls Edge walls and B.wall at Various RDs,06-Feb-2024,"INR 8,369,590.19",60.0,Ajay kumar sood,06-Feb-2024 03:38 PM,Award.pdf (268.00 KB),Er. S.K. Kaushal,Internal,Sh. Keshav Ram Supdtt. 2. Sh. Jagdish Chand Thakur DHD 3. Er. Satish Kumar AE,Ajay kumar sood,06-Feb-2024 03:32 PM,finsummary_94838.pdf (123.77 KB)
,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,293220.0,DEVENDER SINGH,27-Jul-2022 06:18 PM,Rejected-Technical,Bidder withdrawan his bid,06-Aug-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,293171.0,OMR CONSTRUCTION CO.PVT.LTD,27-Jul-2022 04:19 PM,Rejected-Technical,Bidder withdrawn his bid,06-Aug-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Goods and Service Tax Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,293159.0,SANDEEP KUMAR SHARMA,27-Jul-2022 02:43 PM,Rejected-Finance,L2,06-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate and Work in hand Certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF and Miscellaneous provision Act 1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of Chartered Accountant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HPPWD form 8 duly singed by contractor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
