Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Bank Name,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3
"5,000",Nil,Nil,No,1.0,CORRIGENDUM SBD,Other,,Improvement/strengthening of Banethi Bagthan Rajgarh Chandol road km 0/0 to 28/0 and 48/0 to 87/0,"Providing and laying WBM-III, Bituminous Macadam, Bituminous concrete, interlocking paver blocks, PCC V-shape drain, parapets, road marking and road sing boards ) under NABARD-XXVIII",Please refer Tender documents. ,NA ,"23,86,48,601",Civil Works - Roads,NA ,Tender,75.0,545.0,RAJGARH DIVISION HPPWD RAJGARH,173101.0,NA ,NA ,NA ,RAJGARH DIVISION HPPWD RAJGARH,No ,No,13-Nov-2023 11:00 AM,23-Nov-2023 11:00 AM,13-Nov-2023 11:00 AM,23-Nov-2023 10:30 AM,NA ,NA ,13-Nov-2023 11:00 AM,23-Nov-2023 10:30 AM,21-Dec-2023 11:00 AM,PWD,No.PW-CTR-29-RGH Divi.-2023-24-10270 dt. 1.8.23,2023_PWD_81348_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,EXECUTIVE ENGINEER,RAJGARH DIVISION HPPWD RAJGARH,1.0,Fee/PreQual/Technical,.pdf,Tender Fees,"47,73,000",No,fixed,,Nil,Nil,1.0,ICICI BANK,Er. Ram Singh EE,Internal,"Sh. Nirman Mohan DAO G-1, Smt. Pushpa Devi Supdt. G-II, Sh. Amar Singh Supdt. G-II,Sh.Balbir singh Sr. Asstt., Sh. Ghan Shyam Sr.Asstt. Shiksha JDM",Ram Singh Thakur,19-Dec-2023 04:37 PM,21-Dec-2023 11:00 AM,techsummary_121100.pdf (1439.27 KB),PWD,2023_PWD_81348_1,No.PW-CTR-29-RGH Divi.-2023-24-10270 dt. 1.8.23,Improvement/strengthening of Banethi Bagthan Rajgarh Chandol road km 0/0 to 28/0 and 48/0 to 87/0,02-Feb-2024,"INR 247,667,348",545.0,Ram Singh Thakur,02-Feb-2024 04:21 PM,AOC.pdf (845.00 KB),Const. Part 209435348 Maint. Part 38232000 notice to proceed the work Sh. Naresh Kumar vijGovt. cont.,Er. Ram Singh EE,Internal,"Sh.Nirman Mohan DAO G-1, Smt. Pushpa Devi Supdt. G-II, Sh. Amar Singh Supdt. G-II,Sh.Balbir singh Sr. Asstt., Sh. Ghan Shyam Sr.Asstt. Shiksha JDM,",Ram Singh Thakur,02-Feb-2024 04:09 PM,finsummary_121100.pdf (507.17 KB),1.0,384293.0,naresh vij govt contractor,INR,"247,667,348",Finance,SUMMARY,Ram Singh Thakur,02-Feb-2024 04:03 PM,finance_121100.pdf,BOQ Comparative Chart,1.0,385545.0,Atul Sharma,22-Nov-2023 07:14 PM,Rejected-Technical,Not Fulfill the qualifying criteria,19-Dec-2023,Technical,SUMMARY,Ram Singh Thakur,19-Dec-2023 04:30 PM,technical_121100.pdf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid Security,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,384802.0,Dinesh Kumar Sharma Const. (P) Ltd,22-Nov-2023 09:26 AM,Rejected-AOC,L2,03-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration Certificate (Class A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,384293.0,naresh vij govt contractor,21-Nov-2023 03:37 PM,Accepted-AOC,Const. 209435348 Maint. 38232000 L1,03-Feb-2024,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of Similar Nature of work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Total Monetary value of civil Const work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Hot Mix Plant, Machinery and Lab Equipment proof ownership (4.4. B) (b)(i)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Hot mix Plant installed within 30.00 km and certificate issued from the concerned AE(4.4. B) (b)(i),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical Personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial Reports Clause- 4.2 (f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Credit and other financial Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,History of litigation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proposal of sub contracting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proposed Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN/GST/EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Information True and Correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and Existing Commitment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The bidder must not have in his employment the near relation affidavit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Part-II of the bid as per section -6 and 7a/w item rate offered by the Employer for routine maintenc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding capacity not less than equal to total estimate cost.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the affidavit affirming that information he has furnished in the bidding document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of the Authorized address and Mobile No.and e- mail ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
