Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
PWD,PW.NH.EE.Thg.Ten.-23-1698-1707 dt.10.07.,2023_PWD_76138_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,"1,06,350",No,fixed,,Nil,Nil,A R and M.O kalka Shimla Wangtoo road NH 05 Km 167.00 to 236.00,SH construction of B-wall at Km 231.500 to 231.550 and233.340 to 233.360,Please refer Tender documents. ,NA ,"53,16,732",Civil Works - Roads,NA ,Tender,120.0,90.0,NH Theog,171201.0,NA ,NA ,NA ,EE NH Theog,No ,No,12-Jul-2023 06:50 PM,24-Jul-2023 11:00 AM,12-Jul-2023 06:50 PM,22-Jul-2023 06:00 PM,NA ,NA ,12-Jul-2023 06:50 PM,22-Jul-2023 06:00 PM,31-Jul-2023 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of UTR Number of Payment made against cost of tender form and FDR,Executive Engineer NH Theog,HP PWD NH Division Theog,"2,000",Nil,Nil,No,PWD,2023_PWD_76138_1,PW.NH.EE.Thg.Ten.-23-1698-1707 dt.10.07.,A R and M.O kalka Shimla Wangtoo road NH 05 Km 167.00 to 236.00,EE PP Singh,Internal,Jagdish Sharma Supdt Anil Kumar Sr Asstt Suresh Sharma Jr Asstt,Kanav Barota,28-Jul-2023 06:34 PM,31-Jul-2023 11:00 AM,techsummary_113931.pdf (488.28 KB),PP Singh,Internal,Jagdish Sharma Supdt GrII Anil Kumar Sr Asstt Suresh Sharma Jr Asstt,Kanav Barota,11-Aug-2023 01:27 PM,finsummary_113931.pdf (809.44 KB),27-Feb-2024,"INR 5,316,732",90.0,Ravi Kapoor,27-Feb-2024 01:54 PM,AOCj.pdf (1110.00 KB),AOC,1.0,361916.0,Arun Mehta Govt Contractor,22-Jul-2023 05:58 PM,Rejected-Technical,Non Responsive,28-Jul-2023,Technical,Summary,Kanav Barota,28-Jul-2023 06:30 PM,technical_113931.pdf,Finance,Summary,Kanav Barota,11-Aug-2023 01:24 PM,finance_113931.pdf,BOQ Comparative Chart,1.0,361636.0,SA Construction,INR,"4,676,724"
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration as per clause 4.3 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,361873.0,RATHORE CONSTRUCTION,22-Jul-2023 03:12 PM,Rejected-Finance,Non Responsive,11-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Copy of GST Number, EPF Registration and Pan No.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,361636.0,SA Construction,22-Jul-2023 03:51 PM,Accepted-AOC,Responsive,27-Feb-2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid as per Section-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,361883.0,Tara Chand Mehta,22-Jul-2023 05:12 PM,Rejected-Technical,Non Responsive,28-Jul-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Existing commitments and ongoing works as clause No.1.4(A) of Section-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,361600.0,VIVEK KUMAR,22-Jul-2023 11:12 AM,Rejected-Finance,Non Responsive,11-Aug-2023,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,General work experience (Work done) as per clause 4.5.3 ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Working programme(Proposed work method and schedule) as per clause 4.1 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Equipment Capability (List of Machinery) as per clause 4.5.5 of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial position (liquid Assets/credit facility) as per clause 4.2(i) and 4.3 (G) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking regarding investment a minimum cash upto 25 percent of the value of the work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
