Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Type :,Summary :,Updated By :.1,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value
"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",HPSEBL/TCD/90/2023-24,2024_HPSEB_86542_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Replacement of damaged roof and floor and wall tiles in S-II qtrs BBMB colony Sunder Nagar.,Replacement of damaged roof and floor and wall tiles in S-II qtrs BBMB colony Sunder Nagar.,Please refer Tender documents. ,NA ,"4,55,435",Civil Works - Buildings,REPAIR WORK ,Tender,180.0,30.0,SUNDERMAGAR,175019.0,NA ,NA ,NA ,TCD HPSEBL PANDOH,No ,No,1.0,Fee/PreQual/Technical,.pdf,COPY OF ADHAR CARD,SR XEN TCD PANDOH,SR XEN TCD PANDOH,20-Feb-2024 05:30 PM,28-Feb-2024 02:30 PM,20-Feb-2024 05:30 PM,27-Feb-2024 01:00 PM,NA ,NA ,20-Feb-2024 05:30 PM,27-Feb-2024 01:00 PM,28-Feb-2024 04:10 PM,590.0,Nil,Nil,No,"9,700",Yes,fixed,,Nil,Nil,29-Feb-2024,"INR 440,036",30.0,Rakesh Kumar,29-Feb-2024 01:15 PM,RAJKUMAR.pdf (315.00 KB),AWARD OF CONTARCT,Technical,summary,Rakesh Kumar,28-Feb-2024 04:01 PM,technical_128716.pdf,Finance,Financial summary,Rakesh Kumar,28-Feb-2024 04:40 PM,finance_128716.pdf,BOQ Comparative Chart,1.0,410602.0,NAVEEN CONTRACTOR,25-Feb-2024 10:25 PM,Rejected-AOC,L-3,29-Feb-2024,Sr. xen rakesh kumar,Internal,"AE NITISH UPADHYAY, AE RAJKUMAR",Rakesh Kumar,28-Feb-2024 04:07 PM,28-Feb-2024 04:10 PM,techsummary_128716.pdf (700.88 KB),Sr. XEN Rakesh Kumar,Internal,"AE Rajkumar, AE Nitish Upadhayay",Rakesh Kumar,29-Feb-2024 12:41 PM,finsummary_128716.pdf (700.88 KB),"HPSEBL||CE(Gen) Sundernagar||SE(Gen) Sarabai (Bhunter)||Sr. Xen TDC, Pandoh",2024_HPSEB_86542_1,HPSEBL/TCD/90/2023-24,Replacement of damaged roof and floor and wall tiles in S-II qtrs BBMB colony Sunder Nagar.,1.0,410583.0,RAJ KUMAR,INR,"440,036.42"
,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF PAN CARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,410597.0,PARDEEP KUMAR,25-Feb-2024 10:44 PM,Rejected-AOC,L-2,29-Feb-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF REGISTRATION CERIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,410583.0,RAJ KUMAR,25-Feb-2024 10:56 PM,Accepted-AOC,L-1,29-Feb-2024,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX RETURN OF LAST THREE YEARS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF INCOME TAX CLEARANCE CERIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF NON BLACK LISTING CERIFICATE ON JUDICAIAL STAMP PAPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF WORK DONE CERTIFICATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,COPY OF GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
