Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed
15-Feb-2024,"INR 836,139",60.0,Rahul Thakur,15-Feb-2024 12:57 PM,AwardPaprola.PDF (198.00 KB),Xen HPPWD Baijnath,Internal,"DOA, JDM, SupdtGII AE Baijnath",Rahul Thakur,15-Feb-2024 12:55 PM,finsummary_124721.pdf (181.90 KB),Xen HPPWD Baijnath,Internal,"DAO, JDM, Supdt, AE Baijnath",Sanjiv Kumar,27-Jan-2024 05:04 PM,30-Jan-2024 11:00 AM,techsummary_124721.pdf (265.22 KB),PWD,2024_PWD_83985_1,PWD-BD-NIT-2023-24-15773-823,C/O Paprola Uttrala Road Km 0/0 to 12/0,Technical,Three bidders participated in this work and 2 bidders found responsive.,Sanjiv Kumar,27-Jan-2024 05:02 PM,technical_124721.pdf,1.0,399920.0,Sanjay Kumar,23-Jan-2024 05:03 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,27-Jan-2024,1.0,398569.0,VIKAS RANA GOVT. CONTRACTOR,INR,"865,404",Finance,Financial Bid of two bidders open successfully,Rahul Thakur,15-Feb-2024 12:52 PM,finance_124721.pdf,BOQ Comparative Chart,PWD,PWD-BD-NIT-2023-24-15773-823,2024_PWD_83985_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,"17,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form and EMD as mentioned in SBD,C/O Paprola Uttrala Road Km 0/0 to 12/0,Providing and Laying cement concrete pavement at RD 0/025 to 0/110 and 0/700 to 0/744.40 and Catchpit.,Please refer Tender documents. ,NA ,"8,36,139",Civil Works - Roads,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,1.0,ICICI BANK,12-Jan-2024 06:00 PM,24-Jan-2024 11:30 AM,12-Jan-2024 06:00 PM,24-Jan-2024 11:00 AM,NA ,NA ,12-Jan-2024 06:00 PM,24-Jan-2024 11:00 AM,30-Jan-2024 11:00 AM,350.0,Nil,Nil,No
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,398576.0,Shalabh Awasthi,18-Jan-2024 02:14 PM,Rejected-Finance,Higher Side,15-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,398569.0,VIKAS RANA GOVT. CONTRACTOR,18-Jan-2024 02:03 PM,Accepted-AOC,Lower Side,15-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar Nature work done 40 percent of the estimated cost as mentioned SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
