Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.2,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder
Finance,Financial Bid of 2 bidders Open successfully.,Rahul Thakur,15-Feb-2024 12:31 PM,finance_124170.pdf,BOQ Comparative Chart,1.0,397653.0,Surat Contractors & Suppiers,INR,"1,436,885",Technical,Two bidders participated in this work and found responsive.,Rahul Thakur,20-Jan-2024 02:53 PM,technical_124170.pdf,1.0,397656.0,SANJAY KUMAR,14-Jan-2024 04:53 PM,Rejected-Finance,Higher Side,15-Feb-2024,15-Feb-2024,"INR 1,375,009",60.0,Rahul Thakur,15-Feb-2024 12:38 PM,AwardUhl.PDF (216.00 KB),Xen HPPWD Baijnath,Internal,"AO, JDM, SupdtG-II AE Baijnath",Rahul Thakur,15-Feb-2024 12:33 PM,finsummary_124170.pdf (171.98 KB),Xen HPPWD Baijnath,Internal,"DAO, JDM, Supdt-GII AE Baijnath",Rahul Thakur,20-Jan-2024 02:54 PM,23-Jan-2024 11:00 AM,techsummary_124170.pdf (257.79 KB),PWD,2024_PWD_83583_1,PWD-BD-NIT-2023-24-14841-891,Construction of 35.00 mtr span bridge over Uhal Khad on Bir Barot road at RD 28/825,PWD,PWD-BD-NIT-2023-24-14841-891,2024_PWD_83583_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Online,No,No,No,500.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form and EMD as mentioned in SBD,Xen HPPWD Division Baijnath,Xen HPPWD Division Baijnath,"27,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,05-Jan-2024 02:00 PM,16-Jan-2024 11:30 AM,05-Jan-2024 02:00 PM,16-Jan-2024 11:00 AM,NA ,NA ,05-Jan-2024 05:00 PM,16-Jan-2024 11:00 AM,23-Jan-2024 11:00 AM,Construction of 35.00 mtr span bridge over Uhal Khad on Bir Barot road at RD 28/825,C/O approach 2 mtr span RCC slab culvert at RD 28/735 and B/wall in wire crate at RD 28/730 to 28/743).,Please refer Tender documents. ,NA ,"13,75,009",Civil Works,NA ,Tender,90.0,60.0,Baijnath,176125.0,NA ,NA ,NA ,HPPWD Division Baijnath,No ,No
,,,,,,,,,,,,,,,,2.0,397653.0,Surat Contractors & Suppiers,14-Jan-2024 04:43 PM,Accepted-AOC,Lower Side,15-Feb-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and PAN Card,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery as mentioned in SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 7-8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking that no arbitration / litigation with PWD is pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished with the bid for work (Name of work) is correct in all res,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,work done 40 percent similar nature or 100 percent civil work of the estimated cost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
